MSOA11CD,MSOA11NM,ZonePfSH,LAD,DELTA Macrozone,DELTA FMA+B?,Proportions MSOA/Zones
E02003172,Bournemouth 001,851,Bournemouth,11,B,0.999996246
E02003172,Bournemouth 001,849,Bournemouth,11,B,3.75397E-06
E02003173,Bournemouth 002,851,Bournemouth,11,B,0.999988073
E02003173,Bournemouth 002,850,Bournemouth,11,B,1.00089E-05
E02003173,Bournemouth 002,849,Bournemouth,11,B,1.91767E-06
E02003174,Bournemouth 003,852,Bournemouth,11,B,6.03541E-09
E02003174,Bournemouth 003,851,Bournemouth,11,B,0.999998129
E02003174,Bournemouth 003,849,Bournemouth,11,B,1.8648E-06
E02003175,Bournemouth 004,852,Bournemouth,11,B,1.60488E-06
E02003175,Bournemouth 004,851,Bournemouth,11,B,0.999998395
E02003176,Bournemouth 005,851,Bournemouth,11,B,0.999986296
E02003176,Bournemouth 005,850,Bournemouth,11,B,1.37044E-05
E02003177,Bournemouth 006,852,Bournemouth,11,B,8.1806E-07
E02003177,Bournemouth 006,851,Bournemouth,11,B,0.999999182
E02003178,Bournemouth 007,851,Bournemouth,11,B,0.999999306
E02003178,Bournemouth 007,850,Bournemouth,11,B,6.93942E-07
E02003179,Bournemouth 008,852,Bournemouth,11,B,7.54141E-07
E02003179,Bournemouth 008,851,Bournemouth,11,B,0.999999246
E02003180,Bournemouth 009,851,Bournemouth,11,B,1
E02003181,Bournemouth 010,851,Bournemouth,11,B,1
E02003182,Bournemouth 011,852,Bournemouth,11,B,7.95138E-07
E02003182,Bournemouth 011,851,Bournemouth,11,B,0.999999205
E02003183,Bournemouth 012,851,Bournemouth,11,B,0.99999346
E02003183,Bournemouth 012,850,Bournemouth,11,B,6.5399E-06
E02003184,Bournemouth 013,851,Bournemouth,11,B,1
E02003185,Bournemouth 014,853,Bournemouth,11,B,1.04822E-06
E02003185,Bournemouth 014,852,Bournemouth,11,B,4.78414E-07
E02003185,Bournemouth 014,851,Bournemouth,11,B,0.999998473
E02003186,Bournemouth 015,851,Bournemouth,11,B,1
E02003187,Bournemouth 016,851,Bournemouth,11,B,1
E02003188,Bournemouth 017,851,Bournemouth,11,B,1
E02003189,Bournemouth 018,851,Bournemouth,11,B,1
E02003190,Bournemouth 019,851,Bournemouth,11,B,1
E02003191,Bournemouth 020,853,Bournemouth,11,B,6.61396E-07
E02003191,Bournemouth 020,851,Bournemouth,11,B,0.999999339
E02003192,Bournemouth 021,851,Bournemouth,11,B,1
E02003194,Poole 001,851,Poole,11,B,3.84318E-07
E02003194,Poole 001,850,Poole,11,B,0.999888259
E02003194,Poole 001,849,Poole,11,B,0.000111356
E02003195,Poole 002,851,Poole,11,B,8.09384E-06
E02003195,Poole 002,850,Poole,11,B,0.999991906
E02003196,Poole 003,850,Poole,11,B,0.999999035
E02003196,Poole 003,849,Poole,11,B,9.64547E-07
