msoa_zone_id,car_ownership,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
E02000001,no_car,3744.6,3765.8,3787.0,3787.0,3787.0,3787.0,3787.0,3787.0,3791.4,3795.8,3800.2,3804.6,3809.0,3809.8,3810.6,3811.4,3812.2,3813.0,3806.8,3800.6,3794.4,3788.2,3782.0,3779.6,3777.2,3774.8,3772.4,3770.0
E02000002,no_car,1047.4,1057.2,1067.0,1068.0,1069.0,1070.0,1071.0,1072.0,1076.6,1081.2,1085.8,1090.4,1095.0,1097.8,1100.6,1103.4,1106.2,1109.0,1108.8,1108.6,1108.4,1108.2,1108.0,1108.8,1109.6,1110.4,1111.2,1112.0
E02000003,no_car,1222.8,1235.4,1248.0,1248.2,1248.4,1248.6,1248.8,1249.0,1254.4,1259.8,1265.2,1270.6,1276.0,1279.6,1283.2,1286.8,1290.4,1294.0,1294.0,1294.0,1294.0,1294.0,1294.0,1295.6,1297.2,1298.8,1300.4,1302.0
E02000004,no_car,562.8,567.4,572.0,573.4,574.8,576.2,577.6,579.0,582.6,586.2,589.8,593.4,597.0,599.8,602.6,605.4,608.2,611.0,611.8,612.6,613.4,614.2,615.0,616.2,617.4,618.6,619.8,621.0
E02000005,no_car,1111.2,1123.6,1136.0,1136.4,1136.8,1137.2,1137.6,1138.0,1142.4,1146.8,1151.2,1155.6,1160.0,1162.8,1165.6,1168.4,1171.2,1174.0,1173.6,1173.2,1172.8,1172.4,1172.0,1173.0,1174.0,1175.0,1176.0,1177.0
E02000007,no_car,1551.2,1567.6,1584.0,1585.6,1587.2,1588.8,1590.4,1592.0,1598.2,1604.4,1610.6,1616.8,1623.0,1626.8,1630.6,1634.4,1638.2,1642.0,1641.2,1640.4,1639.6,1638.8,1638.0,1639.0,1640.0,1641.0,1642.0,1643.0
E02000008,no_car,1841.2,1861.6,1882.0,1885.4,1888.8,1892.2,1895.6,1899.0,1908.0,1917.0,1926.0,1935.0,1944.0,1949.4,1954.8,1960.2,1965.6,1971.0,1970.8,1970.6,1970.4,1970.2,1970.0,1972.4,1974.8,1977.2,1979.6,1982.0
E02000009,no_car,1233.0,1247.0,1261.0,1263.0,1265.0,1267.0,1269.0,1271.0,1276.6,1282.2,1287.8,1293.4,1299.0,1302.4,1305.8,1309.2,1312.6,1316.0,1315.6,1315.2,1314.8,1314.4,1314.0,1315.4,1316.8,1318.2,1319.6,1321.0
E02000010,no_car,1329.0,1344.0,1359.0,1360.6,1362.2,1363.8,1365.4,1367.0,1372.8,1378.6,1384.4,1390.2,1396.0,1399.2,1402.4,1405.6,1408.8,1412.0,1411.6,1411.2,1410.8,1410.4,1410.0,1411.4,1412.8,1414.2,1415.6,1417.0
E02000011,no_car,680.8,687.4,694.0,694.0,694.0,694.0,694.0,694.0,697.0,700.0,703.0,706.0,709.0,711.0,713.0,715.0,717.0,719.0,719.2,719.4,719.6,719.8,720.0,720.8,721.6,722.4,723.2,724.0
E02000012,no_car,891.6,899.8,908.0,908.2,908.4,908.6,908.8,909.0,912.8,916.6,920.4,924.2,928.0,930.8,933.6,936.4,939.2,942.0,942.0,942.0,942.0,942.0,942.0,943.0,944.0,945.0,946.0,947.0
E02000013,no_car,1198.2,1211.6,1225.0,1226.0,1227.0,1228.0,1229.0,1230.0,1235.0,1240.0,1245.0,1250.0,1255.0,1258.0,1261.0,1264.0,1267.0,1270.0,1269.6,1269.2,1268.8,1268.4,1268.0,1269.2,1270.4,1271.6,1272.8,1274.0
E02000014,no_car,1472.0,1489.0,1506.0,1507.4,1508.8,1510.2,1511.6,1513.0,1518.8,1524.6,1530.4,1536.2,1542.0,1545.6,1549.2,1552.8,1556.4,1560.0,1559.2,1558.4,1557.6,1556.8,1556.0,1557.0,1558.0,1559.0,1560.0,1561.0
E02000015,no_car,1604.6,1621.8,1639.0,1642.6,1646.2,1649.8,1653.4,1657.0,1664.6,1672.2,1679.8,1687.4,1695.0,1699.6,1704.2,1708.8,1713.4,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,1719.8,1721.6,1723.4,1725.2,1727.0
E02000016,no_car,2005.0,2030.0,2055.0,2059.8,2064.6,2069.4,2074.2,2079.0,2086.0,2093.0,2100.0,2107.0,2114.0,2117.2,2120.4,2123.6,2126.8,2130.0,2127.8,2125.6,2123.4,2121.2,2119.0,2118.8,2118.6,2118.4,2118.2,2118.0
E02000017,no_car,1125.0,1138.0,1151.0,1150.6,1150.2,1149.8,1149.4,1149.0,1152.4,1155.8,1159.2,1162.6,1166.0,1167.6,1169.2,1170.8,1172.4,1174.0,1171.8,1169.6,1167.4,1165.2,1163.0,1162.4,1161.8,1161.2,1160.6,1160.0
E02000018,no_car,1476.2,1492.6,1509.0,1510.6,1512.2,1513.8,1515.4,1517.0,1522.8,1528.6,1534.4,1540.2,1546.0,1549.2,1552.4,1555.6,1558.8,1562.0,1561.2,1560.4,1559.6,1558.8,1558.0,1559.0,1560.0,1561.0,1562.0,1563.0
E02000019,no_car,1043.8,1054.4,1065.0,1064.2,1063.4,1062.6,1061.8,1061.0,1063.8,1066.6,1069.4,1072.2,1075.0,1077.0,1079.0,1081.0,1083.0,1085.0,1084.4,1083.8,1083.2,1082.6,1082.0,1082.8,1083.6,1084.4,1085.2,1086.0
E02000020,no_car,1543.2,1559.6,1576.0,1575.8,1575.6,1575.4,1575.2,1575.0,1580.0,1585.0,1590.0,1595.0,1600.0,1602.6,1605.2,1607.8,1610.4,1613.0,1611.8,1610.6,1609.4,1608.2,1607.0,1607.6,1608.2,1608.8,1609.4,1610.0
E02000021,no_car,1135.2,1147.6,1160.0,1158.8,1157.6,1156.4,1155.2,1154.0,1157.6,1161.2,1164.8,1168.4,1172.0,1173.8,1175.6,1177.4,1179.2,1181.0,1180.0,1179.0,1178.0,1177.0,1176.0,1176.6,1177.2,1177.8,1178.4,1179.0
E02000022,no_car,1997.0,2021.0,2045.0,2050.8,2056.6,2062.4,2068.2,2074.0,2081.4,2088.8,2096.2,2103.6,2111.0,2115.2,2119.4,2123.6,2127.8,2132.0,2131.6,2131.2,2130.8,2130.4,2130.0,2132.0,2134.0,2136.0,2138.0,2140.0
E02000023,no_car,1225.0,1238.0,1251.0,1251.8,1252.6,1253.4,1254.2,1255.0,1258.8,1262.6,1266.4,1270.2,1274.0,1276.4,1278.8,1281.2,1283.6,1286.0,1285.2,1284.4,1283.6,1282.8,1282.0,1283.0,1284.0,1285.0,1286.0,1287.0
E02000024,no_car,864.0,872.0,880.0,880.8,881.6,882.4,883.2,884.0,888.0,892.0,896.0,900.0,904.0,908.0,912.0,916.0,920.0,924.0,925.6,927.2,928.8,930.4,932.0,934.4,936.8,939.2,941.6,944.0
E02000025,no_car,992.0,1002.0,1012.0,1011.6,1011.2,1010.8,1010.4,1010.0,1014.0,1018.0,1022.0,1026.0,1030.0,1033.4,1036.8,1040.2,1043.6,1047.0,1048.0,1049.0,1050.0,1051.0,1052.0,1053.6,1055.2,1056.8,1058.4,1060.0
E02000026,no_car,422.0,425.0,428.0,430.2,432.4,434.6,436.8,439.0,442.2,445.4,448.6,451.8,455.0,457.8,460.6,463.4,466.2,469.0,471.0,473.0,475.0,477.0,479.0,481.2,483.4,485.6,487.8,490.0
E02000027,no_car,1117.6,1128.8,1140.0,1136.2,1132.4,1128.6,1124.8,1121.0,1123.8,1126.6,1129.4,1132.2,1135.0,1137.2,1139.4,1141.6,1143.8,1146.0,1145.6,1145.2,1144.8,1144.4,1144.0,1144.4,1144.8,1145.2,1145.6,1146.0
E02000028,no_car,499.4,504.2,509.0,509.8,510.6,511.4,512.2,513.0,515.4,517.8,520.2,522.6,525.0,527.2,529.4,531.6,533.8,536.0,537.4,538.8,540.2,541.6,543.0,544.4,545.8,547.2,548.6,550.0
E02000029,no_car,950.8,961.4,972.0,970.6,969.2,967.8,966.4,965.0,968.4,971.8,975.2,978.6,982.0,984.8,987.6,990.4,993.2,996.0,996.6,997.2,997.8,998.4,999.0,1000.2,1001.4,1002.6,1003.8,1005.0
E02000030,no_car,517.6,520.8,524.0,527.2,530.4,533.6,536.8,540.0,544.0,548.0,552.0,556.0,560.0,563.8,567.6,571.4,575.2,579.0,582.0,585.0,588.0,591.0,594.0,597.2,600.4,603.6,606.8,610.0
E02000031,no_car,633.0,639.0,645.0,644.8,644.6,644.4,644.2,644.0,646.4,648.8,651.2,653.6,656.0,658.0,660.0,662.0,664.0,666.0,667.2,668.4,669.6,670.8,672.0,673.2,674.4,675.6,676.8,678.0
