District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-0.579268046449215,-2.0007320320653434,-3.9664858726434886,-5.932546901271962,-8.89934349805094
2,-4.6867779837357375,-16.80258474301081,-29.41434758541618,-45.023334101040746,-82.05810224674133
3,-4.806442112310833,-16.000030730363505,-25.022326314851853,-43.02202927584858,-66.04508373720637
4,-4.799955436669279,-14.999918949928087,-21.000277780489796,-32.000242750650614,-55.00026710731436
5,-5.999288110768248,-19.998088264811486,-34.995708576588186,-57.993279212629204,-100.9871141298745
6,-3.5999973262719323,-11.999993491401256,-20.28686524749719,-30.286858147625026,-51.57372273241526
7,-1.8000684167041072,-3.44770982720911,-8.44792781448723,-12.895821781978611,-23.89621510633515
8,-3.019329693101099,-11.202351620001537,-19.23495089462449,-27.267753637309397,-51.500240466858486
9,-7.793523654511773,-22.000229327103625,-47.97848681974938,-72.97886766284682,-136.95758304047467
10,-12.59993078543448,-33.99825538116056,-61.99802078155972,-101.99465200419763,-183.9909376030646
11,-1.1999999289168954,-2.999999525536623,-6.402614079478553,-9.402613903946985,-14.805228390450793
12,-3.6000016392317775,-11.000005550213245,-16.713133170634137,-25.71313799740892,-42.42627133926089
13,-0.8621505970777434,-3.603515447146947,-5.091625182193184,-7.695139693467354,-12.620164317074796
14,-5.432589205156546e-07,-1.7988819189845344,-2.798882685874105,-3.798883054850421,-6.597766080826432
15,-2.999999093798124,-12.356646203194941,-25.713292984451982,-36.71329267377587,-59.426586194575066
16,-4.07570679437049,-15.792846422382354,-22.585691638759272,-34.171382462587644,-55.96423096856233
17,-9.000000000980435,-22.000000000777618,-42.00000000300315,-66.00000000564523,-105.00000000609452
18,-2.9999996536867,-9.643350607288085,-15.286705697294565,-26.286703887042677,-47.57340447404022
19,-0.1242948693886774,-3.207156804583974,-4.414313684395438,-6.828630019861521,-9.03578901299943
20,-2.4000002203611075,-10.000037709923163,-13.597463459567734,-22.597463002261975,-38.19484535594529
21,-1.1999263820503074,-4.999791993543113,-6.999709311825427,-9.999670094824069,-16.999425234778755
22,-1.5378476679302366,-6.948805289368465,-13.460694250371034,-19.409500759101775,-35.484458853008164
23,-7.199979991504733,-24.999959113372825,-51.99994878959933,-78.99988739901892,-134.99979304508634
24,-5.400013655867042,-20.999979633524163,-41.000016204478925,-65.99999382375245,-107.00001545647137
25,-1.7999998003660949,-9.00000042898273,-15.000002412740741,-20.000007865449334,-35.00001600001406
26,-1.200082095830112,-11.000262322649178,-21.000310504708068,-30.00042629671225,-49.000722372516066
27,-5.4000022356540285,-21.999990957079717,-40.99999465945439,-54.999988716223015,-90.99998068517925
28,-2.9999993124147295,-14.999985365484918,-27.999973376864546,-36.9999670733514,-62.999942125130474
29,-4.799997257334326,-17.99999241634123,-28.999988962653333,-45.999979878361046,-75.99997129103213
30,0.0,0.0,0.0,0.0,0.0
