District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,23.755418263157935,85.10746808248678,155.38941843867588,235.5341506755194,412.72592364529055
2,209.93306420429872,585.2386274754354,1104.4420654242786,1711.8684120408034,3070.9539297061237
3,160.33382734663974,437.2198545834581,844.4179503943051,1314.6703440981946,2371.243280210696
4,147.0010843155669,236.00353762271334,458.0063138362784,734.0098642645662,1369.0174432522927
5,196.17899741055044,425.95816696899783,831.9170560929306,1321.866970882391,2445.7490689880797
6,99.26057318100356,220.30301815418352,430.3191653300437,677.6221636724531,1242.2362606288425
7,61.88175566661539,186.74646933391705,350.14970737662134,535.4492248717243,956.4963368605504
8,144.35806475660502,431.81820693657573,821.4782752920873,1257.2732878646366,2197.7679182802385
9,359.87055453406356,508.78663708776,1008.5946277216281,1659.3487232783446,3172.792518663933
10,431.37918221587825,720.9670561275852,1408.9359425433177,2284.8937222461755,4305.796388730847
11,40.69097645875718,123.8967437879055,229.7804134097605,348.0666963783124,607.6523358011382
12,84.33941917585071,212.69696538217613,404.6808027084189,629.3777817618156,1146.7636338729553
13,24.68205503391073,105.78221251993,195.82885847658326,295.83021467726303,510.4400723578956
14,13.675981265944756,64.9608961615404,120.92737868953145,177.89386412185968,300.02236632411496
15,138.59583645136263,351.2728044603937,677.7623745124329,1054.0351849031322,1911.294090783158
16,149.43845338544088,356.9925686457027,681.8137542728509,1054.8063252256197,1883.9628790589668
17,226.2000000256212,418.00000003697824,812.0000000733817,1281.0000001205044,2338.000000226726
18,127.80414667575678,305.7271048315397,588.2374609328654,921.9645771184187,1678.7055129244218
19,16.76160736455995,83.00755685783315,153.18648992480394,231.19405201915697,403.0377987917582
20,74.50916016967494,242.1043236782134,448.22165280094487,681.9363678423888,1205.3529479474582
21,31.79893731077027,89.99684438881741,171.9938930677381,263.9907370748306,467.98374466923906
22,94.03766815912604,202.47342579216456,387.0254651989262,600.7274381749712,1086.076511823895
23,338.99953889566314,628.9992921226185,1226.9986174208898,1948.9977847406844,3570.995870820341
24,250.20014052754414,590.9991117551617,1156.998141026721,1794.9974569458536,3218.995826319424
25,82.80002852314738,194.00004906245067,377.0000938082485,584.00014846045,1047.000288395193
26,93.60131625033864,300.00454468672433,571.0089524530267,882.0134010708662,1568.023420855212
27,272.99996575086334,701.9997774597941,1325.9995957956016,2038.9994037137621,3599.9990205988106
28,193.1998456687361,305.9997687062787,596.9995385969723,968.9992419888858,1846.998544326174
29,198.5999310406678,457.9998449823979,880.9997139194347,1357.9995671912147,2419.9992827403184
30,0.0,0.0,0.0,0.0,0.0
