District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,37.40686687089783,38.58594675759741,149.48347349247706,278.1738700389751,603.8652018351804
2,438.8981441921351,440.5791286047752,1730.1262047717755,3205.5315473493247,6950.888844144603
3,359.74289905067417,364.35203667430324,1426.3415023673515,2642.484613992143,5732.387175408709
4,188.41019630298615,189.01041559287114,744.0406333820865,1377.075568906046,2988.163968285051
5,329.96705411824223,334.96648833639483,1306.8694308047707,2418.7569783019935,5245.473303576189
6,198.0291733888589,204.45867080987955,784.9740700072216,1455.6450598335068,3156.7568994957473
7,136.7016753434691,138.8807944622822,542.2847663052198,1002.9572624566972,2173.92984974349
8,479.96771811028884,492.74358395967283,1915.6499766158959,3542.133995262193,7690.266144651832
9,770.6595402799576,784.6509317418968,3059.6688837955007,5663.534160582873,12291.65340484507
10,801.5890834772435,819.9881288718898,3189.9541575920302,5906.916251072835,12808.820173931541
11,103.2627572471356,104.66275676235091,411.443182423267,759.652373060082,1648.57796309494
12,230.37078827634832,237.54128922399104,916.02577501427,1700.354653059905,3685.2424787576383
13,96.44439183035138,97.78196553000453,378.59839700966404,701.693964692935,1518.8624842372046
14,56.73518628949205,56.57541088236758,221.50275945641079,409.02228571495834,889.4132748348729
15,193.4476523794292,195.77632227630238,767.1052887532205,1420.287445451795,3080.1344564206156
16,384.32544839656475,388.6497451697069,1524.5989726781845,2818.890961371115,6120.188733902702
17,400.20000005996553,411.00000006108894,1597.0000002428278,2954.000000451095,6404.000000978835
18,159.95235379806036,163.2236850301415,638.8947317601414,1183.7125890739844,2566.865626476814
19,57.87460129213832,60.35030343865401,229.4012255607904,424.1094046700455,920.812058959782
20,202.13809447574022,203.33808785250585,792.5601607121789,1473.3538462543656,3194.4355166577297
21,106.7967654314707,107.9967684258263,422.98714593183104,782.9762055148894,1700.948259140252
22,176.05674890958107,178.34010146666333,693.1282532438818,1281.369815784521,2782.253428421034
23,560.3996882710198,577.9997066454671,2250.9987647985836,4168.997727865819,9045.995074490318
24,532.7997974462633,548.9997108932293,2137.9992166455195,3962.9984179950116,8594.996598993544
25,139.80000823571754,142.0000110236142,558.0000325787005,1034.0000630850736,2244.0001340086237
26,232.80366538410453,239.0037274195638,927.0145519588041,1718.0270399835717,3728.058751626246
27,595.8000000153697,608.0000099440076,2369.0000057170837,4388.000008133982,9519.000017216094
28,357.5997177195386,363.99971997879766,1414.9989083515538,2620.9979748538026,5689.995604530115
29,433.19983197130205,439.9998464807577,1728.9993675969017,3198.9988152353326,6947.997412228666
30,0.0,0.0,0.0,0.0,0.0
