District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,17.2139310309758,137.45580153184255,266.016966440593,393.61268639440596,605.3164147352868
2,116.33179881702381,967.8597221203017,1885.305399093486,2803.9375576808197,4285.596743473721
3,61.834459110898024,679.3427699962085,1352.7051409521337,2015.0906593755099,3060.6763874309363
4,40.200421096467835,401.0039280054498,809.0079306565476,1218.0121339576817,1851.0201275917952
5,70.79330510961518,747.928411447192,1503.8546584852447,2254.7806282231977,3443.661583770492
6,34.28848562213534,367.171702492893,733.3434064528137,1090.2282398399348,1644.563615936322
7,38.68661442941175,309.3886009079579,604.4341060786955,893.0318435724712,1355.6143797008608
8,83.21151275610464,766.818875448942,1491.5437816855483,2188.0442971668162,3272.97974856602
9,98.3679815187279,991.6700958522488,2065.318209589801,3192.944497694749,4940.37892496695
10,152.99228055106505,1424.9200296540002,2857.8383258164977,4327.756595508661,6628.641435802761
11,26.665101555789988,221.40394925918827,429.3922102358465,633.783085585389,948.8890164060795
12,28.11151483406684,320.8282776141914,642.6565497466199,957.7716939373677,1484.4362797222675
13,23.562561036510488,196.14629495083136,386.0962993158946,569.5689546760232,868.503209648441
14,12.951955969034316,119.52513934620492,231.05586590365692,338.7877107542063,509.87709536889633
15,54.89791697049077,568.9092273024744,1101.1051614608969,1605.2311527908714,2404.1334219437376
16,64.88136953418325,591.6781103880003,1147.9776842475349,1690.4844106292185,2524.433794935858
17,63.60000000567743,704.0000000712898,1366.0000001387998,1999.0000002013257,2928.000000288317
18,45.30207608228011,475.090671425829,919.8946428053405,1339.7685729249733,2002.866174327899
19,16.71864714066396,157.322052962837,306.02263663627537,450.5160597761105,668.5669389838395
20,56.13512286825244,440.598270388311,860.6121085947634,1267.223176983527,1903.1205352571887
21,14.39948020805241,160.99415381877043,322.98825689552905,477.98260861143626,721.9737014042266
22,44.551356088151806,366.46969655477733,715.4787024017878,1056.4127425828538,1588.902449643847
23,112.199859823515,1101.9985950192277,2088.997425756934,3027.9962969665576,4534.994450031267
24,89.39980916081913,955.9984395781175,1853.9969052986962,2702.9954545404253,4079.9928770844963
25,27.000015973927475,286.0001403818669,540.0002742672905,783.0003948683261,1152.0005747945897
26,43.80080855027154,470.0083830014737,927.0165610675504,1360.0244155148976,2028.0371810362758
27,146.39995235086099,1213.9996215840583,2312.9992983524025,3383.9989617628125,5150.998362001796
28,64.79994037342112,564.9994960289914,1105.9990153208273,1643.9985384880129,2493.997827698502
29,87.59996534057791,806.9997035935776,1565.9994197119522,2299.9991544350523,3475.9987725467254
30,0.0,0.0,0.0,0.0,0.0
