District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,20.81298956313549,-4.933392535190251,-26.66077992481587,-48.35424330920296,-119.6398717717866
2,101.54195955909745,-92.05868794069465,-302.94667128924266,-538.2221917579591,-1095.4767535876272
3,99.01172880697777,-45.02477619187994,-198.0921547768994,-370.1733677687007,-803.3861595209819
4,9.599302322731091,-49.00239274411069,-145.00519399057157,-266.00796797931616,-560.014155687044
5,29.396709216533054,-116.9897940292285,-307.9705705835149,-536.9466103192135,-1089.8913077407706
6,66.77695806946213,-1.2009921192657202e-05,-70.14748196851906,-146.00807148765125,-360.8848583319541
7,36.679660315885485,-22.79225445396969,-82.37539823876523,-156.3017339404214,-329.9457965713009
8,66.99849403334883,-89.2677778134057,-273.12120020031216,-469.01971952915846,-934.2910878556431
9,-139.81111587901978,-255.97764859801828,-555.9130444176335,-932.8374862739511,-1727.633164906074
10,-104.3852384992424,-325.9728441568441,-717.9524976223984,-1192.925089150187,-2234.857752817312
11,18.74039584034017,-29.013069528145934,-70.84444562620683,-122.27320390888781,-262.16994173780586
12,51.423026568840214,-32.00000200375507,-109.85253738086249,-209.99194638045992,-496.1151529222807
13,24.229066394382244,-14.677267505817781,-44.68999871350343,-75.64308005334078,-173.19542391141476
14,10.555311740063189,-9.793293252969761,-34.178766098465985,-57.56423869616492,-117.92736604101538
15,37.36783504777122,-113.42660587677892,-304.9930868663214,-506.55957011661667,-964.1191278673323
16,45.10284813425824,-95.92845307350217,-257.64977173713487,-446.54246920876903,-888.6706340198107
17,16.799999977167317,-142.00000003754394,-345.0000000779946,-590.0000001289336,-1211.0000002451961
18,34.03214086347543,-98.57336969185599,-255.00684832714614,-425.44032479454836,-818.880680379636
19,16.697176593123913,-13.071576712957267,-41.35030713788092,-72.4576664781257,-154.32964822114536
20,38.25978814223163,-52.98723517168037,-131.15620867091639,-226.72790927435562,-492.83231053726377
21,28.19882399666949,-3.000049613810006,-30.999239445111925,-66.99809112477124,-168.99472204589074
22,8.690666943986798,-52.53201253967745,-136.93784323411091,-227.0603262334862,-453.8683163899477
23,4.800125276247854,-278.9995294647597,-676.9989785221842,-1103.9983200935749,-2024.9969343270714
24,101.39938937787883,-166.00046500965254,-499.00042735909665,-813.001101992053,-1563.0014446941896
25,36.000015497958884,-57.99998986288119,-168.99998651927672,-279.9999797486689,-546.9999783594722
26,102.60160789325892,-34.99993160908707,-177.00123736610294,-306.00230242151883,-645.0065261313848
27,80.3999625429642,-155.99995374806167,-396.9999101029025,-669.9998415121881,-1375.999657044933
28,-3.0000032697062124,-85.99995198639954,-237.99985273246057,-424.9997307341,-837.9994777948777
29,101.39990945993122,-91.00003187553011,-320.00001951593003,-549.9999996623446,-1091.9999626601566
30,0.0,0.0,0.0,0.0,0.0
