District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-15.439303122703677,-42.55706390852765,-92.04334465792317,-149.46290894712183,-265.26872276398626
2,-171.54040579747743,-349.7107668144963,-714.4507684000782,-1142.4069481325241,-2011.8945315836354
3,-143.5470193039182,-277.1659565546033,-560.330456448879,-904.505605854054,-1587.8796777851785
4,-146.40067692906996,-196.0020621899239,-361.003937099882,-569.0062703275435,-1000.0113800828021
5,-186.57926896314348,-302.9687362783334,-584.9398643086934,-940.9038035754402,-1698.8247584728815
6,-90.94419988001391,-155.00804508464898,-306.8767187455014,-494.0322502890085,-883.6301769786514
7,-44.670373983231,-104.92632575219523,-217.74790333076817,-354.464967202578,-625.794912378471
8,-124.35852801184046,-252.01813962265624,-519.293628878735,-821.8367840016763,-1440.166852657494
9,-348.45746441167285,-443.8393046850979,-815.6786915636112,-1293.5076623573732,-2311.144160059037
10,-415.7791172772595,-561.9727304953049,-1061.9489595739178,-1674.9196160086321,-2980.855588749564
11,-30.358424953022222,-66.03921698459544,-141.0915091929637,-228.35164459097632,-398.87191702905056
12,-71.65579197555053,-135.99194362143498,-273.12325534168485,-436.96770833313894,-788.3697462034343
13,-14.215807912060882,-49.700747977012725,-112.60850302455219,-182.21140766570534,-319.116002518037
14,-8.400003981582813,-29.3854790338396,-65.56425238848942,-105.54190997557271,-184.29610703347407
15,-133.5818499401903,-225.34969958141846,-447.0560420856127,-718.1190323858427,-1316.028245339854
16,-132.4113311983274,-227.2712450095678,-454.54249429241827,-725.1922892588082,-1306.077571570686
17,-218.4000000253909,-308.0000000318505,-596.0000000584496,-945.0000000944856,-1691.0000001717326
18,-121.4181358126425,-199.65025932157187,-396.94386692224543,-635.880822033876,-1160.9714990383836
19,-10.388728642943533,-38.7288409172852,-86.45767464665914,-137.80798459037123,-256.92290074060975
20,-53.641597196414295,-125.96124556884752,-274.9095640917094,-447.6501537814638,-789.1312151292404
21,-26.999134231291464,-51.99819785609634,-110.99614501511314,-179.99372681733803,-319.9890200622167
22,-77.91555585391961,-136.3747481048904,-264.64712071748454,-425.328975992521,-749.0985794263152
23,-355.79951183440426,-484.99945082124395,-944.9989146557964,-1450.9983420171884,-2519.997091501864
24,-246.60025472948837,-405.9997016797679,-803.9993086074937,-1268.9987631157455,-2232.997847240109
25,-78.60003483072433,-136.00003288331754,-264.00006326531366,-418.0000996797917,-741.0001738393239
26,-80.4010349786513,-182.0025243241107,-379.0053641925133,-606.0087545110564,-1085.0153049664605
27,-221.39999769478163,-423.9999143332461,-859.9997901825045,-1366.9996715759044,-2370.9994273557786
28,-193.19983586698618,-254.99979097294636,-468.9996263637713,-750.9994011859835,-1370.998904803515
29,-182.9999338069647,-315.9998961438723,-610.9997964958566,-974.9996833495788,-1701.9994735353575
30,0.0,0.0,0.0,0.0,0.0
