District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,667.1607831283582,462.9693006077541,632.9636147711681,876.948922447049,964.9349119139406
10,1_car,-104.3852384992424,-325.9728441568441,-717.9524976223984,-1192.925089150187,-2234.857752817312
10,2_cars,-415.7791172772595,-561.9727304953049,-1061.9489595739178,-1674.9196160086321,-2980.855588749564
10,3+_cars,-203.39316549234536,-202.99257293639585,-351.9885119272185,-545.9811927116134,-1121.958590168486
2,no_car,149.481526377328,75.44404425446646,75.84520859689746,90.8456278514459,65.44959120614567
2,1_car,101.54195955909745,-92.05868794069465,-302.94667128924266,-538.2221917579591,-1095.4767535876272
2,2_cars,-171.54040579747743,-349.7107668144963,-714.4507684000782,-1142.4069481325241,-2011.8945315836354
2,3+_cars,-129.06649064638532,-131.27376229580386,-221.74452616075178,-341.6515969313923,-763.9296307959503
9,no_car,616.61102113179,470.8690777787451,655.8030865474066,905.7153506319737,1005.6169652967001
9,1_car,-139.81111587901978,-255.97764859801828,-555.9130444176335,-932.8374862739511,-1727.633164906074
9,2_cars,-348.45746441167285,-443.8393046850979,-815.6786915636112,-1293.5076623573732,-2311.144160059037
9,3+_cars,-154.729764275683,-159.9359964043615,-258.8826352010137,-388.82957963792614,-798.6377155491127
7,no_car,38.87687330065501,20.001400922902576,17.554163380602404,17.107148219896317,3.316856606379588
7,1_car,36.679660315885485,-22.79225445396969,-82.37539823876523,-156.3017339404214,-329.9457965713009
7,2_cars,-44.670373983231,-104.92632575219523,-217.74790333076817,-354.464967202578,-625.794912378471
7,3+_cars,-48.160842252296334,-46.47701471879964,-81.50638712921636,-122.43134621661602,-272.7577397301211
8,no_car,137.473422736487,73.07814317034627,82.68545429883852,102.50129091735016,68.07768065011442
8,1_car,66.99849403334883,-89.2677778134057,-273.12120020031216,-469.01971952915846,-934.2910878556431
8,2_cars,-124.35852801184046,-252.01813962265624,-519.293628878735,-821.8367840016763,-1440.166852657494
8,3+_cars,-113.30955359229938,-134.25192055579737,-234.6719801886802,-356.11288057287857,-753.2158540797582
5,no_car,253.17180038949118,173.98125808087934,200.97830533893102,262.97009323529346,303.9668727992812
5,1_car,29.396709216533054,-116.9897940292285,-307.9705705835149,-536.9466103192135,-1089.8913077407706
5,2_cars,-186.57926896314348,-302.9687362783334,-584.9398643086934,-940.9038035754402,-1698.8247584728815
5,3+_cars,-126.58627744306978,-120.98768980385557,-205.98079252893785,-311.97163759174146,-649.9418622547091
3,no_car,138.79230109386754,76.13262189257512,89.1977319974576,108.28531138862945,80.38454754596296
3,1_car,99.01172880697777,-45.02477619187994,-198.0921547768994,-370.1733677687007,-803.3861595209819
3,2_cars,-143.5470193039182,-277.1659565546033,-560.330456448879,-904.505605854054,-1587.8796777851785
3,3+_cars,-121.27096081549826,-115.06432504083023,-195.11880561928683,-298.1709847373231,-627.3670692746118
6,no_car,86.74420999150061,52.9999766275364,66.99997214228415,84.71308596337894,74.56559238728914
6,1_car,66.77695806946213,-1.2009921192657202e-05,-70.14748196851906,-146.00807148765125,-360.8848583319541
6,2_cars,-90.94419988001391,-155.00804508464898,-306.8767187455014,-494.0322502890085,-883.6301769786514
