District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,11.820199368126737,3.935785488613419,1.9361041304517812,-0.06222100359434535,-8.02567249797437
2,149.481526377328,75.44404425446646,75.84520859689746,90.8456278514459,65.44959120614567
3,138.79230109386754,76.13262189257512,89.1977319974576,108.28531138862945,80.38454754596296
4,197.40209690578104,143.001653100333,185.00256692036237,245.00403503286816,288.0039941710911
5,253.17180038949118,173.98125808087934,200.97830533893102,262.97009323529346,303.9668727992812
6,86.74420999150061,52.9999766275364,66.99997214228415,84.71308596337894,74.56559238728914
7,38.87687330065501,20.001400922902576,17.554163380602404,17.107148219896317,3.316856606379588
8,137.473422736487,73.07814317034627,82.68545429883852,102.50129091735016,68.07768065011442
9,616.61102113179,470.8690777787451,655.8030865474066,905.7153506319737,1005.6169652967001
10,667.1607831283582,462.9693006077541,632.9636147711681,876.948922447049,964.9349119139406
11,34.68313144754097,23.999993580295722,19.79214946880029,25.5843018583937,13.765997413978766
12,84.85578712280585,53.0000232264365,65.0000276386736,82.28690893240218,67.43440992486649
13,12.394286923303412,5.621537583014174,0.0180313880077847,-4.888971532725577,-18.866096854078137
14,11.517319335021853,5.000000231233912,3.4022356686446074,4.603351227910707,-3.9888247177865424
15,165.16788105180785,85.42660354783311,94.42660600778709,125.13990465035386,106.42662202415158
16,161.06556013074442,97.92844647140282,118.13560574870098,162.51414034403115,150.306974628641
17,315.0000000520595,211.00000003282184,280.0000000429063,387.00000006023765,468.00000007606286
18,138.43211068182336,73.57340273361842,85.57340857991858,112.8601120639405,116.57341335621913
19,12.934493077745628,6.071585651484611,1.8644331075593072,0.4859095763969208,-15.306916697347788
20,61.316959010620394,38.0000437769495,28.207811524216595,30.415581108510196,6.2336567204870335
21,32.39894190032146,20.999321097554912,23.999271775740908,29.999132985076812,26.999366192170783
22,100.53126387462453,62.37844178899604,70.42963238569928,89.78431810422398,96.55216103605335
23,499.199274632203,296.9995354085877,408.9993131383708,492.99910967186224,424.99908141650303
24,275.4005433070124,133.00048536201393,153.0006355572732,174.00103780520294,119.00139291265259
25,83.40002841017485,42.00001681619142,49.00002320986687,57.000029418223676,40.0000357005797
26,64.20118318797677,26.00063961543856,19.000761211648296,16.00069050908769,-40.9998391181357
27,260.3999966707488,161.00000127768544,153.00001956627057,190.00003763899258,167.0000696547104
28,271.7997745162793,195.9998352886887,266.9997753176631,366.99969981026334,458.99960531659053
29,191.99997133636862,103.99998529794175,111.99997906856152,143.99997365673698,106.99998279119791
30,0.0,0.0,0.0,0.0,0.0
