District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-7.717180693993214,-70.24466536107138,-163.28531422631931,-272.1200550748654,-551.1391466278474
2,-50.895621592062525,-503.22201648547343,-1166.1038665711749,-1937.419428687208,-3811.848230767566
3,-24.007505072302592,-358.12270222765073,-865.3220997466124,-1460.5759933173904,-2941.270059992974
4,-13.800321551796515,-169.0040940084,-430.00917906419636,-745.0152746747845,-1592.0303778210437
5,-29.996975551970536,-369.9648467354273,-896.9135035060172,-1525.8515772515602,-3135.690770555506
6,-11.144246181782364,-172.7292954213881,-417.1798113967525,-722.7777938853687,-1526.2767971440262
7,-16.6746212450671,-155.746741182571,-365.07563503122947,-614.0909836156097,-1223.181585707127
8,-33.677791870919464,-404.48697395024647,-938.3619688111066,-1546.638386968545,-3058.3916854159543
9,-27.59384452289669,-388.8840234699019,-973.6931002213096,-1712.4484328748076,-3827.776183738053
10,-59.39777178638906,-632.9687320106896,-1508.9247236250521,-2543.875027304981,-5368.737242452684
11,-12.249412489978567,-111.49413057694983,-254.81963939839443,-429.36606263511203,-864.5373543346795
12,-12.255754422869359,-183.27069912948355,-452.82017434229783,-783.2221715724372,-1654.7231075974778
13,-10.141296334571962,-96.00711971658166,-224.0269619363662,-374.5417285518761,-746.0322732370223
14,-4.796648361914777,-61.16200915342051,-141.1117273851669,-230.85474377623086,-456.71507863082843
15,-22.24196515980293,-347.55952174114645,-819.9722170957393,-1355.8114990968534,-2688.2663566787523
16,-30.70283130579628,-333.40686732572067,-789.9493576567183,-1313.2489323144182,-2668.0835511727564
17,-25.200000001845183,-376.0000000431173,-907.0000001035514,-1544.000000177417,-3224.0000003686146
18,-20.95803140222779,-292.44038076837023,-691.027553159438,-1141.1881412414878,-2265.732971815625
19,-7.09717668014855,-77.5932397881661,-184.05088999195323,-307.7514817615629,-623.9172680544434
20,-24.35067588509264,-219.50693760003924,-507.18284618805774,-846.6380634406742,-1702.470810034425
21,-4.799805014967205,-75.99730637067478,-185.99338443881425,-320.98859310105763,-678.975790098586
22,-19.38426434919893,-179.24854913162198,-417.9029349334305,-696.3763159563059,-1388.8038173886744
23,-51.59993428719463,-651.9992204370647,-1540.99816103607,-2542.9970008746022,-5061.993944910486
24,-37.80000995170849,-587.9993064792943,-1400.9982198242215,-2317.997177232828,-4503.9951182991645
25,-14.400000683839608,-201.00001219191472,-476.0000293489975,-780.0000596375176,-1529.0001503144522
26,-20.400239142654755,-289.00399249576003,-690.0098170216952,-1168.0165207957034,-2352.0337336422162
27,-58.19997615169268,-600.9997878989816,-1404.999513449744,-2316.9992259748688,-4545.998501948139
28,-24.59998081097001,-230.9998411013803,-566.9995998633385,-1003.9992835768571,-2172.998428038605
29,-39.59998676519899,-454.99987419987156,-1075.999704766975,-1787.9995095805716,-3501.999061645096
30,0.0,0.0,0.0,0.0,0.0
