District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-114.06308231240473,-61.379754213324304,-94.03492033440125,-134.62117842488078,-330.65709059370965
2,-1322.3452783138928,-712.9012337894383,-1086.4464236643253,-1551.0577908633713,-3825.993501939389
3,-1090.0219543924904,-587.549618689045,-894.8462167233811,-1279.2098407992453,-3152.968522124538
4,-567.0310830335002,-307.0169214254129,-466.02580246334765,-668.0365457487751,-1644.0901180294168
5,-993.5004251534629,-535.9455211860623,-820.9175233319402,-1170.883224199315,-2883.7107042788193
6,-599.8317646408796,-321.0486258157034,-492.3598103798795,-704.1053515794702,-1734.2593273284874
7,-412.50526670825275,-222.94071999080916,-340.58269050893796,-484.91161445096805,-1196.2114713191477
8,-1454.0156738913065,-789.7100430182763,-1199.5983994775306,-1717.7366365074704,-4227.952332468994
9,-2328.7851806170656,-1259.4543074693065,-1918.1598321578058,-2744.7996620839986,-6762.054008946638
10,-2420.966276832507,-1312.9819128074741,-1993.9720053678611,-2856.960024745291,-7045.9019620145555
11,-312.30513363100545,-170.70197950559304,-256.75427808172026,-366.4170350016575,-905.5360493686603
12,-695.5681161973844,-376.9513109059917,-574.6400939663217,-820.8945100490091,-2027.740330476452
13,-288.50173888842437,-154.71096974006832,-236.55032315017888,-338.4239174316426,-834.9849689021848
14,-169.24690167166045,-91.75976254164925,-139.13964416859199,-199.31281871854844,-489.5865178289969
15,-583.3429575766095,-316.41275279258844,-480.11913077424833,-687.2521018255575,-1695.9169560518021
16,-1161.0249354135522,-627.7495704766625,-955.227935871706,-1366.4633687506284,-3365.6763096148643
17,-1209.0000001851004,-658.0000001011649,-997.0000001526641,-1424.0000002183951,-3525.000000537606
18,-487.057056487909,-264.5872534430855,-400.8808825095766,-572.747916529057,-1412.0830847868638
19,-174.57521326851202,-94.25051107724357,-143.77218646293113,-206.53680759054623,-506.3241270927265
20,-605.697376727956,-328.2994416065703,-500.24783306867175,-713.5859614086803,-1755.4713640647751
21,-323.3900968709786,-174.994610365462,-264.99187296060336,-378.9884331188223,-934.9715157188111
22,-527.8016855858768,-284.35295236811,-433.8740389382474,-621.6748403652055,-1531.8287811225673
23,-1694.999067645942,-927.9994855812547,-1410.9992441345094,-2016.998902429841,-4973.997293457651
24,-1616.9993157760764,-883.9996440278337,-1344.9993921443383,-1918.9992426368408,-4729.998187422694
25,-422.40002038662715,-232.00001166972652,-352.0000191912404,-501.00002853949263,-1235.0000782308816
26,-700.2112736520648,-381.0061258399219,-583.0092811457871,-832.0131330836448,-2049.032273423043
27,-1803.000002213259,-976.9999991960067,-1490.9999964570306,-2124.000008652947,-5234.0000104534265
28,-1075.1991596516964,-581.9995495246258,-886.9993149844959,-1269.9990149211226,-3124.997581605676
29,-1313.3994860669045,-714.9997307564045,-1083.9996009655588,-1548.999430830605,-3820.998582036147
30,0.0,0.0,0.0,0.0,0.0
