District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-8.297003069811126,-97.86928258572016,-227.39660321348356,-362.8565823981985,-445.99914702677415
2,-56.06865661097618,-708.3709197898424,-1657.2356972116722,-2666.9246330559217,-3274.1549313845426
3,-34.820350129699364,-518.3193322313055,-1219.7473304931918,-1944.2087505333147,-2329.3769474849287
4,-26.400012558917297,-344.00200570749803,-796.0049840836582,-1265.00811275253,-1462.0127606438855
5,-42.59573979800189,-587.9432654283482,-1379.865596029551,-2222.7820733570516,-2654.738834326665
6,-19.54424099192329,-300.4504828472109,-695.6221707772056,-1104.3676052823048,-1248.6706785671486
7,-18.143355866374804,-228.12032889927468,-530.0614540579008,-847.450831431458,-1031.8835901335415
8,-41.615617008712434,-576.639447490983,-1311.4024511090065,-2054.633463379596,-2448.0323421592875
9,-66.58084239936579,-937.6897568243949,-2185.2725534424026,-3531.822960336478,-4031.664178031526
10,-95.99457240232732,-1229.9257067109575,-2852.8278848051195,-4562.724623279697,-5262.696905573335
11,-14.532549871841184,-167.54642177630194,-386.7425234884995,-615.1464690866333,-726.2641384703684
12,-17.655758091463213,-249.54949935987133,-577.3777875199157,-919.6323279468425,-1090.329253365243
13,-11.965560899819138,-146.51248132460296,-341.28379017766474,-543.4062902184578,-659.4714110751202
14,-6.475978075115108,-87.34637038140409,-200.8770985532642,-316.0055924762087,-379.36313330643407
15,-28.241965250759677,-409.9861172797282,-942.1820575447928,-1481.377996399262,-1783.510917968837
16,-33.102832268861675,-439.1639436409023,-1009.0492001707007,-1588.9344657237507,-1884.377124912373
17,-38.40000000446889,-548.0000000576438,-1243.0000001286244,-1934.000000201475,-2216.0000002226006
18,-23.358033578864706,-343.0138221323923,-787.8178119135355,-1237.6218036342707,-1487.4888202365619
19,-8.897175999725732,-118.83617099167805,-274.95106401495605,-433.065957071959,-503.6234160328722
20,-26.26758792273722,-330.45522087239624,-765.2612173084017,-1217.8593588238036,-1449.7429551891546
21,-8.999654252934306,-130.99521475864276,-302.9889312280011,-480.98244683661596,-546.9800388945314
22,-22.691396380667356,-277.3710198379031,-644.6633734246079,-1026.1568419628184,-1227.6613084193814
23,-62.99991199293436,-869.9988681502618,-1949.9974660281478,-3012.9961273651643,-3516.9955959721883
24,-51.59995278648421,-715.9989445913161,-1632.9975255705613,-2556.9960782612216,-3091.9947629821036
25,-15.000010069897144,-207.00013837302595,-463.0003186091062,-716.0004894070426,-850.0005147632801
26,-23.40045619065131,-360.00660340980176,-832.0152354809779,-1308.024035186725,-1537.0281511164849
27,-71.99998080411024,-911.9997432991076,-2061.999414485843,-3239.9990784837682,-3933.9988042961813
28,-35.99996688876854,-459.9995719860308,-1066.9990077231796,-1705.9984144354476,-1977.9982232799593
29,-47.99998148561281,-606.9997603049524,-1398.9994464701886,-2214.999123026064,-2680.9989817095266
30,0.0,0.0,0.0,0.0,0.0
