District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-155.42898306962707,-103.83770844564424,-166.14533392677185,-237.55637639774977,-574.8927196194109
2,-932.9868358002786,-827.3251117495238,-1271.3279698350962,-1797.081956232243,-4366.753008565618
3,-767.9127109806577,-552.3460844817964,-895.4737594552716,-1202.6267773861982,-3080.5737786742684
4,-604.8042356263104,-370.00248242703674,-412.00678321067244,-540.0120213850678,-1638.0272295284522
5,-868.1122171682728,-628.9420229234674,-896.9190414181867,-1162.9014320209099,-3185.6963349017096
6,-479.1830151756367,-253.01613511477626,-380.45859044443205,-505.1879141893878,-1379.4081513529818
7,-321.6359868499858,-245.776983502441,-370.28580601814974,-482.2146721212521,-1280.2907884611523
8,-799.0570902946783,-676.6469473998804,-1065.060267999499,-1469.8814439340058,-3317.481242669768
9,-1541.4979378202988,-915.6680105710693,-1245.5516730018135,-1663.399503446417,-4694.48192209618
10,-1904.3129652709467,-1316.922353865215,-2045.9099850930215,-2888.8647428088443,-6870.678375435964
11,-266.99374980036555,-209.36472110102295,-159.7412221803952,-236.611825527576,-656.1988318973836
12,-426.81694002153745,-168.98387101933622,-291.54142195278473,-417.81208845112997,-1269.5918152143313
13,-225.57388353023998,-170.5192354467581,-159.0628067955986,-240.56798919614084,-675.9736630706648
14,-120.52291311985482,-104.32960432925756,-141.51395741970828,-206.07261341017875,-485.69270643013624
15,-707.8491346780793,-416.48960480360984,-703.049120130032,-1024.3219030922992,-2364.8466782966716
16,-667.5165344477937,-388.71383104163397,-611.3711823412013,-875.8854144480501,-2160.4131253169617
17,-907.2000000968619,-361.00000002975867,-628.0000000717337,-928.0000001035951,-2726.000000290158
18,-517.9508053987738,-284.5103672777077,-606.9507033136542,-859.6778033161099,-1976.152774011618
19,-162.88366601709458,-107.2863032943369,-158.62900179536518,-209.1148738148422,-521.5876108398643
20,-550.8088340768409,-426.63723152027524,-348.26097675249184,-500.39031408846495,-1384.808244647873
21,-210.59219011532696,-92.99647140169691,-155.99422405140467,-189.9933804260836,-576.979359330584
22,-442.1943097902076,-317.70717101034097,-334.6580002866358,-451.22814057176583,-1252.7579450755147
23,-1788.5979106376617,-1031.998888897302,-2112.996880544699,-2503.99607610004,-5256.992876344273
24,-1303.7987929912488,-755.9990221844928,-1205.0005370128201,-1870.9953241784242,-4175.992514693702
25,-377.4001785279979,-224.00009691929517,-358.00016572168533,-546.0002040582876,-1207.000513568899
26,-678.0105347294884,-301.0053622603373,-221.0080939408581,-520.0145330601226,-1567.0338547280408
27,-1553.9995846617821,-1179.9996278512845,-1130.9996297684993,-1706.9994086032239,-4421.998546095347
28,-914.9991957765742,-473.99954531352705,-518.9995321363967,-715.9994223012181,-2132.998259952328
29,-1113.5995998337821,-640.9998527675198,-704.9998579701496,-1289.999787632456,-3112.9991552797874
30,0.0,0.0,0.0,0.0,0.0
