District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-1.7798916332499175,-5.932857510476879,-9.899346351353415,-14.866874552487388,-22.766113523235163
2,-15.845933417902415,-66.81233687077474,-109.82932269084631,-160.64490195116377,-273.06894170273154
3,-15.012982897871552,-53.033290174091235,-87.06668474826438,-128.10012153169737,-206.16774228870418
4,-13.200085647697051,-48.00031917250999,-85.00025445558458,-123.00068056621785,-206.00104459004615
5,-18.597901924988037,-67.99259779317254,-110.98793242116335,-161.98180145496735,-276.96959108823285
6,-9.772118935750768,-34.28685542230596,-56.57371840865562,-82.86058106886958,-134.86055060081708
7,-3.6002025110337854,-17.448201424147555,-27.896358257928114,-41.8968736765637,-69.79352071261383
8,-11.540573965523436,-42.268255449906064,-73.50005197351129,-102.5345395360946,-173.0378283102291
9,-28.187183500522224,-117.96791815057804,-204.9353836744085,-308.9031486658314,-562.838525774514
10,-33.597779160918435,-147.9926853840734,-260.9870086445917,-390.9797024023683,-694.963348804129
11,-3.8415683811526833,-10.805228632426406,-17.805228044686373,-26.80522627481787,-42.61045393225959
12,-7.627879081584979,-26.7131409451722,-43.42627498050933,-61.13941100014017,-96.13943604816632
13,-2.092864351840035,-7.579732743161003,-11.671360118223674,-16.6475811535729,-27.527330972395248
14,-1.0793297214067934,-3.798883619807384,-6.597766518495973,-8.597767569507141,-13.195534383524318
15,-9.813988554522439,-41.713293459966735,-69.42658956460946,-105.78323564004677,-179.20982669204022
16,-11.151414706388096,-40.3785420411059,-68.96423647592019,-98.5499341755567,-163.51416756384606
17,-20.400000001747685,-73.00000001023545,-122.00000001646004,-174.00000002242996,-288.0000000416803
18,-9.986011356397285,-35.28670391237756,-62.57340471484349,-90.21675157178106,-152.79016056900582
19,-1.4485898827183519,-4.621475925547202,-9.035791276551208,-10.450109195276582,-16.485901614255454
20,-7.558429414995771,-23.19480973053942,-40.1948491396779,-57.19488698576242,-94.38969642186021
21,-2.999926435399175,-10.999671607823984,-16.999464459809133,-24.99921907130738,-35.998931833578354
22,-7.507127267409487,-26.972575955524917,-47.43326508876271,-69.45703538516591,-125.68191538849896
23,-26.39996433039778,-107.99985883404952,-184.9997478685509,-274.9995990029747,-460.999300507312
24,-21.00000278104926,-81.99999592763925,-139.00007198159074,-196.00016439540195,-330.0003459416803
25,-6.000002579707143,-26.000012014419553,-42.00002169547133,-60.00003697144075,-99.00005850588695
26,-9.000098308832094,-28.000447940225058,-49.00066084312493,-69.00094295058989,-108.00129999957608
27,-23.99999754547389,-89.99999228086381,-142.99998579833118,-203.99998526454874,-350.999979629305
28,-14.99998735492045,-55.99994907019209,-96.99991485308055,-141.99987304999922,-242.99978273774104
29,-13.799994808012343,-57.99997917538349,-96.9999690848781,-145.9999504107509,-239.9999244064602
30,0.0,0.0,0.0,0.0,0.0
