District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,41.99770820227786,150.9907406383718,249.9851842755379,367.9760498750038,589.9614723245322
10,1_car,6.599995306751225,32.00171362909896,76.00006599493645,127.99819818451215,285.99282051783666
10,2_cars,-33.597779160918435,-147.9926853840734,-260.9870086445917,-390.9797024023683,-694.963348804129
10,3+_cars,-12.59993078543448,-33.99825538116056,-61.99802078155972,-101.99465200419763,-183.9909376030646
2,no_car,7.559189889621848,31.012715045911136,49.22555169315274,69.61906621442904,119.65239418140573
2,1_car,14.28271025558206,55.411549084346916,96.822972490354,140.04873544285874,240.46766964169365
2,2_cars,-15.845933417902415,-66.81233687077474,-109.82932269084631,-160.64490195116377,-273.06894170273154
2,3+_cars,-4.6867779837357375,-16.80258474301081,-29.41434758541618,-45.023334101040746,-82.05810224674133
9,no_car,35.993567968555,128.9783318617192,209.9670775491686,311.94525741738835,508.901541475203
9,1_car,0.5937071499356534,14.979022620769683,41.95773678777914,73.94770521562168,188.8833155720131
9,2_cars,-28.187183500522224,-117.96791815057804,-204.9353836744085,-308.9031486658314,-562.838525774514
9,3+_cars,-7.793523654511773,-22.000229327103625,-47.97848681974938,-72.97886766284682,-136.95758304047467
7,no_car,1.800137002075644,6.000566934378185,11.000936553300562,14.449023705522904,22.00238828927604
7,1_car,3.600022811598137,16.89552705611004,29.895708781359644,39.3437480044322,68.23967795874523
7,2_cars,-3.6002025110337854,-17.448201424147555,-27.896358257928114,-41.8968736765637,-69.79352071261383
7,3+_cars,-1.8000684167041072,-3.44770982720911,-8.44792781448723,-12.895821781978611,-23.89621510633515
8,no_car,6.62156735617009,24.003312029640256,40.03626657158293,59.24375427729683,93.11449404347331
8,1_car,8.419319012158667,31.262609373494342,49.69461903729098,75.96015850529875,130.25802160677995
8,2_cars,-11.540573965523436,-42.268255449906064,-73.50005197351129,-102.5345395360946,-173.0378283102291
8,3+_cars,-3.019329693101099,-11.202351620001537,-19.23495089462449,-27.267753637309397,-51.500240466858486
5,no_car,13.79852746747747,45.99491750908601,76.99216819736284,110.988014902352,181.9796896003918
5,1_car,8.399033712681558,40.99524043343263,67.99135891881087,106.98760063801092,197.97685320530945
5,2_cars,-18.597901924988037,-67.99259779317254,-110.98793242116335,-161.98180145496735,-276.96959108823285
5,3+_cars,-5.999288110768248,-19.998088264811486,-34.995708576588186,-57.993279212629204,-100.9871141298745
3,no_car,4.806785208947076,22.022662072883577,37.03389672690355,52.05691581512201,86.10109645390457
3,1_car,11.406553924705804,44.02250959088269,77.0448009622014,116.05553191201034,189.12287439703505
3,2_cars,-15.012982897871552,-53.033290174091235,-87.06668474826438,-128.10012153169737,-206.16774228870418
3,3+_cars,-4.806442112310833,-16.000030730363505,-25.022326314851853,-43.02202927584858,-66.04508373720637
6,no_car,4.7999974754125105,12.999994435713688,24.999989572078903,32.99998654723822,49.9999814020116
6,1_car,7.972119843852852,32.5737292153226,53.573717780460356,81.14745023494652,135.1474174442319
6,2_cars,-9.772118935750768,-34.28685542230596,-56.57371840865562,-82.86058106886958,-134.86055060081708
6,3+_cars,-3.5999973262719323,-11.999993491401256,-20.28686524749719,-30.286858147625026,-51.57372273241526
4,no_car,10.800026095100293,35.00037284764585,55.00056452350418,78.00101280292984,125.00138829491698
4,1_car,3.6000613378528215,25.99969060102012,47.99978906347678,72.99984098487403,138.99981990963352
4,2_cars,-13.200085647697051,-48.00031917250999,-85.00025445558458,-123.00068056621785,-206.00104459004615
4,3+_cars,-4.799955436669279,-14.999918949928087,-21.000277780489796,-32.000242750650614,-55.00026710731436
1,no_car,1.1796383303735638,0.0013587568375896808,1.9674319708216217,1.9683652400051415,6.901234426738142
1,1_car,1.7792651075715185,6.9319243501036,9.898405123018165,16.830328345392445,25.729361372970743
1,2_cars,-1.7798916332499175,-5.932857510476879,-9.899346351353415,-14.866874552487388,-22.766113523235163
1,3+_cars,-0.579268046449215,-2.0007320320653434,-3.9664858726434886,-5.932546901271962,-8.89934349805094
17,no_car,18.60000000358741,62.00000001244371,96.00000001958324,135.00000002919296,203.0000000495893
17,1_car,5.999999998257408,34.99999999652937,63.99999999772626,100.99999999674765,188.9999999996362
17,2_cars,-20.400000001747685,-73.00000001023545,-122.00000001646004,-174.00000002242996,-288.0000000416803
17,3+_cars,-9.000000000980435,-22.000000000777618,-42.00000000300315,-66.00000000564523,-105.00000000609452
15,no_car,9.21398928931012,31.356652174154988,51.7133015291347,76.71330563065749,117.42660924309894
15,1_car,5.013986578771437,25.713289640665607,46.42658051265607,65.78322438042596,122.20980554225753
15,2_cars,-9.813988554522439,-41.713293459966735,-69.42658956460946,-105.78323564004677,-179.20982669204022
15,3+_cars,-2.999999093798124,-12.356646203194941,-25.713292984451982,-36.71329267377587,-59.426586194575066
16,no_car,7.075707983584834,28.58569126288603,46.37853946318137,65.17138684362635,102.757080558692
16,1_car,5.400002602029417,25.378539528250258,47.17139027917074,65.75708501580084,114.928475654473
16,2_cars,-11.151414706388096,-40.3785420411059,-68.96423647592019,-98.5499341755567,-163.51416756384606
16,3+_cars,-4.07570679437049,-15.792846422382354,-22.585691638759272,-34.171382462587644,-55.96423096856233
11,no_car,0.6000001264928869,4.999998969865146,7.9999983703060025,12.999996933621333,19.999996232511876
11,1_car,2.999999153799763,9.805228655977771,17.207842401971902,23.61045688708873,38.415685088797545
11,2_cars,-3.8415683811526833,-10.805228632426406,-17.805228044686373,-26.80522627481787,-42.61045393225959
11,3+_cars,-1.1999999289168954,-2.999999525536623,-6.402614079478553,-9.402613903946985,-14.805228390450793
14,no_car,4.6429750000243075e-07,0.9999996716620672,2.0000003310404963,3.7988816342427754,4.000001212472284
14,1_car,1.2000001618857823,3.7988844147635064,6.39664962692359,9.195533263554807,14.994417718955447
14,2_cars,-1.0793297214067934,-3.798883619807384,-6.597766518495973,-8.597767569507141,-13.195534383524318
14,3+_cars,-5.432589205156546e-07,-1.7988819189845344,-2.798882685874105,-3.798883054850421,-6.597766080826432
13,no_car,0.8621510648970343,0.43692603003898967,1.8738444855622447,2.8630997635170843,3.3619619163443986
13,1_car,2.092864031181307,9.183248392419046,13.722543697968831,20.68800776918397,36.84746787416043
13,2_cars,-2.092864351840035,-7.579732743161003,-11.671360118223674,-16.6475811535729,-27.527330972395248
13,3+_cars,-0.8621505970777434,-3.603515447146947,-5.091625182193184,-7.695139693467354,-12.620164317074796
