District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-11.917358007331131,46.4881674557646,88.04483021031001,138.46461765909498,251.23705611580272
2,-45.72317187375302,423.9558200670217,805.7105525057559,1215.2924000683088,2170.878854708335
3,-70.21680772058244,279.13733306194626,558.2855866011887,855.4323340804003,1574.8140163003845
4,-14.398941616102093,171.0041539856138,353.0082082081317,557.013192047576,1046.0230896169378
5,-10.798336006460886,351.96515020200604,688.932602150242,1066.896178438954,1943.8079897007592
6,-52.6327152789072,127.00807213128246,256.0161407777814,392.8848367741757,746.4828112971209
7,-19.405056746693845,122.16626837576587,235.88444425415037,354.05033594608904,646.9644393082181
8,-28.748399832453288,336.87303361327577,648.878158650612,982.4084317501729,1738.7524320749872
9,119.41809854767052,487.87131568585755,1012.7313732155962,1630.5907456545901,3042.2237359052015
10,120.58503664494492,751.9562387045808,1498.915824763404,2327.8681480235027,4189.765681501762
11,-8.40784478191381,88.45490441688071,167.70196569753716,254.7542538487487,463.0797498996408
12,-34.967269703003694,149.99193381616897,304.9838650887068,476.11517263559654,910.5171873834151
13,-13.51848124129765,61.025459099204,116.9081062157511,180.88236499551567,339.21844426176085
14,-4.917320804727751,43.575416870903155,78.95530588097517,117.93296055060273,213.67597489036552
15,-2.6978992960175674,325.77630355946167,630.8393109356766,945.902325285686,1670.881533646003
16,-12.827131172794907,311.0283192125207,588.4709528004969,884.4992740716225,1581.313007033561
17,-6.599999979192944,383.0000000624823,744.0000001217704,1127.0000001897315,2040.0000003511668
18,-8.102082728302776,280.2236185973343,547.1605361587172,816.0974587616693,1445.1181123719944
19,-9.37288353924123,55.97177630652732,103.52924211036225,155.50102143376034,285.68751703430644
20,-15.592227930515946,167.54574188924744,318.29941061634963,485.24788942829036,890.9241893036069
21,-19.79918835940134,53.9982446612712,106.99653643111651,163.99487210177085,311.9898754019014
22,-1.8756812032243033,160.81166443517577,299.2138373104117,453.0766916557568,824.8333904673527
23,52.79978219583427,673.9989604047005,1307.9980472067036,2004.9970134512841,3537.9948379356065
24,-49.79946936496708,523.0002063326756,1006.0004389555979,1568.000100502024,2752.0005426564203
25,-15.000010118314094,182.00001211277595,353.00001891694774,525.0000380478614,917.0000800831676
26,-64.80109622727468,197.00244099424162,390.00471910093074,597.0076050093521,1124.0140306716967
27,-43.199975940609875,502.9998764525917,953.9997633622406,1436.9996501819624,2561.9993831575666
28,32.399983674669784,248.99983843365771,488.9996788876233,767.9994938582167,1478.9990133153296
29,-44.39993493480506,377.99993957699553,730.9998757921858,1108.9998572662953,1991.999726908478
30,0.0,0.0,0.0,0.0,0.0
