District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,21.37308275851001,36.585052833325335,73.1709462722963,117.68762090132236,236.3747016679133
2,112.37622736263802,167.52085800910936,343.24579817400536,570.1962538391799,1123.7814149019414
3,97.85809494120804,130.07603778553312,282.1391356400736,476.2473950603644,927.5170346571576
4,62.401162731727254,60.00200998730679,127.00407323452191,217.0065207022476,418.0118921488047
5,104.38945167331985,128.98911139735355,267.9763457221861,461.95835781740425,914.9199612938055
6,58.3769735441856,67.58184959368009,150.16369145260705,263.3192674814072,516.6385426637216
7,40.09221415422144,61.16314707439142,119.32619549823494,204.72764966677323,408.35050732986383
8,99.09122825744271,169.5708950082435,353.1483500759332,588.9918170603378,1138.181211215483
9,148.14234988515,140.9254330258309,280.86219287569656,486.7558493040233,962.4899554049634
10,191.39427566135237,211.99408260594282,421.98493067722757,729.9735670779482,1433.9455151125549
11,33.031376499422095,51.06537359054846,103.93597779833271,175.02750036899943,349.26284465620665
12,64.02302033785236,91.41814375381182,195.83629407207627,331.6807092438994,648.361413365028
13,29.817448985133524,55.041952344139645,114.62319565189182,188.7850954861542,376.34394636223215
14,16.310615505163696,33.77653433093997,76.54747524212848,127.11171351117036,248.02790012077025
15,75.16785656066622,115.92310817363523,236.55950906216458,405.26584530018954,760.7484566100629
16,94.38419858641919,134.5141544148364,287.8211519691531,488.29953730813395,940.8062245274514
17,123.00000000811906,157.0000000062755,334.0000000101918,581.0000000179307,1124.0000000344608
18,59.23212728771523,87.07684390473514,181.44039601092936,311.73399927485934,581.2512537797484
19,24.41582433921144,46.48587217928343,98.17889847954939,163.70055001629316,321.19394587169927
20,65.9688931197561,102.93523421318423,213.06527632514553,352.9745892436358,682.7411396916868
21,31.19883401447305,43.998226819294814,94.99624575129565,163.9933489420655,335.98655488239183
22,49.4906438356993,58.79518652243041,126.05105932578999,213.48789355878534,407.3067179635823
23,163.19982726127455,164.99985536438817,341.9997049030735,620.9994121313503,1197.998782146
24,131.99971773047673,163.9992738857527,361.9983910445035,595.9980657110009,1147.9960084113682
25,44.40000611084588,55.99999850152062,119.0000051080765,211.00000491086348,397.00003116497646
26,82.20157986969934,118.0026029180317,269.0055320125848,459.0089552302552,893.0181953237643
27,164.39993968935232,213.9998683736667,453.9997323127427,761.999557523688,1468.9991192035122
28,83.99992891172633,68.99994811790793,151.99988598871278,276.99978831693534,535.9995820324511
29,125.99993821498992,163.9999258908574,343.9998454652441,578.9997285537065,1125.9994876652236
30,0.0,0.0,0.0,0.0,0.0
