District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,33.826537372011444,211.66494726926067,394.6798143764827,607.3875001881788,1166.36523292532
2,228.9228152125579,1581.4695236322295,2984.727787437878,4616.676632704213,8710.9135671416
3,78.03218739802833,1033.3413054715202,2094.8163589345786,3322.477956844319,6378.235449094049
4,32.401212438198854,443.0139154744611,972.0246281937652,1641.0350697274407,3499.0655337654534
5,99.59127264568815,1086.8995371929632,2187.7947475616093,3497.6671312789986,6891.3298447892885
6,29.916367873149284,461.60604227714066,977.0726753360359,1585.1211445893423,3178.1110475592504
7,73.23612620935819,454.4513881957246,859.8723533855809,1340.7711706392802,2595.642014601195
8,153.8250300334912,1373.9123691205314,2620.887841945543,3973.958943764752,7262.111730366698
9,112.17487865127623,1381.683400966198,2983.224596768123,4996.582187978114,10660.876033987297
10,307.78652988397516,2475.8913299302512,4936.775640462292,7841.635090706492,15603.274101756222
11,52.605494978950446,326.8850120303141,611.9386513567988,945.4341241813017,1795.205487736268
12,28.283640359375568,419.39395839376084,882.9273077356484,1443.878811091803,2974.8888212034726
13,44.13802287931685,274.24898183583355,523.2948569333021,823.918769421336,1601.2375608478942
14,19.907265967918647,183.0837953559494,357.7709368656542,551.6480256545146,1024.7429871735967
15,91.11190684392204,1063.8253961726514,2077.0074351157455,3192.6860025834612,5833.959283283271
16,121.73561696299294,1026.4635185535444,1961.962817005202,2998.804904529403,5571.031591260471
17,76.80000000883592,1040.0000001273584,2151.000000262604,3452.000000418833,6663.000000769942
18,72.0880833326737,859.174301911713,1694.991977355363,2622.313133441312,4791.039314953268
19,27.064412354298838,225.53677154430625,447.03774908260675,699.1959815807313,1306.970102678617
20,108.79475863328116,676.1179558284348,1264.0672050291396,1947.5750740689327,3670.8121729937775
21,10.799636355626717,178.99380661823307,385.9866073929152,631.9779640452616,1294.9544459979188
22,88.427016700487,553.308747204137,1049.849685916095,1643.3357257034659,3114.1669265969176
23,187.19975999047165,1956.9977899280493,3981.995229400607,6282.992238173785,12003.98476393873
24,121.19992619448749,1607.9978900408605,3243.9964163506374,5085.994781410016,9528.989381376348
25,43.20000654747855,535.0000239251895,1064.000135377326,1642.0003036922353,3004.000742956996
26,49.20064267957059,658.0100900338948,1363.0207809919011,2190.0333821198437,4282.068172672523
27,251.99991369896452,1858.999408532487,3590.9988777196268,5605.998272301615,10580.996716640599
28,83.9999309577106,581.999590811145,1242.9991010637896,2132.9984115329426,4605.996487354758
29,143.3999499411293,1195.9996845296992,2336.99943302694,3674.9991154052404,7108.998159314462
30,0.0,0.0,0.0,0.0,0.0
