District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,24.93085290773888,173.1453936964972,328.50171088035495,509.5480352629438,938.9938331082722
2,168.9059466982144,1213.5153475337574,2339.42217830984,3618.9831380408796,6618.096154804058
3,79.84265187546407,856.358814090825,1727.755285663785,2715.230597443173,5045.445038704573
4,43.20081212286459,425.0093811043989,887.018817551565,1437.0295522947417,2803.053258127031
5,92.99157146631478,894.9148394693257,1803.8262712729338,2858.7219668418766,5410.467195034289
6,39.260610327753966,407.8929461033913,837.3596265295746,1337.2606511584818,2561.226347067335
7,55.96134597645141,377.9712614437085,730.1513416680682,1132.361255337557,2096.079705105163
8,113.77003440181579,983.0920674827648,1916.1882790428135,2937.185048190913,5302.993405880072
9,105.56169140747807,1054.6599471529626,2253.2757090643718,3703.816058015116,7345.638056277487
10,216.5889570794534,1706.9172721885989,3413.8326888201264,5410.735336374404,10259.498093179325
11,40.7145133851227,269.4300966280389,516.6392769318918,799.0824480353822,1472.0603042571274
12,43.53939154261025,444.1070433220957,906.6403404552912,1448.7392867454182,2772.7735071131538
13,34.30385824701989,230.05664578135838,444.3884688024482,691.4626891136722,1281.502824142368
14,17.26927510506539,146.50837686680006,285.82122038750094,439.52512729893715,790.7038960443024
15,79.32589328815084,824.9722172447146,1623.2311416835437,2502.6299479328227,4547.490552150572
16,99.18420341220917,817.5350473203653,1591.6915586325413,2459.6051573683,4519.839218220295
17,88.80000001099688,903.0000001045119,1828.0000002077286,2878.000000327869,5435.0000006225455
18,65.87409283688612,694.0275517257396,1366.7684167236075,2109.369392970475,3828.5083404007164
19,23.215824326429356,191.4652001585673,372.30893220681173,574.3956052390586,1057.1621805248324
20,79.28575151388577,529.5723801082058,1017.3656524374528,1572.925196362139,2903.953666040874
21,17.3994128632512,182.99345823680414,373.9866991966883,595.9787402379734,1137.9593964726373
22,63.935619208441494,429.9778882474711,827.4713288729872,1289.193251576995,2386.4487235856686
23,163.799764200754,1529.998087939035,3055.9961922893126,4759.9940499715885,8735.989017808577
24,120.59989956773643,1319.998384165825,2633.996925026877,4087.9953530208586,7427.992217617575
25,43.20000953945055,448.0000487289435,881.0001151841752,1359.000191661151,2457.0003962447227
26,62.40087794030842,635.0096609911488,1282.0193520167886,2013.0305545958618,3759.056935545057
27,195.59992449131096,1456.9995000020135,2819.999037226764,4357.998530965793,7936.99738208644
28,80.99993764777173,562.9996046527667,1152.9991879062145,1883.9986582955607,3759.997275731468
29,125.99995568977465,1023.9997082323025,2010.9994428811478,3125.9991566040335,5743.998481719755
30,0.0,0.0,0.0,0.0,0.0
