District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-24.91125211316603,-26.724972259796232,-48.482733238439096,-75.20612673244273,-156.20445670592085
2,-129.06649064638532,-131.27376229580386,-221.74452616075178,-341.6515969313923,-763.9296307959503
3,-121.27096081549826,-115.06432504083023,-195.11880561928683,-298.1709847373231,-627.3670692746118
4,-75.00099806425351,-71.00146453026628,-109.00297123777864,-160.00477065860514,-319.009017763216
5,-126.58627744306978,-120.98768980385557,-205.98079252893785,-311.97163759174146,-649.9418622547091
6,-74.74908824867089,-68.72122003230652,-113.44245300363036,-167.4505603967782,-360.90110196455953
7,-48.160842252296334,-46.47701471879964,-81.50638712921636,-122.43134621661602,-272.7577397301211
8,-113.30955359229938,-134.25192055579737,-234.6719801886802,-356.11288057287857,-753.2158540797582
9,-154.729764275683,-159.9359964043615,-258.8826352010137,-388.82957963792614,-798.6377155491127
10,-203.39316549234536,-202.99257293639585,-351.9885119272185,-545.9811927116134,-1121.958590168486
11,-36.15608379325613,-37.44183887599456,-63.675833383931604,-101.9229024735605,-216.6641082371002
12,-76.45090262266513,-75.27877335841549,-137.5575362738582,-217.54942548578765,-435.0988691953353
13,-33.41099707658941,-37.1887066302902,-66.5691487159902,-108.92443617897516,-232.18929876241964
14,-19.54860453424226,-25.98323691911787,-44.770945323678916,-72.5530643293639,-150.30166360110752
15,-91.58184296347099,-88.8531703740764,-160.7063420859722,-252.91615511127566,-519.1889552928478
16,-103.85990952703833,-109.13561406329336,-193.89269569982753,-303.02831459090976,-620.6423208534916
17,-143.40000000814962,-136.00000000564341,-252.00000000969249,-399.000000012933,-794.0000000282671
18,-70.41813875247453,-65.1468061581395,-123.29360099226778,-193.08374894241115,-401.81085772126926
19,-26.940117881455308,-30.864408828337673,-60.107340199550435,-94.97174517996018,-196.35780125042174
20,-69.44421071158285,-75.55854249094045,-125.32489063891808,-202.0781980116535,-430.3383215880003
21,-38.398487854774885,-37.998469756792474,-69.99718450758428,-105.99583107580202,-218.99141074365252
22,-50.428488968174406,-53.334498657721724,-83.92495819287933,-133.64517288385332,-284.0545395751228
23,-197.9998075388703,-176.9998323603022,-324.9996198319177,-482.9994530115782,-936.9989991966431
24,-166.79967804524858,-150.9994995637344,-251.99934254675009,-410.9983843449354,-825.9971954658376
25,-55.20000912664227,-50.00000479992332,-89.0000051668012,-140.00000961165733,-279.00003821142445
26,-105.60197087864799,-98.00215147396284,-160.00378470701435,-277.0061944290328,-580.0120901768669
27,-178.79994013032046,-186.9999088769291,-301.99984612642766,-467.9997373139922,-969.9994942641242
28,-99.59991699531474,-87.99992435570857,-130.9998984776812,-193.99985232806284,-420.99966477241924
29,-151.79992782533463,-152.9999274064976,-249.9998731796013,-407.9997949896215,-809.9996131096614
30,0.0,0.0,0.0,0.0,0.0
