District,Population,2019,2026,2031,2036,2046
10,under16,45925.680641058665,45118.14277608908,41222.39246772031,39072.531651074525,40223.45593077158
10,16-74,186762.24836235336,189361.51999268343,191828.4427263799,191319.47483540874,182327.81379465552
10,75+,15055.357315713662,16919.277588657715,17785.24020598069,19339.174278263683,22676.03100250577
10,HHs,104040.50346037357,106374.78986578099,107773.72187416589,108774.67232687173,109180.6522445648
10,jobs,131815.56463288976,137867.0657659565,139341.04571566609,139702.03984039533,136090.08984259685
10,workers,116061.18216309234,124365.7119007525,125756.57554687964,125470.58683663646,125633.5735487635
2,under16,25449.45596231519,24607.43272640568,22947.377789944196,21935.73643549468,22438.917191825636
2,16-74,94362.3916290356,95328.00416148825,96118.06636299078,95940.26014987034,92745.54959065071
2,75+,11484.456063270125,14271.192510337813,15383.440799538104,16608.04324606417,18951.49478353588
2,HHs,55481.187401944575,57320.99667173761,58420.23607478895,59311.55125481526,60498.2121885995
2,jobs,72185.64173068618,74843.86587360733,75640.39627603377,75838.87509463355,73878.07044242094
2,workers,65534.7260201126,69109.54612043928,70144.53996606484,70149.26006059234,69884.63473927291
9,under16,39062.52121422673,36711.71583425006,33594.761581477775,32032.28726868422,33055.94367490767
9,16-74,157433.08973967851,159306.52856282156,160585.31164494218,159119.86409619468,150860.8876566398
9,75+,13423.001642186577,15519.475212037647,16329.193235667723,18097.56995178612,21559.33349547577
9,HHs,89218.1359063003,90512.72319799148,91372.45119260067,91987.26591889346,92186.21961383359
9,jobs,127058.6118561722,132306.3565779148,133716.74541945965,134064.59274489703,130600.09851190541
9,workers,97817.66325067852,104465.77018005773,105115.61507664167,104296.89878722874,103994.95749271082
7,under16,8165.72174365751,7996.9015827152,7432.4959484915125,7051.077136874076,7176.928786563346
7,16-74,32728.292502424072,32683.130995261814,33033.15810881082,33012.871103044,31675.75754495375
7,75+,5090.149755281805,6461.097258352517,6873.200835970404,7387.467176198089,8582.636700731286
7,HHs,19325.12361455045,19965.893552560145,20347.311314470142,20652.356078927525,21062.564672780787
7,jobs,22514.12026656876,23451.049016554753,23698.676373113958,23761.945040176488,23148.496060082925
7,workers,21934.76568110021,23081.117426017103,23403.907320254886,23420.33512816619,23269.27637631002
8,under16,20239.035342941315,19401.626439728818,17668.018402131864,16612.984409383684,16719.113478164825
8,16-74,76535.59427563245,77242.84456687918,77966.77775669465,77269.4150642647,72981.56541564642
8,75+,10764.073420973795,13325.288100131665,14341.64304374782,15618.848564565189,18216.363319685926
8,HHs,43948.954790528274,45429.903022625185,46261.08938118228,46814.354176179106,47271.45217029867
8,jobs,78996.31507307466,82714.95255964405,83598.518026629,83817.66076705944,81652.87064700527
8,workers,49920.3348758443,52647.81342811635,53095.36328453075,52622.09481997523,51692.81966550831
5,under16,22394.40550076585,21299.915658899667,19778.054964225517,18810.14444951109,19287.08812959609
5,16-74,89804.25157936163,90620.76558509105,91448.67470536567,90924.72179833529,87175.08326027312
5,75+,13870.504215322024,16134.284301400117,17098.18906539684,18817.00360691159,22176.64411217714
5,HHs,54468.07907915649,55816.35032669854,56815.248425258294,57700.153615210686,58953.0116280222
5,jobs,54199.390620801794,56480.33616117686,57079.275318436965,57230.260007249344,55752.408214214716
5,workers,56355.90167086942,60216.89950003022,61203.801429270556,60987.82174686721,61185.768470781746
3,under16,19592.371022285515,18997.52828045624,17573.46215564444,16657.927603710705,16850.281657510084
3,16-74,82406.20831580565,81707.2560159523,81796.4965690256,80735.97010776833,76260.9827913395
