District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-10.695936501062533,-57.41663153988702,-120.80006251395935,-187.14843033599936,-513.5526270375303
2,-68.54355193657102,-471.6308870839712,-983.2928068601032,-1486.170720576556,-3903.022976374181
3,-22.80828058537736,-291.0919651618169,-667.2131028855802,-1035.3571428094729,-2755.2479726905003
4,-7.800234100701346,-67.00233715667855,-173.00536699860822,-289.00872326890385,-1302.0324418702876
5,-25.798216744340607,-277.9753871731227,-627.9438744788495,-972.9136494558479,-2903.724244052879
6,-5.572124785634514,-86.72121860283369,-216.5899150059049,-331.7455038768094,-1138.3839117808384
7,-20.811973194999155,-122.61331456557309,-260.6740856677352,-405.07762047871074,-1141.3641201015453
8,-42.21386311913375,-384.4975012437353,-830.4089860306558,-1265.9549021869607,-3258.6899934126996
9,-23.39375282128458,-133.9163382249535,-320.80135839470313,-554.6640936469194,-3943.8064851472736
10,-80.99568841257133,-473.97397909263964,-969.9399341815442,-1521.903784730006,-6387.691569846356
11,-15.974119078804506,-89.48106136641218,-190.57258277168148,-289.4693364989289,-774.9138554588353
12,-7.027878435677849,-102.27879354755714,-252.41010535832174,-403.2545340840152,-1202.6161208670892
13,-13.759108718513744,-82.60151263019361,-170.2946517508244,-265.207854752407,-712.2030709906394
14,-6.475978464701257,-60.96088724806032,-135.51394958039236,-210.46365892851645,-487.8826427736476
15,-23.44196436429047,-323.489572006074,-729.4756672516378,-1118.4617574615695,-2639.62990181458
16,-33.702832599534304,-275.44264551767264,-599.263846382426,-908.877891475815,-2410.298239908043
17,-21.00000000205182,-271.0000000282598,-655.0000000707223,-1050.0000001060107,-2798.000000291766
18,-19.758033090649405,-281.5103014359047,-646.5240380410614,-994.5378033447705,-2223.3693594955403
19,-7.697176805464551,-72.55744520020926,-162.7363567604334,-252.1224277166366,-576.7025525702284
20,-30.825942481998936,-178.51966225524666,-371.4291862949758,-563.5335148875965,-1558.094143254326
21,-1.7999301848103642,-37.998674772032246,-92.99679003687197,-148.99478613309475,-481.9830130084665
22,-25.42924150464387,-152.78785709244403,-320.0364001343696,-484.7218618068946,-1331.4528122791307
23,-47.99991007591598,-484.99930738832336,-1139.9983342069609,-1892.997165838373,-5445.992810157884
24,-32.40006037901912,-473.9994640835357,-1117.9986267679924,-1805.9977789987024,-4516.993480142919
25,-9.600003948529775,-162.0000218950081,-394.0000472495958,-626.0001018658222,-1419.000319404513
26,-13.200086741409905,-161.00242947007064,-406.0059394613563,-677.0097241946933,-1893.0292685241511
27,-76.79996841143293,-532.9997832949157,-1156.9995356187865,-1791.9992476451298,-4714.998298704071
28,-22.799982453725534,-99.9999477379024,-236.99987597743166,-406.99977964142454,-1745.9987641764455
29,-41.39998722115706,-310.9999749822309,-702.9999714920996,-1136.9999521419813,-3241.9993090335192
30,0.0,0.0,0.0,0.0,0.0
