District,Sum of 2019,Sum of 2026,Sum of 2031,Sum of 2036,Sum of 2046
1,-4.158717921099196,-25.759838256885814,-50.48439694671151,-99.96890585726396,-316.9100036033733
2,-21.85319540657656,-126.06115692953244,-244.31649066202044,-480.65316034390344,-1453.0053533755417
3,-19.806334378696192,-128.03165384979002,-259.0515082424572,-501.1259006481632,-1519.4209656874445
4,-12.000256897346844,-59.001484847005486,-122.00271448066451,-261.00511044150517,-849.0174287238497
5,-22.197803344190106,-118.98816266866925,-237.97681131063655,-484.9523229206934,-1560.8419338045242
6,-12.944243960428139,-84.00808245648841,-173.30303813837781,-330.60608707139363,-946.539554162995
7,-8.937311815393514,-48.58191974161036,-94.26846600064346,-189.98446956521184,-608.0868963703979
8,-19.478207505946557,-125.22244998473434,-254.6737568447279,-487.1547551909898,-1433.8918034088601
9,-17.993752048554597,-84.96884602797036,-166.94826228277634,-374.87507478042244,-1280.583011712224
10,-25.79888513615697,-112.9944559275973,-228.98901784591726,-474.97617008264933,-1428.9334525092709
11,-7.924705347005329,-40.831374939301895,-81.06536613051958,-162.32550073625953,-523.1712554527685
12,-21.855754059610263,-109.99190393643948,-216.69693187045414,-436.39385700935236,-1399.4602891370196
13,-5.44852252114606,-28.524617028209377,-56.558837024686,-111.61881960319943,-352.2931074598473
14,-2.758659494761332,-18.988827110541934,-37.77653748793227,-74.75419089933712,-219.86592903962446
15,-19.62797488947217,-128.20981995947477,-268.41964122383433,-510.4826326066286,-1479.3779382418907
16,-23.62712394063783,-132.72131133307084,-272.4426202543036,-531.0923973798454,-1619.448599003881
17,-26.400000001678563,-170.00000001912122,-355.0000000373984,-718.0000000731125,-2244.0000002211673
18,-15.772021896396836,-110.79013975471025,-227.58027063267764,-432.5172150804483,-1264.6216859365995
19,-4.572883215296315,-30.27872436674943,-62.55744763892244,-119.90774152650602,-355.55186933816185
20,-13.075362406512795,-75.16900519395494,-152.9353538125979,-298.6758570351085,-896.8329526591333
21,-7.1997298853257234,-39.99856165844358,-80.99699076227444,-160.9940665958493,-485.98187290286296
22,-9.614260513758381,-52.89395359078571,-105.17363680855578,-202.39847068133986,-621.6250640690105
23,-27.599976480905752,-140.99989531062238,-289.9998139921008,-584.9995625501288,-1757.9985154125352
24,-26.399963899797513,-156.99992395959998,-323.9998904699896,-640.9995949528893,-1906.9986149395772
25,-13.199997879652074,-76.99998337642319,-160.9999615764209,-303.9999348266392,-887.9998360871923
26,-21.000324829798046,-123.00157160286471,-250.00321216441807,-482.0066149424674,-1455.02059154601
27,-23.99999228536035,-141.99995019886774,-284.99992279107755,-551.9998349876296,-1670.9994013607757
28,-18.5999894077122,-74.99995302264324,-146.99990333135975,-327.99977998738177,-1194.9992014376148
29,-20.999994982994394,-118.99997555746813,-238.99996154812834,-492.99990253061696,-1619.999559458025
30,0.0,0.0,0.0,0.0,0.0
