District,Population,2019,2026,2031,2036,2046
10,under16,-95.99457240232732,-1229.9257067109575,-2852.8278848051195,-4562.724623279697,-5262.696905573335
10,16-74,-80.99568841257133,-473.97397909263964,-969.9399341815442,-1521.903784730006,-6387.691569846356
10,75+,-25.79888513615697,-112.9944559275973,-228.98901784591726,-474.97617008264933,-1428.9334525092709
10,HHs,-59.39777178638906,-632.9687320106896,-1508.9247236250521,-2543.875027304981,-5368.737242452684
10,jobs,-2420.966276832507,-1312.9819128074741,-1993.9720053678611,-2856.960024745291,-7045.9019620145555
10,workers,-1904.3129652709467,-1316.922353865215,-2045.9099850930215,-2888.8647428088443,-6870.678375435964
2,under16,-56.06865661097618,-708.3709197898424,-1657.2356972116722,-2666.9246330559217,-3274.1549313845426
2,16-74,-68.54355193657102,-471.6308870839712,-983.2928068601032,-1486.170720576556,-3903.022976374181
2,75+,-21.85319540657656,-126.06115692953244,-244.31649066202044,-480.65316034390344,-1453.0053533755417
2,HHs,-50.895621592062525,-503.22201648547343,-1166.1038665711749,-1937.419428687208,-3811.848230767566
2,jobs,-1322.3452783138928,-712.9012337894383,-1086.4464236643253,-1551.0577908633713,-3825.993501939389
2,workers,-932.9868358002786,-827.3251117495238,-1271.3279698350962,-1797.081956232243,-4366.753008565618
9,under16,-66.58084239936579,-937.6897568243949,-2185.2725534424026,-3531.822960336478,-4031.664178031526
9,16-74,-23.39375282128458,-133.9163382249535,-320.80135839470313,-554.6640936469194,-3943.8064851472736
9,75+,-17.993752048554597,-84.96884602797036,-166.94826228277634,-374.87507478042244,-1280.583011712224
9,HHs,-27.59384452289669,-388.8840234699019,-973.6931002213096,-1712.4484328748076,-3827.776183738053
9,jobs,-2328.7851806170656,-1259.4543074693065,-1918.1598321578058,-2744.7996620839986,-6762.054008946638
9,workers,-1541.4979378202988,-915.6680105710693,-1245.5516730018135,-1663.399503446417,-4694.48192209618
7,under16,-18.143355866374804,-228.12032889927468,-530.0614540579008,-847.450831431458,-1031.8835901335415
7,16-74,-20.811973194999155,-122.61331456557309,-260.6740856677352,-405.07762047871074,-1141.3641201015453
7,75+,-8.937311815393514,-48.58191974161036,-94.26846600064346,-189.98446956521184,-608.0868963703979
7,HHs,-16.6746212450671,-155.746741182571,-365.07563503122947,-614.0909836156097,-1223.181585707127
7,jobs,-412.50526670825275,-222.94071999080916,-340.58269050893796,-484.91161445096805,-1196.2114713191477
7,workers,-321.6359868499858,-245.776983502441,-370.28580601814974,-482.2146721212521,-1280.2907884611523
8,under16,-41.615617008712434,-576.639447490983,-1311.4024511090065,-2054.633463379596,-2448.0323421592875
8,16-74,-42.21386311913375,-384.4975012437353,-830.4089860306558,-1265.9549021869607,-3258.6899934126996
8,75+,-19.478207505946557,-125.22244998473434,-254.6737568447279,-487.1547551909898,-1433.8918034088601
8,HHs,-33.677791870919464,-404.48697395024647,-938.3619688111066,-1546.638386968545,-3058.3916854159543
8,jobs,-1454.0156738913065,-789.7100430182763,-1199.5983994775306,-1717.7366365074704,-4227.952332468994
8,workers,-799.0570902946783,-676.6469473998804,-1065.060267999499,-1469.8814439340058,-3317.481242669768
5,under16,-42.59573979800189,-587.9432654283482,-1379.865596029551,-2222.7820733570516,-2654.738834326665
5,16-74,-25.798216744340607,-277.9753871731227,-627.9438744788495,-972.9136494558479,-2903.724244052879
5,75+,-22.197803344190106,-118.98816266866925,-237.97681131063655,-484.9523229206934,-1560.8419338045242
5,HHs,-29.996975551970536,-369.9648467354273,-896.9135035060172,-1525.8515772515602,-3135.690770555506
5,jobs,-993.5004251534629,-535.9455211860623,-820.9175233319402,-1170.883224199315,-2883.7107042788193
5,workers,-868.1122171682728,-628.9420229234674,-896.9190414181867,-1162.9014320209099,-3185.6963349017096
3,under16,-34.820350129699364,-518.3193322313055,-1219.7473304931918,-1944.2087505333147,-2329.3769474849287
3,16-74,-22.80828058537736,-291.0919651618169,-667.2131028855802,-1035.3571428094729,-2755.2479726905003
3,75+,-19.806334378696192,-128.03165384979002,-259.0515082424572,-501.1259006481632,-1519.4209656874445
3,HHs,-24.007505072302592,-358.12270222765073,-865.3220997466124,-1460.5759933173904,-2941.270059992974
3,jobs,-1090.0219543924904,-587.549618689045,-894.8462167233811,-1279.2098407992453,-3152.968522124538
