MSOA11CD,MSOA11NM,ZonePfSH,LAD,DELTA Macrozone,DELTA FMA+B?,Proportions MSOA/Zones
E02003172,Bournemouth 001,851,Bournemouth,11,B,0.99999625
E02003172,Bournemouth 001,849,Bournemouth,11,B,0.00000375
E02003173,Bournemouth 002,851,Bournemouth,11,B,0.99998807
E02003173,Bournemouth 002,850,Bournemouth,11,B,0.00001001
E02003173,Bournemouth 002,849,Bournemouth,11,B,0.00000192
E02003174,Bournemouth 003,852,Bournemouth,11,B,0.00000001
E02003174,Bournemouth 003,851,Bournemouth,11,B,0.99999813
E02003174,Bournemouth 003,849,Bournemouth,11,B,0.00000186
E02003175,Bournemouth 004,852,Bournemouth,11,B,0.00000160
E02003175,Bournemouth 004,851,Bournemouth,11,B,0.99999840
E02003176,Bournemouth 005,851,Bournemouth,11,B,0.99998630
E02003176,Bournemouth 005,850,Bournemouth,11,B,0.00001370
E02003177,Bournemouth 006,852,Bournemouth,11,B,0.00000082
E02003177,Bournemouth 006,851,Bournemouth,11,B,0.99999918
E02003178,Bournemouth 007,851,Bournemouth,11,B,0.99999931
E02003178,Bournemouth 007,850,Bournemouth,11,B,0.00000069
E02003179,Bournemouth 008,852,Bournemouth,11,B,0.00000075
E02003179,Bournemouth 008,851,Bournemouth,11,B,0.99999925
E02003180,Bournemouth 009,851,Bournemouth,11,B,1.00000000
E02003181,Bournemouth 010,851,Bournemouth,11,B,1.00000000
E02003182,Bournemouth 011,852,Bournemouth,11,B,0.00000080
E02003182,Bournemouth 011,851,Bournemouth,11,B,0.99999921
E02003183,Bournemouth 012,851,Bournemouth,11,B,0.99999346
E02003183,Bournemouth 012,850,Bournemouth,11,B,0.00000654
E02003184,Bournemouth 013,851,Bournemouth,11,B,1.00000000
E02003185,Bournemouth 014,853,Bournemouth,11,B,0.00000105
E02003185,Bournemouth 014,852,Bournemouth,11,B,0.00000048
E02003185,Bournemouth 014,851,Bournemouth,11,B,0.99999847
E02003186,Bournemouth 015,851,Bournemouth,11,B,1.00000000
E02003187,Bournemouth 016,851,Bournemouth,11,B,1.00000000
E02003188,Bournemouth 017,851,Bournemouth,11,B,1.00000000
E02003189,Bournemouth 018,851,Bournemouth,11,B,1.00000000
E02003190,Bournemouth 019,851,Bournemouth,11,B,1.00000000
E02003191,Bournemouth 020,853,Bournemouth,11,B,0.00000066
E02003191,Bournemouth 020,851,Bournemouth,11,B,0.99999934
E02003192,Bournemouth 021,851,Bournemouth,11,B,1.00000000
E02003194,Poole 001,851,Poole,11,B,0.00000038
E02003194,Poole 001,850,Poole,11,B,0.99988826
E02003194,Poole 001,849,Poole,11,B,0.00011136
E02003195,Poole 002,851,Poole,11,B,0.00000809
E02003195,Poole 002,850,Poole,11,B,0.99999191
E02003196,Poole 003,850,Poole,11,B,0.99999904
E02003196,Poole 003,849,Poole,11,B,0.00000096
E02003197,Poole 004,850,Poole,11,B,1.00000000
E02003198,Poole 005,850,Poole,11,B,1.00000000
E02003199,Poole 006,850,Poole,11,B,0.99999816
E02003199,Poole 006,849,Poole,11,B,0.00000001
E02003200,Poole 007,851,Poole,11,B,0.00000045
E02003200,Poole 007,850,Poole,11,B,0.99999955
E02003201,Poole 008,850,Poole,11,B,1.00000000
E02003202,Poole 009,851,Poole,11,B,0.00001267
E02003202,Poole 009,850,Poole,11,B,0.99998733
E02003203,Poole 010,850,Poole,11,B,1.00000000
E02003204,Poole 011,850,Poole,11,B,1.00000000
E02003205,Poole 012,850,Poole,11,B,1.00000000
E02003206,Poole 013,850,Poole,11,B,1.00000000
E02003207,Poole 014,850,Poole,11,B,0.99999850
E02003208,Poole 015,850,Poole,11,B,1.00000000
E02003209,Poole 016,850,Poole,11,B,1.00000000
E02003210,Poole 017,850,Poole,11,B,1.00000000
E02003211,Poole 018,851,Poole,11,B,0.00000159
E02003211,Poole 018,850,Poole,11,B,0.99999841
E02003377,West Berkshire 011,840,West Berkshire,5,B,0.00000014
E02003377,West Berkshire 011,839,West Berkshire,5,B,0.00000007
E02003384,West Berkshire 018,843,West Berkshire,12,B,0.00000006
E02003384,West Berkshire 018,842,West Berkshire,5,B,0.00000378
E02003385,West Berkshire 019,842,West Berkshire,5,B,0.00000070
E02003385,West Berkshire 019,840,West Berkshire,5,B,0.00000003
E02003387,West Berkshire 021,842,West Berkshire,5,B,0.00000075
E02003388,West Berkshire 022,839,West Berkshire,5,B,0.00000040
E02003455,Wokingham 017,839,Wokingham,5,B,0.00000001
E02003524,Portsmouth 001,490,Portsmouth,2,F,0.18127513
E02003524,Portsmouth 001,489,Portsmouth,2,F,0.23477663
E02003524,Portsmouth 001,488,Portsmouth,2,F,0.03415128
E02003524,Portsmouth 001,487,Portsmouth,2,F,0.03054766
E02003524,Portsmouth 001,577,Portsmouth,2,F,0.00000065
