Zone,Area,Zone_type,LAD,ZonG,Core,D30_Districts ID
1,40,X,Southampton,0,Core,10
2,40,X,Southampton,0,Core,10
3,40,X,Southampton,0,Core,10
4,40,X,Eastleigh,0,Core,2
5,40,X,Portsmouth,0,Core,9
6,40,X,Eastleigh,0,Core,2
7,40,X,Eastleigh,0,Core,2
8,40,X,Test Valley,0,Core,7
9,40,X,Portsmouth,0,Core,9
10,40,X,Portsmouth,0,Core,9
11,40,X,Portsmouth,0,Core,9
12,40,X,Winchester,0,Core,8
13,40,X,Winchester,0,Core,8
14,40,X,Eastleigh,0,Core,2
15,40,X,Winchester,0,Core,8
16,40,X,Havant,0,Core,5
17,40,X,Southampton,0,Core,10
18,40,X,Portsmouth,0,Core,9
19,40,X,Fareham,0,Core,3
20,40,X,Eastleigh,0,Core,2
21,40,X,Portsmouth,0,Core,9
22,40,X,Eastleigh,0,Core,2
23,40,X,Fareham,0,Core,3
24,40,X,Fareham,0,Core,3
25,3,F,Southampton,-105,Core,10
26,3,F,Southampton,-105,Core,10
27,3,F,Southampton,-105,Core,10
28,3,F,Southampton,-105,Core,10
29,3,F,Southampton,-105,Core,10
30,3,F,Southampton,-105,Core,10
31,3,F,Southampton,-105,Core,10
32,3,F,Southampton,-105,Core,10
33,3,F,Southampton,-105,Core,10
34,3,F,Southampton,-105,Core,10
35,3,F,Southampton,-105,Core,10
36,3,F,Southampton,-105,Core,10
37,3,F,Southampton,-105,Core,10
38,3,F,Southampton,-105,Core,10
39,3,F,Southampton,-105,Core,10
40,3,F,Southampton,-105,Core,10
41,3,F,Southampton,-105,Core,10
42,3,F,Southampton,-105,Core,10
43,3,F,Southampton,-105,Core,10
44,3,F,Southampton,-105,Core,10
45,3,F,Southampton,-105,Core,10
46,3,F,Southampton,-105,Core,10
47,3,F,Southampton,-105,Core,10
48,3,F,Southampton,-105,Core,10
49,3,F,Southampton,-105,Core,10
50,3,F,Southampton,-105,Core,10
51,3,F,Southampton,-105,Core,10
52,3,F,Southampton,-105,Core,10
53,3,F,Southampton,-105,Core,10
54,3,F,Southampton,-105,Core,10
55,3,F,Southampton,-105,Core,10
56,3,F,Southampton,-105,Core,10
57,3,F,Southampton,-105,Core,10
58,3,F,Southampton,-105,Core,10
59,3,F,Southampton,-105,Core,10
60,3,F,Southampton,-105,Core,10
61,3,F,Southampton,-105,Core,10
62,3,F,Southampton,-105,Core,10
63,3,F,Southampton,-105,Core,10
64,3,F,Southampton,-105,Core,10
65,3,F,Southampton,-105,Core,10
66,3,F,Southampton,-105,Core,10
67,3,F,Southampton,-105,Core,10
68,3,F,Southampton,-105,Core,10
69,3,F,Southampton,-105,Core,10
70,3,F,Southampton,-105,Core,10
71,3,F,Southampton,-105,Core,10
72,3,F,Southampton,-105,Core,10
73,3,F,Southampton,-105,Core,10
74,3,F,Southampton,-105,Core,10
75,3,F,Southampton,-105,Core,10
76,3,F,Southampton,-105,Core,10
77,3,F,Southampton,-105,Core,10
78,3,F,Southampton,-105,Core,10
79,3,F,Southampton,-105,Core,10
80,3,F,Southampton,-105,Core,10
81,3,F,Southampton,-105,Core,10
82,3,F,Southampton,-105,Core,10
83,3,F,Southampton,-105,Core,10
84,3,F,Southampton,-105,Core,10
85,3,F,Southampton,-105,Core,10
86,3,F,Southampton,-105,Core,10
87,3,F,Southampton,-105,Core,10
88,3,F,Southampton,-105,Core,10
89,3,F,Southampton,-105,Core,10
90,3,F,Southampton,-105,Core,10
91,3,F,Southampton,-105,Core,10
92,3,F,Southampton,-105,Core,10
93,3,F,Southampton,-105,Core,10
94,3,F,Southampton,-105,Core,10
95,3,F,Southampton,-105,Core,10
96,3,F,Southampton,-105,Core,10
97,3,F,Southampton,-105,Core,10
98,3,F,Southampton,-105,Core,10
99,3,F,Southampton,-105,Core,10
100,3,F,Southampton,-105,Core,10
101,3,F,Southampton,-105,Core,10
102,3,F,Southampton,-105,Core,10
103,3,F,Southampton,-105,Core,10
104,3,F,Southampton,-105,Core,10
105,3,F,Southampton,-105,Core,10
106,3,F,Southampton,-105,Core,10
107,3,F,Southampton,-105,Core,10
108,3,F,Southampton,-105,Core,10
109,3,F,Southampton,-105,Core,10
110,3,F,Southampton,-105,Core,10
111,3,F,Southampton,-105,Core,10
112,3,F,Southampton,-105,Core,10
113,3,F,Southampton,-105,Core,10
114,3,F,Southampton,-105,Core,10
115,3,F,Southampton,-105,Core,10
116,3,F,Southampton,-105,Core,10
117,3,F,Southampton,-105,Core,10
118,3,F,Southampton,-105,Core,10
119,3,F,Southampton,-105,Core,10
120,3,F,Southampton,-105,Core,10
121,3,F,Southampton,-105,Core,10
122,3,F,Southampton,-105,Core,10
123,3,F,Southampton,-105,Core,10
124,3,F,Southampton,-105,Core,10
125,3,F,Southampton,-105,Core,10
126,3,F,Southampton,-105,Core,10
127,3,F,Southampton,-105,Core,10
128,3,F,Southampton,-105,Core,10
129,3,F,Southampton,-105,Core,10
130,3,F,Southampton,-105,Core,10
131,3,F,Southampton,-105,Core,10
132,3,F,Southampton,-105,Core,10
133,3,F,Southampton,-105,Core,10
134,3,F,Southampton,-105,Core,10
135,3,F,Southampton,-105,Core,10
