msoa_zone_id,population,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
E02000001,under16,1482.2,1604.6,1727.0,1759.8,1792.6,1825.4,1858.2,1891.0,1871.0,1851.0,1831.0,1811.0,1791.0,1779.6,1768.2,1756.8,1745.4,1734.0,1732.2,1730.4,1728.6,1726.8,1725.0,1729.6,1734.2,1738.8,1743.4,1748.0
E02000002,under16,1990.2,2003.6,2017.0,2008.2,1999.4,1990.6,1981.8,1973.0,1958.8,1944.6,1930.4,1916.2,1902.0,1895.6,1889.2,1882.8,1876.4,1870.0,1874.8,1879.6,1884.4,1889.2,1894.0,1902.4,1910.8,1919.2,1927.6,1936.0
E02000003,under16,2583.2,2602.6,2622.0,2614.6,2607.2,2599.8,2592.4,2585.0,2569.2,2553.4,2537.6,2521.8,2506.0,2499.6,2493.2,2486.8,2480.4,2474.0,2482.0,2490.0,2498.0,2506.0,2514.0,2526.8,2539.6,2552.4,2565.2,2578.0
E02000004,under16,1394.4,1406.2,1418.0,1416.0,1414.0,1412.0,1410.0,1408.0,1400.8,1393.6,1386.4,1379.2,1372.0,1369.4,1366.8,1364.2,1361.6,1359.0,1364.2,1369.4,1374.6,1379.8,1385.0,1392.8,1400.6,1408.4,1416.2,1424.0
E02000005,under16,2492.8,2509.4,2526.0,2516.0,2506.0,2496.0,2486.0,2476.0,2459.6,2443.2,2426.8,2410.4,2394.0,2387.0,2380.0,2373.0,2366.0,2359.0,2365.8,2372.6,2379.4,2386.2,2393.0,2404.4,2415.8,2427.2,2438.6,2450.0
E02000007,under16,2695.4,2712.2,2729.0,2714.8,2700.6,2686.4,2672.2,2658.0,2637.8,2617.6,2597.4,2577.2,2557.0,2547.2,2537.4,2527.6,2517.8,2508.0,2513.6,2519.2,2524.8,2530.4,2536.0,2546.6,2557.2,2567.8,2578.4,2589.0
E02000008,under16,3331.2,3353.6,3376.0,3361.2,3346.4,3331.6,3316.8,3302.0,3278.2,3254.4,3230.6,3206.8,3183.0,3172.2,3161.4,3150.6,3139.8,3129.0,3137.0,3145.0,3153.0,3161.0,3169.0,3183.0,3197.0,3211.0,3225.0,3239.0
E02000009,under16,2341.6,2357.8,2374.0,2364.8,2355.6,2346.4,2337.2,2328.0,2312.4,2296.8,2281.2,2265.6,2250.0,2243.2,2236.4,2229.6,2222.8,2216.0,2222.2,2228.4,2234.6,2240.8,2247.0,2257.6,2268.2,2278.8,2289.4,2300.0
E02000010,under16,2638.4,2655.2,2672.0,2659.8,2647.6,2635.4,2623.2,2611.0,2592.2,2573.4,2554.6,2535.8,2517.0,2508.8,2500.6,2492.4,2484.2,2476.0,2482.2,2488.4,2494.6,2500.8,2507.0,2518.2,2529.4,2540.6,2551.8,2563.0
E02000011,under16,1583.4,1595.2,1607.0,1602.8,1598.6,1594.4,1590.2,1586.0,1576.8,1567.6,1558.4,1549.2,1540.0,1536.4,1532.8,1529.2,1525.6,1522.0,1527.2,1532.4,1537.6,1542.8,1548.0,1556.2,1564.4,1572.6,1580.8,1589.0
E02000012,under16,2607.0,2624.0,2641.0,2630.8,2620.6,2610.4,2600.2,2590.0,2573.0,2556.0,2539.0,2522.0,2505.0,2498.0,2491.0,2484.0,2477.0,2470.0,2477.0,2484.0,2491.0,2498.0,2505.0,2517.2,2529.4,2541.6,2553.8,2566.0
E02000013,under16,2625.0,2641.0,2657.0,2643.6,2630.2,2616.8,2603.4,2590.0,2570.8,2551.6,2532.4,2513.2,2494.0,2485.4,2476.8,2468.2,2459.6,2451.0,2456.8,2462.6,2468.4,2474.2,2480.0,2490.6,2501.2,2511.8,2522.4,2533.0
E02000014,under16,2777.0,2795.0,2813.0,2801.4,2789.8,2778.2,2766.6,2755.0,2736.0,2717.0,2698.0,2679.0,2660.0,2652.0,2644.0,2636.0,2628.0,2620.0,2627.0,2634.0,2641.0,2648.0,2655.0,2667.4,2679.8,2692.2,2704.6,2717.0
E02000015,under16,2211.2,2225.6,2240.0,2228.0,2216.0,2204.0,2192.0,2180.0,2162.6,2145.2,2127.8,2110.4,2093.0,2084.4,2075.8,2067.2,2058.6,2050.0,2054.2,2058.4,2062.6,2066.8,2071.0,2079.0,2087.0,2095.0,2103.0,2111.0
E02000016,under16,2324.0,2339.0,2354.0,2343.4,2332.8,2322.2,2311.6,2301.0,2284.6,2268.2,2251.8,2235.4,2219.0,2211.8,2204.6,2197.4,2190.2,2183.0,2188.6,2194.2,2199.8,2205.4,2211.0,2221.0,2231.0,2241.0,2251.0,2261.0
E02000017,under16,2119.4,2134.2,2149.0,2142.6,2136.2,2129.8,2123.4,2117.0,2104.4,2091.8,2079.2,2066.6,2054.0,2049.4,2044.8,2040.2,2035.6,2031.0,2037.8,2044.6,2051.4,2058.2,2065.0,2075.8,2086.6,2097.4,2108.2,2119.0
E02000018,under16,2804.2,2821.6,2839.0,2825.2,2811.4,2797.6,2783.8,2770.0,2749.8,2729.6,2709.4,2689.2,2669.0,2660.0,2651.0,2642.0,2633.0,2624.0,2630.2,2636.4,2642.6,2648.8,2655.0,2666.8,2678.6,2690.4,2702.2,2714.0
E02000019,under16,2529.0,2545.0,2561.0,2550.0,2539.0,2528.0,2517.0,2506.0,2489.0,2472.0,2455.0,2438.0,2421.0,2413.8,2406.6,2399.4,2392.2,2385.0,2391.6,2398.2,2404.8,2411.4,2418.0,2429.4,2440.8,2452.2,2463.6,2475.0
E02000020,under16,2767.8,2785.4,2803.0,2789.6,2776.2,2762.8,2749.4,2736.0,2716.0,2696.0,2676.0,2656.0,2636.0,2626.8,2617.6,2608.4,2599.2,2590.0,2596.4,2602.8,2609.2,2615.6,2622.0,2633.4,2644.8,2656.2,2667.6,2679.0
E02000021,under16,2347.6,2362.8,2378.0,2367.6,2357.2,2346.8,2336.4,2326.0,2309.8,2293.6,2277.4,2261.2,2245.0,2238.0,2231.0,2224.0,2217.0,2210.0,2215.8,2221.6,2227.4,2233.2,2239.0,2249.4,2259.8,2270.2,2280.6,2291.0
