msoa_zone_id,population,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
E02000001,under16,1499.6,1627.8,1756.0,1806.0,1856.0,1906.0,1956.0,2006.0,2002.8,1999.6,1996.4,1993.2,1990.0,1994.4,1998.8,2003.2,2007.6,2012.0,2023.8,2035.6,2047.4,2059.2,2071.0,2088.0,2105.0,2122.0,2139.0,2156.0
E02000002,under16,1998.0,2014.0,2030.0,2037.0,2044.0,2051.0,2058.0,2065.0,2066.0,2067.0,2068.0,2069.0,2070.0,2079.2,2088.4,2097.6,2106.8,2116.0,2133.8,2151.6,2169.4,2187.2,2205.0,2226.0,2247.0,2268.0,2289.0,2310.0
E02000003,under16,2594.0,2617.0,2640.0,2655.2,2670.4,2685.6,2700.8,2716.0,2722.0,2728.0,2734.0,2740.0,2746.0,2762.0,2778.0,2794.0,2810.0,2826.0,2853.4,2880.8,2908.2,2935.6,2963.0,2994.6,3026.2,3057.8,3089.4,3121.0
E02000004,under16,1400.4,1414.2,1428.0,1439.6,1451.2,1462.8,1474.4,1486.0,1491.6,1497.2,1502.8,1508.4,1514.0,1524.8,1535.6,1546.4,1557.2,1568.0,1585.2,1602.4,1619.6,1636.8,1654.0,1673.2,1692.4,1711.6,1730.8,1750.0
E02000005,under16,2502.4,2522.2,2542.0,2552.2,2562.4,2572.6,2582.8,2593.0,2595.6,2598.2,2600.8,2603.4,2606.0,2618.6,2631.2,2643.8,2656.4,2669.0,2692.6,2716.2,2739.8,2763.4,2787.0,2814.4,2841.8,2869.2,2896.6,2924.0
E02000007,under16,2705.0,2725.0,2745.0,2751.4,2757.8,2764.2,2770.6,2777.0,2776.0,2775.0,2774.0,2773.0,2772.0,2782.2,2792.4,2802.6,2812.8,2823.0,2845.0,2867.0,2889.0,2911.0,2933.0,2959.2,2985.4,3011.6,3037.8,3064.0
E02000008,under16,3344.4,3371.2,3398.0,3410.0,3422.0,3434.0,3446.0,3458.0,3459.6,3461.2,3462.8,3464.4,3466.0,3481.2,3496.4,3511.6,3526.8,3542.0,3572.0,3602.0,3632.0,3662.0,3692.0,3727.0,3762.0,3797.0,3832.0,3867.0
E02000009,under16,2350.6,2369.8,2389.0,2399.2,2409.4,2419.6,2429.8,2440.0,2442.8,2445.6,2448.4,2451.2,2454.0,2466.0,2478.0,2490.0,2502.0,2514.0,2536.4,2558.8,2581.2,2603.6,2626.0,2652.0,2678.0,2704.0,2730.0,2756.0
E02000010,under16,2648.0,2668.0,2688.0,2696.4,2704.8,2713.2,2721.6,2730.0,2730.6,2731.2,2731.8,2732.4,2733.0,2744.6,2756.2,2767.8,2779.4,2791.0,2814.2,2837.4,2860.6,2883.8,2907.0,2934.2,2961.4,2988.6,3015.8,3043.0
E02000011,under16,1590.0,1604.0,1618.0,1627.8,1637.6,1647.4,1657.2,1667.0,1671.2,1675.4,1679.6,1683.8,1688.0,1698.2,1708.4,1718.6,1728.8,1739.0,1756.2,1773.4,1790.6,1807.8,1825.0,1844.6,1864.2,1883.8,1903.4,1923.0
E02000012,under16,2617.2,2637.6,2658.0,2668.6,2679.2,2689.8,2700.4,2711.0,2714.0,2717.0,2720.0,2723.0,2726.0,2739.4,2752.8,2766.2,2779.6,2793.0,2817.6,2842.2,2866.8,2891.4,2916.0,2945.0,2974.0,3003.0,3032.0,3061.0
E02000013,under16,2634.6,2653.8,2673.0,2679.4,2685.8,2692.2,2698.6,2705.0,2704.4,2703.8,2703.2,2702.6,2702.0,2712.4,2722.8,2733.2,2743.6,2754.0,2775.8,2797.6,2819.4,2841.2,2863.0,2888.8,2914.6,2940.4,2966.2,2992.0
E02000014,under16,2787.8,2809.4,2831.0,2841.4,2851.8,2862.2,2872.6,2883.0,2885.2,2887.4,2889.6,2891.8,2894.0,2907.4,2920.8,2934.2,2947.6,2961.0,2986.4,3011.8,3037.2,3062.6,3088.0,3118.0,3148.0,3178.0,3208.0,3238.0
E02000015,under16,2219.6,2236.8,2254.0,2259.2,2264.4,2269.6,2274.8,2280.0,2278.8,2277.6,2276.4,2275.2,2274.0,2281.8,2289.6,2297.4,2305.2,2313.0,2331.0,2349.0,2367.0,2385.0,2403.0,2424.0,2445.0,2466.0,2487.0,2508.0
E02000016,under16,2332.4,2350.2,2368.0,2375.6,2383.2,2390.8,2398.4,2406.0,2407.0,2408.0,2409.0,2410.0,2411.0,2421.4,2431.8,2442.2,2452.6,2463.0,2483.6,2504.2,2524.8,2545.4,2566.0,2590.2,2614.4,2638.6,2662.8,2687.0
E02000017,under16,2127.8,2145.4,2163.0,2174.4,2185.8,2197.2,2208.6,2220.0,2224.6,2229.2,2233.8,2238.4,2243.0,2255.8,2268.6,2281.4,2294.2,2307.0,2329.0,2351.0,2373.0,2395.0,2417.0,2442.6,2468.2,2493.8,2519.4,2545.0
