msoa_zone_id,car_ownership,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
E02000001,no_car,3777.0,3809.0,3841.0,3827.4,3813.8,3800.2,3786.6,3773.0,3770.4,3767.8,3765.2,3762.6,3760.0,3755.8,3751.6,3747.4,3743.2,3739.0,3725.0,3711.0,3697.0,3683.0,3669.0,3661.4,3653.8,3646.2,3638.6,3631.0
E02000002,no_car,1069.6,1086.8,1104.0,1098.6,1093.2,1087.8,1082.4,1077.0,1079.8,1082.6,1085.4,1088.2,1091.0,1092.4,1093.8,1095.2,1096.6,1098.0,1095.4,1092.8,1090.2,1087.6,1085.0,1084.6,1084.2,1083.8,1083.4,1083.0
E02000003,no_car,1252.8,1275.4,1298.0,1289.4,1280.8,1272.2,1263.6,1255.0,1258.4,1261.8,1265.2,1268.6,1272.0,1273.8,1275.6,1277.4,1279.2,1281.0,1278.2,1275.4,1272.6,1269.8,1267.0,1267.0,1267.0,1267.0,1267.0,1267.0
E02000004,no_car,574.8,583.4,592.0,589.8,587.6,585.4,583.2,581.0,583.6,586.2,588.8,591.4,594.0,595.8,597.6,599.4,601.2,603.0,602.2,601.4,600.6,599.8,599.0,599.2,599.4,599.6,599.8,600.0
E02000005,no_car,1138.8,1160.4,1182.0,1174.2,1166.4,1158.6,1150.8,1143.0,1145.6,1148.2,1150.8,1153.4,1156.0,1157.0,1158.0,1159.0,1160.0,1161.0,1158.0,1155.0,1152.0,1149.0,1146.0,1145.6,1145.2,1144.8,1144.4,1144.0
E02000007,no_car,1584.8,1612.4,1640.0,1632.0,1624.0,1616.0,1608.0,1600.0,1603.8,1607.6,1611.4,1615.2,1619.0,1620.6,1622.2,1623.8,1625.4,1627.0,1622.8,1618.6,1614.4,1610.2,1606.0,1605.4,1604.8,1604.2,1603.6,1603.0
E02000008,no_car,1882.6,1916.8,1951.0,1942.0,1933.0,1924.0,1915.0,1906.0,1911.2,1916.4,1921.6,1926.8,1932.0,1934.4,1936.8,1939.2,1941.6,1944.0,1938.8,1933.6,1928.4,1923.2,1918.0,1917.4,1916.8,1916.2,1915.6,1915.0
E02000009,no_car,1263.0,1287.0,1311.0,1304.0,1297.0,1290.0,1283.0,1276.0,1279.4,1282.8,1286.2,1289.6,1293.0,1294.2,1295.4,1296.6,1297.8,1299.0,1295.4,1291.8,1288.2,1284.6,1281.0,1280.4,1279.8,1279.2,1278.6,1278.0
E02000010,no_car,1359.0,1384.0,1409.0,1401.8,1394.6,1387.4,1380.2,1373.0,1376.0,1379.0,1382.0,1385.0,1388.0,1389.2,1390.4,1391.6,1392.8,1394.0,1390.4,1386.8,1383.2,1379.6,1376.0,1375.4,1374.8,1374.2,1373.6,1373.0
E02000011,no_car,697.6,709.8,722.0,717.4,712.8,708.2,703.6,699.0,700.8,702.6,704.4,706.2,708.0,709.0,710.0,711.0,712.0,713.0,711.4,709.8,708.2,706.6,705.0,705.0,705.0,705.0,705.0,705.0
E02000012,no_car,913.2,928.6,944.0,937.4,930.8,924.2,917.6,911.0,913.4,915.8,918.2,920.6,923.0,924.4,925.8,927.2,928.6,930.0,927.4,924.8,922.2,919.6,917.0,916.2,915.4,914.6,913.8,913.0
E02000013,no_car,1225.2,1247.6,1270.0,1263.0,1256.0,1249.0,1242.0,1235.0,1237.8,1240.6,1243.4,1246.2,1249.0,1250.0,1251.0,1252.0,1253.0,1254.0,1250.8,1247.6,1244.4,1241.2,1238.0,1237.8,1237.6,1237.4,1237.2,1237.0
E02000014,no_car,1505.0,1533.0,1561.0,1552.6,1544.2,1535.8,1527.4,1519.0,1522.4,1525.8,1529.2,1532.6,1536.0,1537.4,1538.8,1540.2,1541.6,1543.0,1538.4,1533.8,1529.2,1524.6,1520.0,1519.2,1518.4,1517.6,1516.8,1516.0
E02000015,no_car,1635.8,1663.4,1691.0,1685.4,1679.8,1674.2,1668.6,1663.0,1667.6,1672.2,1676.8,1681.4,1686.0,1688.4,1690.8,1693.2,1695.6,1698.0,1694.2,1690.4,1686.6,1682.8,1679.0,1678.4,1677.8,1677.2,1676.6,1676.0
E02000016,no_car,2038.6,2074.8,2111.0,2106.0,2101.0,2096.0,2091.0,2086.0,2090.6,2095.2,2099.8,2104.4,2109.0,2110.4,2111.8,2113.2,2114.6,2116.0,2109.4,2102.8,2096.2,2089.6,2083.0,2080.6,2078.2,2075.8,2073.4,2071.0
E02000017,no_car,1154.4,1177.2,1200.0,1191.2,1182.4,1173.6,1164.8,1156.0,1158.0,1160.0,1162.0,1164.0,1166.0,1166.6,1167.2,1167.8,1168.4,1169.0,1164.4,1159.8,1155.2,1150.6,1146.0,1144.0,1142.0,1140.0,1138.0,1136.0
E02000018,no_car,1508.6,1535.8,1563.0,1555.2,1547.4,1539.6,1531.8,1524.0,1527.2,1530.4,1533.6,1536.8,1540.0,1541.2,1542.4,1543.6,1544.8,1546.0,1541.8,1537.6,1533.4,1529.2,1525.0,1524.2,1523.4,1522.6,1521.8,1521.0
E02000019,no_car,1068.4,1087.2,1106.0,1098.0,1090.0,1082.0,1074.0,1066.0,1067.4,1068.8,1070.2,1071.6,1073.0,1073.8,1074.6,1075.4,1076.2,1077.0,1074.4,1071.8,1069.2,1066.6,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0
E02000020,no_car,1578.0,1606.0,1634.0,1624.0,1614.0,1604.0,1594.0,1584.0,1587.2,1590.4,1593.6,1596.8,1600.0,1601.4,1602.8,1604.2,1605.6,1607.0,1602.6,1598.2,1593.8,1589.4,1585.0,1584.6,1584.2,1583.8,1583.4,1583.0
E02000021,no_car,1162.2,1183.6,1205.0,1196.4,1187.8,1179.2,1170.6,1162.0,1163.8,1165.6,1167.4,1169.2,1171.0,1172.0,1173.0,1174.0,1175.0,1176.0,1172.8,1169.6,1166.4,1163.2,1160.0,1159.6,1159.2,1158.8,1158.4,1158.0
E02000022,no_car,2031.2,2066.6,2102.0,2096.6,2091.2,2085.8,2080.4,2075.0,2078.8,2082.6,2086.4,2090.2,2094.0,2094.8,2095.6,2096.4,2097.2,2098.0,2092.6,2087.2,2081.8,2076.4,2071.0,2070.4,2069.8,2069.2,2068.6,2068.0
E02000023,no_car,1249.6,1270.8,1292.0,1285.6,1279.2,1272.8,1266.4,1260.0,1262.4,1264.8,1267.2,1269.6,1272.0,1272.8,1273.6,1274.4,1275.2,1276.0,1273.0,1270.0,1267.0,1264.0,1261.0,1260.8,1260.6,1260.4,1260.2,1260.0
E02000024,no_car,876.6,888.8,901.0,898.2,895.4,892.6,889.8,887.0,890.4,893.8,897.2,900.6,904.0,907.2,910.4,913.6,916.8,920.0,920.0,920.0,920.0,920.0,920.0,921.0,922.0,923.0,924.0,925.0
E02000025,no_car,1008.2,1023.6,1039.0,1034.2,1029.4,1024.6,1019.8,1015.0,1018.4,1021.8,1025.2,1028.6,1032.0,1035.2,1038.4,1041.6,1044.8,1048.0,1047.4,1046.8,1046.2,1045.6,1045.0,1045.8,1046.6,1047.4,1048.2,1049.0
E02000026,no_car,426.8,431.4,436.0,436.4,436.8,437.2,437.6,438.0,440.4,442.8,445.2,447.6,450.0,452.2,454.4,456.6,458.8,461.0,461.8,462.6,463.4,464.2,465.0,465.8,466.6,467.4,468.2,469.0
E02000027,no_car,1143.4,1163.2,1183.0,1172.2,1161.4,1150.6,1139.8,1129.0,1131.0,1133.0,1135.0,1137.0,1139.0,1140.8,1142.6,1144.4,1146.2,1148.0,1146.0,1144.0,1142.0,1140.0,1138.0,1137.8,1137.6,1137.4,1137.2,1137.0
E02000028,no_car,506.0,513.0,520.0,518.8,517.6,516.4,515.2,514.0,516.0,518.0,520.0,522.0,524.0,525.6,527.2,528.8,530.4,532.0,532.2,532.4,532.6,532.8,533.0,533.6,534.2,534.8,535.4,536.0
E02000029,no_car,971.2,988.6,1006.0,999.0,992.0,985.0,978.0,971.0,974.0,977.0,980.0,983.0,986.0,988.6,991.2,993.8,996.4,999.0,998.0,997.0,996.0,995.0,994.0,994.6,995.2,995.8,996.4,997.0
E02000030,no_car,521.2,525.6,530.0,531.6,533.2,534.8,536.4,538.0,541.0,544.0,547.0,550.0,553.0,555.6,558.2,560.8,563.4,566.0,567.4,568.8,570.2,571.6,573.0,574.2,575.4,576.6,577.8,579.0
E02000031,no_car,643.2,652.6,662.0,659.0,656.0,653.0,650.0,647.0,648.8,650.6,652.4,654.2,656.0,657.8,659.6,661.4,663.2,665.0,665.0,665.0,665.0,665.0,665.0,665.4,665.8,666.2,666.6,667.0
E02000032,no_car,395.2,398.6,402.0,403.8,405.6,407.4,409.2,411.0,413.4,415.8,418.2,420.6,423.0,425.0,427.0,429.0,431.0,433.0,434.2,435.4,436.6,437.8,439.0,440.2,441.4,442.6,443.8,445.0
E02000033,no_car,848.6,862.8,877.0,870.6,864.2,857.8,851.4,845.0,847.6,850.2,852.8,855.4,858.0,860.4,862.8,865.2,867.6,870.0,869.2,868.4,867.6,866.8,866.0,866.6,867.2,867.8,868.4,869.0
E02000034,no_car,935.4,952.2,969.0,961.8,954.6,947.4,940.2,933.0,935.8,938.6,941.4,944.2,947.0,949.4,951.8,954.2,956.6,959.0,957.8,956.6,955.4,954.2,953.0,953.4,953.8,954.2,954.6,955.0
E02000035,no_car,1024.2,1042.6,1061.0,1053.0,1045.0,1037.0,1029.0,1021.0,1024.0,1027.0,1030.0,1033.0,1036.0,1038.8,1041.6,1044.4,1047.2,1050.0,1048.8,1047.6,1046.4,1045.2,1044.0,1044.6,1045.2,1045.8,1046.4,1047.0
E02000036,no_car,888.8,902.4,916.0,909.4,902.8,896.2,889.6,883.0,884.8,886.6,888.4,890.2,892.0,894.2,896.4,898.6,900.8,903.0,902.6,902.2,901.8,901.4,901.0,901.6,902.2,902.8,903.4,904.0
E02000037,no_car,757.2,769.6,782.0,775.4,768.8,762.2,755.6,749.0,750.2,751.4,752.6,753.8,755.0,756.4,757.8,759.2,760.6,762.0,761.2,760.4,759.6,758.8,758.0,758.2,758.4,758.6,758.8,759.0
E02000038,no_car,1048.8,1066.4,1084.0,1077.4,1070.8,1064.2,1057.6,1051.0,1054.2,1057.4,1060.6,1063.8,1067.0,1069.8,1072.6,1075.4,1078.2,1081.0,1080.2,1079.4,1078.6,1077.8,1077.0,1077.6,1078.2,1078.8,1079.4,1080.0
E02000039,no_car,432.2,437.6,443.0,442.6,442.2,441.8,441.4,441.0,443.0,445.0,447.0,449.0,451.0,452.8,454.6,456.4,458.2,460.0,460.4,460.8,461.2,461.6,462.0,462.8,463.6,464.4,465.2,466.0
E02000040,no_car,665.2,675.6,686.0,679.8,673.6,667.4,661.2,655.0,656.0,657.0,658.0,659.0,660.0,661.0,662.0,663.0,664.0,665.0,664.2,663.4,662.6,661.8,661.0,661.2,661.4,661.6,661.8,662.0
E02000041,no_car,925.0,943.0,961.0,952.2,943.4,934.6,925.8,917.0,918.8,920.6,922.4,924.2,926.0,927.4,928.8,930.2,931.6,933.0,931.6,930.2,928.8,927.4,926.0,926.2,926.4,926.6,926.8,927.0
E02000042,no_car,1714.8,1747.4,1780.0,1767.8,1755.6,1743.4,1731.2,1719.0,1723.2,1727.4,1731.6,1735.8,1740.0,1743.6,1747.2,1750.8,1754.4,1758.0,1755.8,1753.6,1751.4,1749.2,1747.0,1747.6,1748.2,1748.8,1749.4,1750.0
E02000043,no_car,476.8,483.4,490.0,488.6,487.2,485.8,484.4,483.0,484.6,486.2,487.8,489.4,491.0,492.6,494.2,495.8,497.4,499.0,499.4,499.8,500.2,500.6,501.0,501.8,502.6,503.4,504.2,505.0
E02000044,no_car,967.4,986.2,1005.0,993.8,982.6,971.4,960.2,949.0,948.6,948.2,947.8,947.4,947.0,947.2,947.4,947.6,947.8,948.0,945.6,943.2,940.8,938.4,936.0,935.8,935.6,935.4,935.2,935.0
