District,CarOwnership,2019,2026,2031,2036,2041
10,no_car,29622.13985644601,28369.22798630002,28026.263227990006,27711.284804600007,26952.330879790003
10,1_car,47028.80916570402,48820.69448282001,49898.618609160025,50928.55651180002,51861.49826662
10,2_cars,21183.737800124007,22705.05499072999,23417.01383273,24029.979635710006,24810.938986210003
10,3+_cars,6263.214583958,7111.7816139199995,7936.75163483,8648.727007589998,9275.702748620002
2,no_car,7058.387706319999,6926.50612543,6950.29086414,6995.48750439,6985.863509209997
2,1_car,23029.767337332003,23910.060894479993,24563.521929710005,25230.96424289999,25782.353570739997
2,2_cars,18958.302621296,19896.97460169999,20364.689709200004,20774.566450010003,21276.861430050005
2,3+_cars,6483.013893174003,7091.676938900004,7710.838098510002,8247.95975072,8697.01383507
9,no_car,28992.209989198007,27651.035052639993,27198.19874906,26781.331120390005,25996.53039671
9,1_car,39376.39323582002,40625.952334899994,41397.78307777999,42201.60325403,42998.432549950005
9,2_cars,16324.080262418001,17406.276193060003,17942.084799039996,18417.925106910006,19055.733337959995
9,3+_cars,4552.046705830001,5223.33317577,5808.078382339999,6302.866311480003,6762.67528939
7,no_car,2142.714089942,2113.6534464400006,2131.8909683300003,2154.5765692399996,2158.3661053999995
7,1_car,7522.381742625999,7788.90612054,7984.55091469,8183.0909600800005,8356.39183422
7,2_cars,6982.53819025,7297.626936079999,7438.763435190001,7561.00424377,7711.931602250002
7,3+_cars,2694.385154158,2921.4540364800005,3159.734055800001,3367.7755413000004,3533.787983089999
8,no_car,6471.478529974001,6361.86116923,6393.265530040001,6408.714811409997,6328.726099149999
8,1_car,17669.036765951994,18358.18229418001,18853.888361919995,19329.240483779988,19700.473626590003
8,2_cars,14362.355666852007,15065.082020429994,15360.062105030001,15587.95673531,15867.630757499988
8,3+_cars,5480.081137927999,6050.063327430002,6593.235052069999,7036.281316329997,7393.511944520002
5,no_car,10787.453414956002,10246.916195880003,10121.93016074,10093.933133500004,9949.948964579997
5,1_car,23314.422878135996,24112.547519260002,24790.47803676999,25484.40622003,26130.338163209995
5,2_cars,14900.959590066002,15733.471828630001,16161.426973170004,16541.386174619995,17027.33191213
5,3+_cars,5492.840506528001,6089.379412,6638.32618819,7103.279912689999,7519.236375320002
3,no_car,6450.279905335998,6232.049766020002,6194.8851505600005,6175.75437345,6102.55602687
3,1_car,19948.570576698,20488.428253210004,20883.611980750007,21276.807866869993,21570.99341636
3,2_cars,16567.970003207996,17259.788014580005,17546.987451579997,17772.155092939996,18067.35629889
3,3+_cars,6004.171415129999,6477.693121719998,6973.953789859998,7383.170394179998,7728.364989929998
6,no_car,4016.024451096,3805.0540548599997,3740.6278341899992,3694.2016080500002,3611.7753977699995
6,1_car,13276.264154210006,13393.042765299995,13511.76398628,13643.772063030003,13735.206414299999
6,2_cars,9949.039985633995,10277.764325510001,10387.190519939999,10471.04297483,10613.32977619
6,3+_cars,3889.78987092,4177.189493569999,4454.93499969,4689.393658430001,4887.5573237300005
4,no_car,8118.5182271680005,7592.1160092599985,7356.116130450001,7169.1157179500005,6924.11349557
4,1_car,17695.339595113997,17921.154576590005,18052.16452466,18184.17335971,18290.182217480007
4,2_cars,8554.062756072,8906.071236110001,9035.076303849999,9141.07983369,9315.084264309999
4,3+_cars,2467.8402694959996,2767.0439679600004,2996.0492449599997,3168.05526917,3319.0600531599994
1,no_car,724.1906198559999,721.7386369899999,730.6991854899999,741.62870209,749.58892768
1,1_car,3146.2249604700005,3229.4307616200003,3291.6863368499994,3358.9070384999995,3414.26555302
1,2_cars,3456.285994784,3568.3091021000005,3609.9060582700004,3641.6055644499993,3690.1354873599994
1,3+_cars,1547.7949610179999,1657.98752623,1777.7150139199998,1883.5792992799998,1964.68614609
17,no_car,14047.000087490002,13156.000082000002,12905.000080370006,12764.00007946,12478.000077639997
17,1_car,30460.40014186799,31018.00014611,31559.00014949003,32142.000152980007,32718.000156500002
17,2_cars,15022.800061596006,15735.00006538,16054.00006733,16331.000068990003,16721.000071230003
17,3+_cars,5702.000020881999,6269.000023069998,6827.00002521,7308.000026930003,7734.000028530001
15,no_car,7544.494368642001,7448.911123979999,7517.337709750001,7600.764294980001,7575.12092876
15,1_car,17347.373643894,18219.56407295,18909.543265350003,19597.52245681,20219.005129010002
15,2_cars,10299.219219006001,11055.408173400001,11460.32433011,11810.813902760001,12236.086708399998
15,3+_cars,3762.0751699739994,4189.79835297,4627.70754666,5011.19015427,5343.88952917
16,no_car,7335.609634994002,7146.001325869999,7151.794178639999,7163.79419695,7081.2442920700005
16,1_car,19104.04447223,19872.260831280004,20469.11031193,21068.16695391,21578.466515109998
16,2_cars,12282.186335436001,12953.54584449,13263.195663030001,13529.466939089998,13880.495295499999
16,3+_cars,4928.8917892360005,5385.14426005,5849.065283240001,6253.81491566,6608.1860029
11,no_car,1749.991238128,1721.49791946,1724.71884227,1733.34237802,1721.35545809
11,1_car,5422.048898146,5630.826142,5772.51503326,5905.99608287,6016.671903640001
11,2_cars,4809.611461354,4964.760235340001,5026.37068862,5077.17591204,5149.396821900001
11,3+_cars,2145.2489856559996,2288.42419098,2446.8150806500003,2593.59550854,2720.73932537
14,no_car,607.3296324820001,600.3240464099999,606.91622399,613.50840251,614.50281571
14,1_car,2246.8303645200003,2323.38567315,2389.3465632400003,2449.70969004,2494.0839938100003
14,2_cars,2546.228090956,2633.1454166999997,2655.53648508,2667.9331410699997,2687.72644604
14,3+_cars,1314.3407135900002,1433.78203264,1542.70939687,1637.6479369300002,1710.2010057999998
13,no_car,872.4712687560001,879.2687092500003,896.4124236400003,916.7227310499999,927.3378957900001
13,1_car,3867.4187158679997,4012.01993444,4124.06399408,4229.18531734,4314.95089147
13,2_cars,4452.727853408,4607.6366458699995,4659.11156198,4699.89133883,4757.67794819
13,3+_cars,2256.800692294,2423.46560838,2604.05672386,2774.0945802899996,2921.18526913
12,no_car,4665.975487539999,4468.94590533,4405.3721307,4363.79836266,4293.22457294
12,1_car,14580.134405297998,14762.95586016,14923.23467244,15089.22661231,15229.792279419999
12,2_cars,10058.358670234,10318.234338579998,10373.808158770002,10401.95571655,10488.66891807
12,3+_cars,4566.609593881999,4890.80995484,5214.064432309999,5501.605761690001,5725.4420876799995
28,no_car,11681.391540726,11189.991957709999,11023.99212083,10925.99221457,10750.99236764
28,1_car,22695.183024452,23356.98257402,23851.98223664,24412.98184886,24982.98145341
28,2_cars,11537.990523233997,12181.990028480002,12520.98976191,12841.989503570001,13268.98915671
28,3+_cars,3592.396956336,3984.99664195,4375.99633032,4704.996065429999,4978.995849050001
18,no_car,6065.905194254,5954.088394470001,5989.66175483,6041.235126909999,6000.87846675
18,1_car,15311.623575604,16075.43292166,16670.453541450002,17269.4741732,17809.99136947
18,2_cars,8510.579169228,9182.590013699999,9553.673749059999,9880.184090429999,10266.91118897
18,3+_cars,2762.9239991099994,3096.2006896000003,3440.2913688099998,3731.8086508300003,3984.10917118
19,no_car,844.3925867620001,844.0008058400001,858.2079419400002,872.2079223599999,882.7577956999999
19,1_car,3460.96195866,3582.7458412100004,3690.8965313100007,3797.84006082,3880.5406547599987
19,2_cars,3621.8171388379997,3750.45786362,3794.8081707,3832.537001580001,3885.50877315
19,3+_cars,1993.7088077939998,2140.85643854,2294.9355173,2434.1859689699995,2552.81495574
20,no_car,3160.81830692,3112.5116763700003,3123.2908619600003,3144.66746726,3136.6544528600007
20,1_car,10206.79191693,10614.21584646,10886.52775458,11151.047385329999,11351.37205826
20,2_cars,9592.239336234,9898.29121615,10008.68042827,10101.87474925,10235.65361659
20,3+_cars,4672.580119588,4947.6065429400005,5271.21740069,5565.43840094,5826.2955805
27,no_car,10881.798946559999,10533.998907000001,10392.998880469999,10272.998854349999,10054.998832979998
27,1_car,29320.393385853997,30129.993159329995,30541.993059390003,30908.992955510003,31134.992888099994
27,2_cars,24713.790945164,25488.990802859997,25691.990869570003,25821.990960000003,26085.991020959995
27,3+_cars,8957.195179760001,9677.99483988,10390.994491579999,10982.99421074,11470.99401031
22,no_car,3941.7064355879993,3844.1659739599995,3823.78385763,3815.7874728299994,3770.38160766
22,1_car,9061.936013162003,9476.21829592,9768.534505519998,10032.87814206,10242.815931680001
22,2_cars,6421.961450434,6787.768660939999,6975.15989536,7148.141623910001,7353.430474520001
22,3+_cars,2172.804623808,2380.0720726000004,2589.20166498,2790.122864239999,2981.0202886499997
29,no_car,8372.198580654,8347.99858362,8360.99856443,8364.998549299999,8287.998547889998
29,1_car,22381.191896058,23543.99160714,24209.991473610004,24770.991349490003,25232.991270980005
29,2_cars,15972.193098751999,16896.992718300004,17255.99261996,17536.99254879,17887.99242839
29,3+_cars,6378.596939520001,7069.99656686,7693.99623631,8246.9959436,8687.995707029999
21,no_car,1614.948004212,1548.9501730499999,1530.9507019100001,1520.9509313099998,1499.9514113
21,1_car,5456.206247163999,5503.80511497,5554.8035827799995,5617.80144855,5662.80009411
21,2_cars,4801.820731144,4899.817459620001,4909.81750816,4908.81787504,4935.81724065
21,3+_cars,2391.503451988,2543.89759169,2695.89175932,2825.88674961,2933.8825881599996
26,no_car,4057.058517178,4018.05650354,4029.0561533099994,4046.0560569099994,4027.055562979999
26,1_car,15550.63606541,16007.237658580003,16293.239749289996,16535.24168135,16708.24290559
26,2_cars,13322.4314205,13839.236387660001,13991.23630327,14072.235696349999,14186.236333699999
26,3+_cars,6259.323968681998,6739.13273492,7231.14100453,7671.14820392,8008.1535620899995
24,no_car,11306.626290303997,11006.02527946,10902.024503900002,10780.02358319,10536.022557110002
24,1_car,29709.205884545998,30880.0079422,31530.008423690004,32001.00936864,32376.01007826
24,2_cars,18823.557219742,19845.956796499995,20254.957553890003,20544.95836171,20876.95885546
24,3+_cars,6803.172946917999,7481.970510050001,8150.968738389998,8738.96707458,9160.966242609999
23,no_car,21668.564579320002,21100.96550226,20824.966148639993,20446.96697894,19804.968085189994
23,1_car,39281.34221735801,41049.939472100006,41809.93837884,42362.937645050006,42807.93710111
23,2_cars,19522.381212493998,20795.979640730002,21339.978864109988,21731.97829755,22169.977813789992
23,3+_cars,6434.195378900002,7144.994691279999,7960.993730880001,8657.99291927,9169.992358200003
25,no_car,3945.4007666820007,3851.0007197200002,3829.0006657900003,3800.00062687,3732.0005903499996
25,1_car,10655.202498478002,11057.00253292,11308.002490209998,11523.00241568,11700.00233331
25,2_cars,6179.2021189960005,6561.002193089999,6730.00220702,6857.0021965,6998.00218162
25,3+_cars,2204.400534064,2473.00053055,2721.0005835499996,2926.00063865,3082.00066534
30,no_car,0.0,0.0,0.0,0.0,0.0
30,1_car,0.0,0.0,0.0,0.0,0.0
30,2_cars,0.0,0.0,0.0,0.0,0.0
30,3+_cars,0.0,0.0,0.0,0.0,0.0
