District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,29622.139738563157,28369.227872444782,28026.26311475761,27711.28469215498,26357.367578543093
10,1_car,47028.808911987915,48820.69422146304,49898.61834297111,50928.55624062544,52756.44137560787
10,2_cars,21183.737660513507,22705.054842865717,23417.013681013537,24029.979480711547,25691.89295450625
10,3+_cars,6263.214535677863,7111.781560263824,7936.751575805183,8648.726943960675,9743.687471792773
2,no_car,7058.387634833844,6926.506054813021,6950.29079304859,6995.487432592028,7003.447234408761
2,1_car,23029.767084190444,23910.060631953074,24563.52166011367,25230.96396621931,26369.18054163851
2,2_cars,18958.302377449323,19896.974346823303,20364.689449120488,20774.566185472468,21910.82967965235
2,3+_cars,6483.01380197323,7091.676839645374,7710.83799103137,8247.95963605786,9023.599305200882
9,no_car,28992.209747423243,27651.034819143097,27198.198517705914,26781.330891403613,25361.696387754717
9,1_car,39376.39306054119,40625.95214977487,41397.78288727108,42201.60305785603,43762.28444650054
9,2_cars,16324.080217848554,17406.276143855914,17942.084747553894,18417.92505334429,19773.488375086792
9,3+_cars,4552.046695169802,5223.333162570157,5808.0783670544015,6302.866294389846,7118.526510295296
7,no_car,2142.7140596725067,2113.653417307557,2131.8909394894604,2154.576540551903,2168.156084441134
7,1_car,7522.381672309153,7788.906047576036,7984.550839834084,8183.090883424036,8547.483478717739
7,2_cars,6982.5381422712135,7297.626885452382,7438.763383402218,7561.004191015693,7916.23101778935
7,3+_cars,2694.3851378151858,2921.454018433825,3159.734036069267,3367.775520074981,3651.428007071273
8,no_car,6471.478541887084,6361.8611806931385,6393.265541237997,6408.714822276286,6279.546299805505
8,1_car,17669.036780487346,18358.18230948885,18853.888377467043,19329.240499445135,20121.961819044067
8,2_cars,14362.355664507508,15065.082018139288,15360.062102835265,15587.956733192172,16258.594689176545
8,3+_cars,5480.081132996128,6050.06332220972,6593.235046489747,7036.281310475808,7667.578841827461
5,no_car,10787.453423945699,10246.91620429352,10121.930168929237,10093.933141593563,9861.956499815522
5,1_car,23314.422902287846,24112.547543981334,24790.478062235372,25484.406246238297,26791.269500744223
5,2_cars,14900.959607421562,15733.47184697868,16161.426992070128,16541.386194009257,17619.26805277232
5,3+_cars,5492.840512768631,6089.379419074985,6638.326195913162,7103.27992100185,7818.207958420855
3,no_car,6450.279880097838,6232.0497416160715,6194.885126272056,6175.754349185476,6075.39183530266
3,1_car,19948.57049027839,20488.428164578083,20883.611890419576,21276.80777470311,21932.154719420887
3,2_cars,16567.969923311975,17259.787931320152,17546.98736690964,17772.15500717624,18493.61010153105
3,3+_cars,6004.171384502119,6477.693088734825,6973.953754346667,7383.170356554255,7965.516732845641
6,no_car,4016.0244514876426,3805.0540553111427,3740.627834667713,3694.201608463162,3565.63604484206
6,1_car,13276.264146753458,13393.042758201444,13511.76397934775,13643.772056258149,13880.075103411982
6,2_cars,9949.039979241756,10277.764318913829,10387.190513340704,10471.04296822216,10844.485279436725
6,3+_cars,3889.789869771845,4177.189492285935,4454.934998330397,4689.393656995506,5026.999763720441
4,no_car,8118.518239546262,7592.116020628765,7356.116141326544,7169.115728409848,6748.111260161975
4,1_car,17695.339614853863,17921.154596878947,18052.16454517757,18184.173380407483,18438.190431477822
4,2_cars,8554.062753642054,8906.071234210232,9035.076302286403,9141.079832472367,9555.08930282479
4,3+_cars,2467.840267491794,2767.0439659445724,2996.049242899088,3168.0552670570223,3425.0642548569203
1,no_car,724.1906142437916,721.7386313770844,730.6991798355247,741.628696350121,758.5512406510132
1,1_car,3146.2249317429396,3229.430732256882,3291.6863070295876,3358.907008169751,3478.555142427367
1,2_cars,3456.2859652506263,3568.309071550072,3609.9060273002374,3641.605533157896,3767.3544420252
1,3+_cars,1547.7949492264895,1657.9875135675052,1777.7150002817248,1883.579284783994,2024.9628411856602
17,no_car,14047.000002813818,13156.000002668683,12905.000002623297,12764.000002600773,12272.000002519711
17,1_car,30460.400003555904,31018.000003705023,31559.000003814854,32142.000003923455,33356.000004158515
17,2_cars,15022.800000943736,15735.000001018716,16054.000001066464,16331.00000110344,17237.000001202356
17,3+_cars,5702.0000001127155,6269.000000139371,6827.00000016333,7308.000000176061,8064.000000200732
15,no_car,7544.494363951766,7448.9111193332665,7517.337705089785,7600.764290318675,7612.547507325224
15,1_car,17347.373641264574,18219.564070023804,18909.54326224619,19597.522453532307,20862.557728858777
15,2_cars,10299.219217857939,11055.408172269583,11460.324328977684,11810.813901632046,12730.499389894143
15,3+_cars,3762.07516926872,4189.798352240182,4627.707545906049,5011.190153496742,5552.022444429796
16,no_car,7335.609608197236,7146.001299771596,7151.79415260694,7163.794170992773,7061.072903587872
16,1_car,19104.044414892163,19872.26077119118,20469.110249974103,21068.1668901546,22126.14454838278
16,2_cars,12282.186308044122,12953.545815338273,13263.195632936287,13529.466908187756,14321.866389044226
16,3+_cars,4928.891781319041,5385.144251436658,5849.065273893062,6253.814905659276,6853.421456670678
11,no_car,1749.9912399191985,1721.4979212445057,1724.718844037101,1733.3423797776,1723.3685361691596
11,1_car,5422.048899145995,5630.8261430883185,5772.515034386858,5905.996084068111,6136.750340549597
11,2_cars,4809.611461296213,4964.760235282078,5026.370688576386,5077.1759120337965,5258.059570557227
11,3+_cars,2145.2489856095926,2288.42419085062,2446.8150804703723,2593.5955082893174,2822.4674535496238
14,no_car,607.3296320765671,600.3240460339102,606.9162236532097,613.5084021956465,616.6983459414752
14,1_car,2246.830364309839,2323.3856729484232,2389.3465630720025,2449.709689886213,2548.2515901330235
14,2_cars,2546.228089468239,2633.145415171068,2655.536483539361,2667.9331395025006,2730.5029876162407
14,3+_cars,1314.3407134046683,1433.782032592324,1542.7093968596935,1637.6479369598633,1765.7652519698713
13,no_car,872.4712683651927,879.2687089332852,896.4124233727571,916.7227308443107,939.0042535530112
13,1_car,3867.4187287538134,4012.019947424269,4124.064007133052,4229.18533044692,4412.669843177643
13,2_cars,4452.727864594137,4607.6366576442015,4659.111574013052,4699.8913510493385,4853.863939917489
13,3+_cars,2256.8006958598417,2423.465612502545,2604.0567284323506,2774.0945852561867,3036.0337704244
12,no_car,4665.975479662633,4468.945897925262,4405.372123442923,4363.798355477626,4254.363915597738
12,1_car,14580.134381579548,14762.95583624426,14923.234648338059,15089.226587962015,15435.92356626693
12,2_cars,10058.3586474394,10318.234315198313,10373.808135288506,10401.955693044027,10670.513369126624
12,3+_cars,4566.609582835152,4890.809943053292,5214.0644198049185,5501.605748594169,5879.9996237991745
28,no_car,11681.391537759277,11189.991954867835,11023.992118021317,10925.99221178235,10669.99243620675
28,1_car,22695.183018514323,23356.98256778407,23851.982230196532,24412.9818422037,25580.98103141457
28,2_cars,11537.990522228494,12181.990027258822,12520.989760558978,12841.98950212092,13774.988739744
28,3+_cars,3592.396956171263,3984.996641691308,4375.996329966888,4704.996065008049,5130.995725771577
18,no_car,6065.905197030956,5954.088397246204,5989.661757645918,6041.235129742664,6018.451858283018
18,1_car,15311.623573919278,16075.432920180398,16670.45354007092,17269.47417191372,18365.43862615092
