District,Population,2019,2026,2031,2036,2046
10,under16,46021.675415214006,46348.068686410006,44075.220547770004,43635.256468540014,45486.153039790006
10,16-74,186843.24505436193,189835.49498893003,192798.38369343997,192841.3796542,188715.50637662006
10,75+,15081.156292263995,17032.272152139994,18014.229338440007,19814.150574029998,24104.964607170004
10,HHs,104099.90179165198,107007.75917447994,109282.64718786997,111318.54795640001,114549.39010952995
10,jobs,134236.53174558206,139180.0485446901,141335.01860035994,142559.00075207002,143135.99269515
10,workers,117965.49580205997,125682.63496183993,127802.48624868992,128359.45229797998,132504.25266341
2,under16,25505.524940642,25315.803965580006,24604.613796499998,24602.66137703001,25713.072444719997
2,16-74,94430.93632878797,95799.63621218003,97101.36034923002,97426.43205289994,96648.57373672999
2,75+,11506.309393951999,14397.253837590006,15627.757475210003,17088.69660924,20404.500380799996
2,HHs,55532.083683262,57824.21937547998,59586.34064958002,61248.97141115998,64310.06118243999
2,jobs,73507.987868676,75556.76799291003,76726.84359894002,77389.93379253,77704.06485515
2,workers,66467.71366443399,69936.87208256002,71415.86880352999,71946.34289061003,74251.38864723998
9,under16,39129.102247178016,37649.40577417999,35780.034308720016,35564.11040159,37087.608032669996
9,16-74,157456.48436488397,159440.44578317998,160906.11389795007,159674.52907880003,154804.69499326995
9,75+,13440.995457221996,15604.444131310007,16496.141575520007,18472.445113539998,22839.916614990005
9,HHs,89245.73022309,90901.60770245997,92346.14478148,93699.71484754,96013.99630563002
9,jobs,129387.39805117599,133565.81193265002,135634.9063151099,136809.39347967997,137362.15359788
9,workers,99359.16163202604,105381.43867542001,106361.16724563,105960.29878685002,108689.43992540997
7,under16,8183.865168420002,8225.021980579997,7962.557468780001,7898.52803399,8208.812444989999
7,16-74,32749.104743089996,32805.74457999,33293.83246911,33417.94899883,32817.12193508001
7,75+,5099.087109387999,6509.679230260001,6967.469357759999,7577.451706490002,9190.723670149999
7,HHs,19341.798400679996,20121.640464489996,20712.387124699995,21266.44724187,22285.746445100005
7,jobs,22926.625693515994,23673.98990219,24039.259231810003,24246.856824280003,24344.70770169
7,workers,22256.40184263799,23326.89459401,23774.19331444,23902.549989599993,24549.56736059
8,under16,20280.650950908,19978.26587888999,18979.420845710003,18667.61786555,19167.145813169995
8,16-74,76577.808094688,77627.34202440003,78797.18669853003,78535.36992313997,76240.25537005006
8,75+,10783.551615102002,13450.510532860006,14596.316782270003,16106.003300149994,19650.255100200004
8,HHs,43982.632563256004,45834.38997729999,47199.45133099001,48360.992544570014,50329.84383797
8,jobs,80450.33090903403,83504.66276220996,84798.11658814999,85535.39756695997,85880.82314351
8,workers,50719.39194883201,53324.46035776002,54160.42353577,54091.97624727,55010.30089220002
5,under16,22437.001219751997,21887.858903899985,21157.920540400006,21032.92650303,21941.826942980002
5,16-74,89830.04970288402,90898.74087723003,92076.61848337996,91897.63535119998,90078.80740866
5,75+,13892.70200007,16253.27244354,17336.16585513,19301.955905810006,23737.486016439998
5,HHs,54498.07599796399,56186.31511488,57712.16186851002,59226.00513048,62088.70233330999
5,jobs,55192.89087745399,57016.28150812002,57900.19266483001,58401.14305298001,58636.11873930999
5,workers,57224.01382671401,60845.84145749002,62100.72040370001,62150.723111769985,64371.46473534999
3,under16,19627.191456511995,19515.847698039994,18793.20956916,18602.13643697,19179.658691040007
3,16-74,82429.01697513202,81998.34835745003,82463.71005119997,81771.32762806,79016.23113086999
3,75+,12746.392045342001,15764.542021409998,16760.86762374999,18254.582620390003,21878.128434460003
3,HHs,48970.39139189002,50461.94671482,51598.43811182997,52607.898111989976,54462.67360888
3,jobs,60539.99165683999,62314.62633618999,63280.53887450004,63827.05589673001,64085.29788526
3,workers,55690.187760328015,57679.178177690024,58151.49517930998,57770.39795911002,58713.31248134003
6,under16,12937.644758506001,12241.830842880001,11583.503685660002,11367.63506051,11539.22502894
6,16-74,51099.967531430004,50039.549455559994,49499.36175009,48528.28111044,46173.75984841999
6,75+,6869.181242659997,8569.74714297,9235.98372714,9989.66279399,11913.22513231
6,HHs,31130.718461559994,31655.050637010012,32092.517340969993,32498.410303929995,33315.19620659
6,jobs,33304.84835165599,34271.408495519994,34804.20266342999,35106.39066994,35247.55436516
6,workers,34278.821459014,34879.96349643,34607.23441489,34010.91547652,34034.92373491
4,under16,15800.200854572,14378.031407159999,13520.03750913,13247.041161379997,13479.04908039
4,16-74,60895.998086864005,60671.59743176,60146.630221089996,58736.651623770005,55577.64388007001
4,75+,7625.0035138919975,9578.238296159998,10368.244752920002,11505.260255500001,13854.309331420003
4,HHs,36837.760860601986,37187.38604263,37443.40620158,37664.42440124,38164.45517535
4,jobs,31430.923317394005,32476.78114861,32978.80892064,33264.82445433,33398.83169245999
4,workers,40290.111609384,41658.33844518001,41301.36121747999,40404.380586979976,40294.41000089001
1,under16,3480.6881240039997,3431.77950932,3315.21932874,3297.4940779099998,3427.1316230600005
1,16-74,15563.174026493998,15471.152715960001,15559.77908948,15455.206357579997,14963.520634510005
1,75+,2466.1712175959997,3214.614103289999,3495.0302748099994,3852.778027040001,4651.52254085
1,HHs,8874.896482518001,9178.466333649998,9411.006170759998,9626.720910169997,10028.45861532
1,jobs,6320.542009396001,6552.58918434,6654.55530791,6711.969304970001,6738.693579649999
1,workers,10245.342924505998,10559.454398339998,10677.41683356,10668.79796689,10848.275556929999
17,under16,23070.400132545998,21242.000121890014,19480.000111609992,18687.000106929998,18800.000107170006
17,16-74,104879.80052786008,102860.00051253998,102806.00050719,101631.00049771,96882.00047606006
17,75+,18026.000058675996,22893.000074940006,25146.00008280999,27851.00009226001,34629.00011582
17,HHs,65232.60031182602,66176.00031653,67347.00032241,68548.00032841,70929.00034033004
17,jobs,67155.00039929202,69613.00041421998,70689.00042067998,71301.00042433999,71591.00042611
17,workers,61401.600327281994,63029.00033482002,63077.00033367998,62176.00032664999,62956.00032818
15,under16,14001.354972936002,13876.01781837,13185.82878644,12914.3391802,13431.10849228
15,16-74,61481.74690022,62706.001614789995,64461.73602253,65185.28840951,64183.106286270006
