District,Population,2019,2026,2031,2036,2046
10,under16,0.0,0.0,0.0,0.0,0.0
10,16-74,-2.9103830456733704e-11,0.0,0.0,-2.9103830456733704e-11,0.0
10,75+,-1.8189894035458565e-12,0.0,0.0,3.637978807091713e-12,0.0
10,HHs,0.0,0.0,0.0,0.0,0.0
10,jobs,0.0,0.0,0.0,0.0,0.0
10,workers,0.0,0.0,0.0,0.0,0.0
2,under16,0.0,0.0,0.0,3.637978807091713e-12,0.0
2,16-74,1.4551915228366852e-11,0.0,0.0,0.0,0.0
2,75+,0.0,1.8189894035458565e-12,0.0,0.0,0.0
2,HHs,0.0,0.0,0.0,0.0,0.0
2,jobs,0.0,0.0,0.0,0.0,0.0
2,workers,0.0,0.0,0.0,0.0,0.0
9,under16,0.0,0.0,0.0,0.0,-7.275957614183426e-12
9,16-74,0.0,0.0,0.0,0.0,0.0
9,75+,0.0,1.8189894035458565e-12,0.0,0.0,0.0
9,HHs,0.0,0.0,0.0,-1.4551915228366852e-11,0.0
9,jobs,0.0,0.0,0.0,0.0,0.0
9,workers,0.0,0.0,0.0,0.0,0.0
7,under16,0.0,0.0,0.0,0.0,0.0
7,16-74,0.0,0.0,0.0,0.0,0.0
7,75+,0.0,0.0,0.0,0.0,0.0
7,HHs,0.0,-3.637978807091713e-12,0.0,3.637978807091713e-12,-3.637978807091713e-12
7,jobs,3.637978807091713e-12,0.0,0.0,0.0,-3.637978807091713e-12
7,workers,0.0,0.0,-3.637978807091713e-12,0.0,0.0
8,under16,0.0,0.0,0.0,0.0,-3.637978807091713e-12
8,16-74,0.0,0.0,0.0,0.0,0.0
8,75+,1.8189894035458565e-12,0.0,0.0,-1.8189894035458565e-12,0.0
8,HHs,-7.275957614183426e-12,0.0,0.0,0.0,0.0
8,jobs,0.0,0.0,0.0,0.0,0.0
8,workers,0.0,0.0,0.0,0.0,0.0
5,under16,0.0,3.637978807091713e-12,0.0,0.0,0.0
5,16-74,0.0,0.0,0.0,0.0,0.0
5,75+,0.0,-1.8189894035458565e-12,0.0,3.637978807091713e-12,0.0
5,HHs,0.0,0.0,0.0,0.0,0.0
5,jobs,0.0,0.0,0.0,0.0,0.0
5,workers,0.0,7.275957614183426e-12,0.0,0.0,0.0
3,under16,3.637978807091713e-12,0.0,0.0,0.0,0.0
3,16-74,0.0,0.0,0.0,0.0,0.0
3,75+,0.0,0.0,0.0,0.0,0.0
3,HHs,-7.275957614183426e-12,0.0,0.0,0.0,0.0
3,jobs,0.0,0.0,0.0,0.0,0.0
3,workers,0.0,0.0,0.0,0.0,0.0
6,under16,0.0,0.0,0.0,0.0,0.0
6,16-74,0.0,0.0,0.0,0.0,0.0
6,75+,0.0,0.0,0.0,0.0,-1.8189894035458565e-12
6,HHs,0.0,-3.637978807091713e-12,0.0,-3.637978807091713e-12,0.0
6,jobs,0.0,0.0,0.0,0.0,0.0
6,workers,0.0,0.0,0.0,0.0,0.0
4,under16,0.0,-1.8189894035458565e-12,0.0,0.0,0.0
4,16-74,0.0,0.0,0.0,0.0,0.0
4,75+,0.0,0.0,-1.8189894035458565e-12,1.8189894035458565e-12,-1.8189894035458565e-12
4,HHs,0.0,0.0,0.0,-7.275957614183426e-12,0.0
4,jobs,0.0,0.0,0.0,0.0,0.0
4,workers,-7.275957614183426e-12,0.0,0.0,0.0,0.0
1,under16,0.0,-4.547473508864641e-13,0.0,0.0,0.0
1,16-74,0.0,-1.8189894035458565e-12,0.0,0.0,0.0
1,75+,0.0,-4.547473508864641e-13,0.0,0.0,0.0
1,HHs,0.0,0.0,0.0,0.0,0.0
1,jobs,0.0,0.0,0.0,0.0,0.0
1,workers,-1.8189894035458565e-12,0.0,0.0,0.0,0.0
17,under16,-3.637978807091713e-12,0.0,0.0,0.0,0.0
17,16-74,1.4551915228366852e-11,-1.4551915228366852e-11,0.0,0.0,0.0
17,75+,0.0,0.0,0.0,0.0,0.0
17,HHs,-7.275957614183426e-12,0.0,0.0,0.0,0.0
17,jobs,0.0,0.0,0.0,0.0,0.0
17,workers,-7.275957614183426e-12,0.0,-7.275957614183426e-12,-7.275957614183426e-12,0.0
15,under16,0.0,1.8189894035458565e-12,0.0,-1.8189894035458565e-12,-1.8189894035458565e-12
15,16-74,0.0,0.0,0.0,0.0,0.0
15,75+,0.0,0.0,1.8189894035458565e-12,0.0,0.0
15,HHs,0.0,-7.275957614183426e-12,0.0,0.0,0.0
15,jobs,0.0,0.0,0.0,0.0,0.0
15,workers,0.0,0.0,0.0,0.0,0.0
16,under16,0.0,1.8189894035458565e-12,0.0,0.0,0.0
16,16-74,0.0,0.0,0.0,0.0,0.0
16,75+,1.8189894035458565e-12,-1.8189894035458565e-12,0.0,0.0,0.0
16,HHs,0.0,0.0,0.0,0.0,0.0
16,jobs,-7.275957614183426e-12,0.0,0.0,0.0,0.0
16,workers,0.0,0.0,0.0,0.0,0.0
11,under16,0.0,0.0,0.0,0.0,0.0
11,16-74,-3.637978807091713e-12,0.0,-3.637978807091713e-12,0.0,0.0
11,75+,0.0,-9.094947017729282e-13,0.0,0.0,0.0
11,HHs,0.0,0.0,0.0,0.0,0.0
11,jobs,0.0,0.0,0.0,0.0,0.0
11,workers,-1.8189894035458565e-12,0.0,0.0,0.0,0.0
14,under16,0.0,0.0,4.547473508864641e-13,0.0,0.0
14,16-74,-1.8189894035458565e-12,0.0,0.0,0.0,0.0
14,75+,2.2737367544323206e-13,-4.547473508864641e-13,-4.547473508864641e-13,0.0,0.0
14,HHs,0.0,0.0,0.0,9.094947017729282e-13,0.0
14,jobs,0.0,0.0,0.0,0.0,0.0
14,workers,0.0,9.094947017729282e-13,0.0,0.0,0.0
13,under16,0.0,0.0,0.0,0.0,0.0
13,16-74,0.0,0.0,0.0,-3.637978807091713e-12,3.637978807091713e-12
13,75+,0.0,0.0,-4.547473508864641e-13,0.0,0.0
13,HHs,0.0,0.0,0.0,-1.8189894035458565e-12,0.0
13,jobs,0.0,0.0,0.0,0.0,0.0
13,workers,-1.8189894035458565e-12,0.0,0.0,0.0,0.0
12,under16,0.0,0.0,0.0,0.0,0.0
12,16-74,0.0,0.0,0.0,7.275957614183426e-12,0.0
