District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,29580.142148073992,28218.237245040003,27776.278042690003,27343.308753310008,25767.40621181999
10,1_car,47022.20917029999,48788.69276887001,49822.618542439996,50800.558312609995,52470.44883268998
10,2_cars,21217.33557948799,22853.047676889997,23678.000842700007,24420.95934003,26386.856471009985
10,3+_cars,6275.814514808,7145.779869490002,7998.749655889998,8750.721660120002,9927.678481009998
2,no_car,7050.828516362,6895.4934101,6901.06531203,6925.868437609999,6883.794911419999
2,1_car,23015.484626922003,23854.64934473,24466.69895608999,25090.915505799992,26128.713157980004
2,2_cars,18974.148554894004,19963.786939269983,20474.519033020013,20935.211353630002,22183.898901420005
2,3+_cars,6487.700671224003,7108.479523820001,7740.252446429998,8292.983085359998,9105.65753322
9,no_car,28956.216420969995,27522.05671984999,26988.23166997,26469.385860619997,24852.795060079992
9,1_car,39375.799528764,40610.973312600014,41355.825341480006,42127.65554947001,43573.40134163999
9,2_cars,16352.267446021999,17524.2441117,18147.020183569995,18726.828256869998,20336.326963329997
9,3+_cars,4559.840229538002,5245.333405169999,5856.056869370001,6375.845179499998,7255.48411443
7,no_car,2140.913952896,2107.6528793599996,2120.89003157,2140.12754524,2146.15372361
7,1_car,7518.781719789999,7772.01059336,7954.655205680001,8143.74721177,8479.243880070002
7,2_cars,6986.138392810001,7315.075137690002,7466.659793749999,7602.90111791,7986.024594730001
7,3+_cars,2696.185222599999,2924.90174635,3168.181983720001,3380.67136323,3675.3242457700003
8,no_car,6464.856962643999,6337.85785726,6353.229263589997,6349.47105724,6186.431796110001
8,1_car,17660.617446941997,18326.919684789995,18804.193742850002,19253.28032526001,19991.7037814
8,2_cars,14373.896240809998,15107.350275840008,15433.562156900001,15690.49127472,16431.632518959996
8,3+_cars,5483.100467611997,6061.265679060002,6612.470002950002,7063.549069940003,7719.079088740004
5,no_car,10773.654887499997,10200.921278400005,10044.93799261,9982.945118690004,9679.97680248
5,1_car,23306.023844436007,24071.55227889001,24722.48667797001,25377.41861956,26593.292620319997
5,2_cars,14919.557491967991,15801.464426339999,16272.41490546,16703.367975890003,17896.23762287
5,3+_cars,5498.839794633999,6109.377500239999,6673.321896700001,7161.273191819998,7919.195063210001
3,no_car,6445.473120133998,6210.027103860002,6157.851253730003,6123.697457500001,5989.290762590002
3,1_car,19937.164022717996,20444.405743410007,20806.567179489997,21160.75233447,21743.03193932
3,2_cars,16582.982986188,17312.821304999994,17634.054136679995,17900.25521500001,18699.777934000005
3,3+_cars,6008.977857294001,6493.693152510002,6998.976116280002,7426.192423640002,8031.561857509999
6,no_car,4011.224453628001,3792.0540604000003,3715.62784465,3661.2016214900004,3515.6360628999996
6,1_car,13268.292034358,13360.469036060003,13458.190268479997,13562.624612750004,13744.927692159998
6,2_cars,9958.812104573999,10312.051180969998,10443.76423839,10553.90355594,10979.345836899998
6,3+_cars,3893.389868244,4189.189487060001,4475.221864950001,4719.68051658,5078.573488239999
4,no_car,8107.718201097999,7557.1156365,7301.115566059998,7091.11470534,6623.109862650001
4,1_car,17691.73953377,17895.154886,18004.164735640006,18111.17351881,18299.19059078
4,2_cars,8567.262841710002,8954.071555200004,9120.076558150004,9264.080514010002,9761.09034745
4,3+_cars,2472.640224916,2782.0438868700003,3017.049522710001,3200.0555118899993,3480.0645240099993
1,no_car,723.0109815159999,721.7372782300001,728.73175351,739.6603368400001,751.65001207
1,1_car,3144.4456953420004,3222.4988372,3281.78793163,3342.0767099900004,3452.825812
1,2_cars,3458.0658864320003,3574.24195967,3619.8054047200003,3656.47243914,3790.120588240001
1,3+_cars,1548.374229068,1659.9882582799999,1781.68149984,1889.51184624,2033.8622004199997
17,no_car,14028.40008737,13094.000081589997,12809.000079749994,12629.000078559997,12069.000074920008
17,1_car,30454.400141868013,30983.000145990012,31495.00014926,32041.00015261001,33167.0001594
17,2_cars,15043.200061704003,15808.000065789993,16176.000067999996,16505.000070000006,17525.000075639997
17,3+_cars,5711.000020917999,6291.000023170003,6869.000025420001,7374.000027249999,8169.000030379999
15,no_car,7535.280379343999,7417.554471789999,7465.62440819,7524.050989310001,7495.120902640001
15,1_car,17342.35965732,18193.85078333,18863.11668487,19531.739232469998,20740.34792704
15,2_cars,10309.033207560002,11097.12146686,11529.750919680002,11916.5971384,12909.70921772
15,3+_cars,3765.075169062,4202.154999169999,4653.42083964,5047.90344694,5611.4490313999995
16,no_car,7328.533926986001,7117.415634479999,7105.415638989999,7098.62280983,6958.315847880001
16,1_car,19098.644469614002,19846.882291699996,20421.93892154,21002.40986873,22011.21613935
16,2_cars,12293.337750186003,12993.924386670002,13332.159899740001,13628.016873619998,14485.380590369998
16,3+_cars,4932.9674960560005,5400.9371065099995,5871.6509749299985,6287.98629821,6909.385698890001
11,no_car,1749.3912380079998,1716.49792051,1716.71884392,1720.3423811100001,1703.3685382800002
11,1_car,5419.0488989860005,5621.020913339999,5755.30719085,5882.3856259799995,6098.33465408
11,2_cars,4813.45302973,4975.56546396,5044.17591664,5103.98113829,5300.67002435
11,3+_cars,2146.448985584,2291.42419051,2453.21769473,2602.9981224400003,2837.2726823
14,no_car,607.329632014,599.3240467400001,604.91622366,609.70952087,612.6983449600001
14,1_car,2245.630364358,2319.5867887199997,2382.94991361,2440.51415676,2533.2571725300004
14,2_cars,2547.3074206779997,2636.94430033,2662.1342516100003,2676.53090865,2743.6985236299997
14,3+_cars,1314.340714136,1435.5809145599999,1545.5082795600001,1641.44681998,1772.36301801
13,no_car,871.609117686,878.83178321,894.5385791299998,913.85963128,935.64229167
13,1_car,3865.3258518479997,4002.8366861099994,4110.341450459999,4208.49730969,4375.822362450001
13,2_cars,4454.820717758001,4615.21637858,4670.78292204,4716.538919910001,4881.391258080001
13,3+_cars,2257.662842884,2427.0691238299996,2609.14834902,2781.7897199599997,3048.6539292800003
12,no_car,4661.775485518,4452.945899350001,4382.37211913,4330.79834673,4204.36389955
12,1_car,14573.706527351998,14740.529596080003,14885.80840064,15033.37407795,15347.071031050002
12,2_cars,10065.986549343997,10344.947479609998,10417.23443386,10463.09512772,10766.65282953
12,3+_cars,4570.209595526,4901.80996042,5230.7775655099995,5527.318899759999,5922.42590922
28,no_car,11666.391554982,11142.99199656,10943.992188310001,10809.99231533,10486.99259061
28,1_car,22688.583031934002,23332.98259888,23809.98228017,24349.9819136,25454.98116978
28,2_cars,11552.990510592,12237.98997756,12617.989676779998,12983.989376649999,14017.988524190001
28,3+_cars,3595.396955652,3999.9966273200002,4403.9963037,4741.996032509999,5193.99566846
18,no_car,6057.119185298,5926.445045660001,5947.37505843,5979.9484304200005,5919.87846592
18,1_car,15309.437561518,16056.14621604,16633.88012917,17216.257409320002,18262.64845314
18,2_cars,8520.565180584,9217.87671762,9616.24715377,9970.400842,10856.28856767
18,3+_cars,2765.923998762,3105.8440402100005,3455.578074509999,3758.0953547199997,4187.54957911
19,no_car,843.668292196,842.5864897400002,855.5864668800002,869.37928996,893.6861926800002
19,1_car,3459.7619578679996,3576.1243686900007,3680.0679018,3784.5971124100006,3951.7911398300002
19,2_cars,3623.26572872,3755.0793395499986,3803.8439619700002,3842.987110779999,3992.6236880000006
19,3+_cars,1993.8331026659998,2144.0635953400006,2299.34983098,2441.0145989800003,2648.6153268399994
20,no_car,3158.418306626,3102.51167681,3109.29085965,3121.6674271899997,3101.64144279
20,1_car,10201.391892701999,10592.021039950001,10850.73548401,11093.6576915,11491.709850950001
20,2_cars,9599.79776565,9921.48602587,10048.87527739,10159.069636199998,10543.38091719
20,3+_cars,4674.980119804,4957.606580650001,5284.8148641299995,5588.035863919999,6068.7630282
27,no_car,10869.798946937999,10487.99890658,10322.99888468,10172.99885429,9752.99879493
27,1_car,29304.793388997998,30063.99316998,30430.99308346001,30742.992982239997,31194.99282136
27,2_cars,24737.790942698,25578.990795080004,25834.990855260003,26025.9909451,26912.990952179996
27,3+_cars,8962.595181986,9699.99483084,10431.994486230002,11037.99419943,11915.99384997
22,no_car,3937.16858943,3827.60290382,3795.65770983,3777.09825295,3680.28650954
22,1_car,9056.828884628,9456.29691225,9734.152430109998,9980.909215790001,10376.09556002
22,2_cars,6429.468577702,6814.7412368800005,7022.5931604,7217.59865923,7726.6297313
22,3+_cars,2174.3424714780003,2387.0208778900005,2602.6623592200003,2809.5323649899997,3163.0164832500004
29,no_car,8363.198579382,8317.99858311,8305.99856833,8285.99855194,8129.99853603
29,1_car,22371.591901542,23498.991632840003,24129.991517540002,24655.99140849,25569.9912702
29,2_cars,15985.993093556002,16954.99269748,17352.99258901,17682.99249916,18520.99221766
29,3+_cars,6383.396936778,7087.99655927,7722.99622528,8292.99592348,9022.995545270001
21,no_car,1613.7480552780003,1543.9502967999997,1525.9507839500002,1510.95118546,1471.9520162600002
21,1_car,5453.206371172,5491.8055300099995,5537.8041550299995,5592.80234935,5694.799195
21,2_cars,4804.8206575839995,4910.817131240001,4926.816972639999,4933.81709414,5042.81387301
21,3+_cars,2392.703378374,2548.8973836900004,2702.8914686299995,2835.8864197099997,3027.87902957
26,no_car,4052.858425372,4007.0564025799995,4016.05598206,4021.0557856400005,3999.0551150000006
26,1_car,15544.035908971999,15976.237140839998,16243.238926539996,16459.24054151,16869.243460279995
26,2_cars,13331.431518804004,13867.236835580003,14040.23696408,14141.23663924,14492.240368270002
26,3+_cars,6260.524050768,6750.13299724,7252.1413150299995,7701.148630209999,8229.157750780001
24,no_car,11292.826287339998,10961.025073050001,10825.02431724,10670.023208609999,10221.021089140002
24,1_car,29697.205915104,30822.008034479997,31426.008663080003,31846.009572429997,32611.010890340003
24,2_cars,18844.557222526,19927.956792449993,20393.957625889998,20740.95852613,21577.959143200005
24,3+_cars,6808.57296058,7502.970489679999,8191.9687546000005,8804.96706841,9464.965965240002
23,no_car,21642.164628262002,21000.965697150004,20665.96643414,20214.967405159994,19014.969492170003
23,1_car,39274.142223081995,41006.939505259994,41732.938429249996,42241.937746849995,43134.936698699996
23,2_cars,19548.781176824,20903.979499570003,21524.978611989998,22006.97789659,23060.976693149998
23,3+_cars,6441.395358896001,7169.9946504,8012.99367968,8736.992806690001,9556.991876879996
25,no_car,3941.2007639640005,3836.0007093800004,3802.0006586699997,3765.0006084199995,3643.0005324699996
25,1_car,10651.002497236,11041.00252403,11277.00247386,11476.00239195,11845.002219
25,2_cars,6185.202121606,6587.00220522,6772.002228900001,6917.0022337499995,7253.002235819999
25,3+_cars,2206.200533866,2482.00053102,2736.00058604,2946.00064663,3193.00069161
