District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,29580.14203036088,28218.23713180641,27776.277930482072,27343.308642279975,25767.40610621856
10,1_car,47022.208916681164,48788.69250783394,49822.61827697617,50800.55804244093,52470.448555090035
10,2_cars,21217.335439674425,22853.04752824979,23678.00068965813,24420.959183113915,26386.85630331038
10,3+_cars,6275.814466463297,7145.779815644984,7998.749596586743,8750.721595964873,9927.678409395838
2,no_car,7050.828444944222,6895.49333976711,6901.065241355437,6925.868366377599,6883.794840227355
2,1_car,23015.48437393486,23854.649082868727,24466.698687623317,25090.915230776453,26128.712871996817
2,2_cars,18974.148310867226,19963.786683694078,20474.518771811334,20935.21108742363,22183.89862135508
2,3+_cars,6487.700579956966,7108.479424388384,7740.252338616786,8292.9829701589,9105.657407447623
9,no_car,28956.21617945469,27522.056487281377,26988.231440156746,26469.385633986225,24852.794846279514
9,1_car,39375.79935339125,40610.9731271541,41355.8251504833,42127.65535264041,43573.40113092853
9,2_cars,16352.267401349076,17524.24406200649,18147.020131228302,18726.82820201012,20336.326900861306
9,3+_cars,4559.8402188243135,5245.33339189726,5856.056853874151,6375.845162052693,7255.484093335771
7,no_car,2140.913922670431,2107.652850373179,2120.89000293616,2140.12751684638,2146.153696151858
7,1_car,7518.781649497555,7772.010520519926,7954.655131052725,8143.747135419604,8479.243800758994
7,2_cars,6986.138344782247,7315.07508687653,7466.659741660146,7602.901064692257,7986.024538501963
7,3+_cars,2696.18520623189,2924.901728261034,3168.181963883754,3380.6713418569598,3675.324222177608
8,no_car,6464.856974530914,6337.857868663498,6353.229274666414,6349.471067998989,6186.431805762032
8,1_car,17660.617461475187,18326.919700115355,18804.193758429752,19253.280340939837,19991.703797437287
8,2_cars,14373.896238473031,15107.350273589194,15433.562154808777,15690.491272728266,16431.632517486774
8,3+_cars,5483.100462689229,6061.265673829722,6612.469997384372,7063.549064113117,7719.079082294319
5,no_car,10773.654896478221,10200.921286784434,10044.938000731874,9982.945126691211,9679.97681021513
5,1_car,23306.023868575165,24071.552303547902,24722.48670331656,25377.418645600286,26593.292647538914
5,2_cars,14919.55750934655,15801.464444771853,16272.414924491291,16703.367995464225,17896.237643860553
5,3+_cars,5498.839800879399,6109.3775073397965,6673.3219044897505,7161.273200214479,7919.1950725507295
3,no_car,6445.473094888891,6210.027079543188,6157.851229545153,6123.697433370354,5989.290738848756
3,1_car,19937.163936353685,20444.4056549872,20806.567089457374,21160.7522427911,21743.031845023852
3,2_cars,16582.982906209847,17312.821221494243,17634.054051657906,17900.255128707937,18699.777843819753
3,3+_cars,6008.977826614429,6493.693119465189,6998.976080661519,7426.192385830103,8031.561816582847
6,no_car,4011.22445401223,3792.054060875429,3715.6278450956343,3661.2016219159236,3515.6360634400485
6,1_car,13268.292026909605,13360.469028986121,13458.19026156729,13562.624606023202,13744.92768596775
6,2_cars,9958.812098177506,10312.051174336135,10443.76423174936,10553.90354929103,10979.345830037542
6,3+_cars,3893.389867098117,4189.189485777336,4475.2218635778945,4719.680515143131,5078.573486452856
4,no_car,8107.718213451161,7557.115647781119,7301.115576803039,7091.114715606918,6623.109871867058
4,1_car,17691.73955351601,17895.154906277927,18004.164756114093,18111.17353942261,18299.19061156819
4,2_cars,8567.262839289751,8954.071553382742,9120.076556741988,9264.080513038585,9761.090347414836
4,3+_cars,2472.640222928463,2782.0438848945005,3017.0495206795777,3200.055509807673,3480.0645219642347
1,no_car,723.0109759134181,721.7372726202468,728.731747864703,739.6603311101159,751.6500062242751
1,1_car,3144.445666635368,3222.4988079067784,3281.7879019065695,3342.0766798243585,3452.8257810543964
1,2_cars,3458.065856883876,3574.241929060549,3619.805373651591,3656.4724077103833,3790.1205555484353
1,3+_cars,1548.3742172729387,1659.9882455995705,1781.6814861543683,1889.5118316852659,2033.8621846837111
17,no_car,14028.400002810231,13094.00000265624,12809.000002603714,12629.00000257158,12069.000002470122
17,1_car,30454.400003557646,30983.000003708494,31495.000003817127,32041.000003926707,33167.00000415888
17,2_cars,15043.200000945484,15808.000001028951,16176.000001082924,16505.00000112587,17525.000001244036
17,3+_cars,5711.000000113696,6291.000000140149,6869.000000166333,7374.000000181706,8169.000000206826
15,no_car,7535.280374662456,7417.5544671591115,7465.6244035606505,7524.050984688018,7495.120898082125
15,1_car,17342.359654685803,18193.850780383138,18863.116681733532,19531.73922915188,20740.34792331652
15,2_cars,10309.033206412461,11097.12146572955,11529.750918542293,11916.597137272092,12909.709216586183
15,3+_cars,3765.075168362518,4202.154998443377,4653.420838890501,5047.903446170518,5611.4490306243715
16,no_car,7328.533900213652,7117.41560850871,7105.4156131437585,7098.622784149146,6958.31582302918
16,1_car,19098.644412290134,19846.88223166293,20421.938859694932,21002.4098051388,22011.216072728308
16,2_cars,12293.33772275051,12993.92435737938,13332.159869412208,13628.016842363313,14485.380556608072
16,3+_cars,4932.9674881134115,5400.9370978590405,5871.650965531821,6287.986288121863,6909.38568763924
11,no_car,1749.3912397927056,1716.4979222746406,1716.718845666795,1720.3423828439786,1703.3685399366477
11,1_car,5419.048899992195,5621.020914432341,5755.307191984886,5882.385627181022,6098.3346554608
11,2_cars,4813.4530296773655,4975.565463914504,5044.175916621072,5103.981138308614,5300.670024489486
11,3+_cars,2146.4489855385095,2291.4241903761567,2453.217694549851,2602.9981221932644,2837.2726819400746
14,no_car,607.3296316122696,599.3240463622482,604.9162233221692,609.7095205614037,612.6983447290029
14,1_car,2245.630364147953,2319.5867885336597,2382.949913445079,2440.514156622658,2533.257172414068
14,2_cars,2547.3074191896458,2636.9442987908756,2662.134250057857,2676.5309070720077,2743.698521999765
14,3+_cars,1314.3407139479273,1435.5809145113085,1545.5082795455676,1641.4468200147137,1772.3630180506977
13,no_car,871.6091173002957,878.8317829032462,894.5385788871948,913.8596310807936,935.6422916366668
13,1_car,3865.325864722632,4002.83669903185,4110.341463435083,4208.497322677736,4375.822375303483
13,2_cars,4454.820728945977,4615.2163903873625,4670.782934131275,4716.538932202911,4881.391270889884
13,3+_cars,2257.6628464569194,2427.069127949692,2609.148353614544,2781.789724949654,3048.6539347414746
12,no_car,4661.775477650185,4452.945891983609,4382.372111924706,4330.798339628205,4204.363892754578
12,1_car,14573.706503652078,14740.529572233736,14885.808376649162,15033.374053768199,15347.071006572896
12,2_cars,10065.986526520985,10344.947456143485,10417.234410269015,10463.095104044167,10766.65280517479
12,3+_cars,4570.2095844743835,4901.809948603505,5230.777552975553,5527.318886591578,5922.425895138435
28,no_car,11666.391552020756,11142.99199373345,10943.992185522447,10809.992312570339,10486.992587958111
28,1_car,22688.58302599365,23332.982592646673,23809.98227373084,24349.981906951223,25454.981162738528
28,2_cars,11552.990509583415,12237.989976329014,12617.989675412058,12983.989375170919,14017.98852248174
28,3+_cars,3595.3969554836776,3999.996627056793,4403.9963033437525,4741.996032081401,5193.995667896707
18,no_car,6057.119188068367,5926.445048418651,5947.37506121613,5979.948433211733,5919.878468624596
18,1_car,15309.437559846465,16056.14621456954,16633.88012781418,17216.257408073,18262.648452115987
18,2_cars,8520.565174588377,9217.87671138565,9616.247147456124,9970.40083561682,10856.288561078061
18,3+_cars,2765.923996814552,3105.8440380529582,3455.5780721283054,3758.0953521101474,4187.54957619344
19,no_car,843.6682926152612,842.5864900634858,855.5864671556012,869.3792901866491,893.6861927849579
19,1_car,3459.7619586861747,3576.124369399291,3680.067902425105,3784.597112918073,3951.7911401184474
19,2_cars,3623.2657269703745,3755.079337652077,3803.843959948631,3842.9871086166286,3992.623685568771
19,3+_cars,1993.8331021507677,2144.063594737162,2299.349830260375,2441.0145981193773,2648.6153257980327
20,no_car,3158.418308509066,3102.511678542773,3109.290861311132,3121.6674287703886,3101.641444189627
20,1_car,10201.391895463039,10592.021042731507,10850.73548681627,11093.657694326786,11491.70985379367
20,2_cars,9599.797763750144,9921.486024073132,10048.875275632834,10159.069634456897,10543.380915510388
20,3+_cars,4674.980118681744,4957.60657958949,5284.814863063906,5588.035862812818,6068.763026949763
27,no_car,10869.79895542969,10487.99891432729,10322.998892061696,10172.998861283859,9752.998801025034
27,1_car,29304.793398428672,30063.993179113346,30430.99309239271,30742.992990919967,31194.992829562118
27,2_cars,24737.790932052867,25578.99078449838,25834.9908448053,26025.990934829017,26912.99094230519
27,3+_cars,8962.595175133752,9699.994823651032,10431.994478595965,11037.99419136981,11915.993841382562
22,no_car,3937.1685937632665,3827.6029079808004,3795.657713929185,3777.0982569860817,3680.2865133417877
22,1_car,9056.828886682664,9456.296914741288,9734.152432912022,9980.909218910865,10376.095563682838
22,2_cars,6429.468572215549,6814.741231708327,7022.593155579579,7217.598654750908,7726.629727445176
22,3+_cars,2174.3424674561993,2387.020873704273,2602.6623548743987,2809.532360501373,3163.016478679149
29,no_car,8363.198578773301,8317.998582315202,8305.998567381559,8285.99855084619,8129.998534716358
29,1_car,22371.591894566754,23498.991625690345,24129.991510133004,24655.991400889645,25569.991262035284
29,2_cars,15985.993080028218,16954.99268382692,17352.992575433473,17682.992485649254,18520.992204084345
29,3+_cars,6383.396928640273,7087.996550724051,7722.996216300587,8292.995914057268,9022.995535361246
21,no_car,1613.7480537149133,1543.950295465607,1525.95078270561,1510.9511842892448,1471.9520152613063
21,1_car,5453.206368501546,5491.805527634332,5537.80415276204,5592.802347071213,5694.799192834247
21,2_cars,4804.820657220647,4910.817131022377,4926.816972481798,4933.817093981825,5042.813872719243
21,3+_cars,2392.7033789939555,2548.897384384264,2702.89146944999,2835.886420679004,3027.8790305030843
