District,Population,2019,2026,2031,2036,2046
10,under16,46021.67521346099,46348.06848280004,44075.22035252543,43635.25627435422,45486.15283634492
10,16-74,186843.24405076593,189835.49397177607,192798.38266056144,192841.37862013874,188715.50536450188
10,75+,15081.156200849819,17032.272044585312,18014.229223826605,19814.150448346332,24104.96445501504
10,HHs,104099.90123215996,107007.75859779168,109282.64659779094,111318.54735417671,114549.38948701748
10,jobs,134236.53090972226,139180.04767876398,141335.01772103395,142558.99986514062,143135.9918046114
10,workers,117965.49512836328,125682.63425461772,127802.48553197266,128359.4515794453,132504.25192419946
2,under16,25505.524618926167,25315.803646195523,24604.613487155868,24602.661068550602,25713.07212321018
2,16-74,94430.93518097217,95799.63504857222,97101.35916985088,97426.4308704469,96648.5725670249
2,75+,11506.309258676702,14397.253667267345,15627.757290200125,17088.696406408075,20404.50013691142
2,HHs,55532.08302353664,57824.21868822308,59586.33994136012,61248.97068350247,64310.060419367066
2,jobs,73507.98700900008,75556.76710739676,76726.8426996981,77389.93288549692,77704.06394436033
2,workers,66467.71285591288,69936.8712321888,71415.86793589994,71946.34201682458,74251.38774783853
9,under16,39129.10205662609,37649.40559107446,35780.03413492018,35564.1102290207,37087.607852939196
9,16-74,157456.4834924998,159440.44490104652,160906.11300333688,159674.5281898416,154804.69414178707
9,75+,13440.995394235131,15604.444058065617,16496.1414979505,18472.445026566544,22839.916507187994
9,HHs,89245.7297508232,90901.60722146138,92346.14429282198,93699.71435176827,96013.99579757164
9,jobs,129387.39703678926,133565.8108853841,135634.90525161746,136809.39240698103,137362.15252085205
9,workers,99359.16118849882,105381.4381906288,106361.16674964348,105960.29829067516,108689.439414807
7,under16,8183.865099523885,8225.021911614474,7962.557402549413,7898.527968305534,8208.812376696887
7,16-74,32749.10447561907,32805.74430982739,33293.83219447856,33417.94872352271,32817.121665055296
7,75+,5099.087067097198,6509.679178094128,6967.469301971048,7577.451645763301,9190.723597101683
7,HHs,19341.79823579552,20121.640293742716,20712.38694950137,21266.447062543135,22285.746258487914
7,jobs,22926.625533277012,23673.98973654556,24039.259063622896,24246.856654627456,24344.707531402073
7,workers,22256.401667950195,23326.894409519544,23774.193126273036,23902.54980028744,24549.56716477117
8,under16,20280.650959950028,19978.2658872198,18979.42085324087,18667.61787276328,19167.145820324113
8,16-74,76577.80813875158,77627.34206812292,78797.1867427253,78535.36996645166,76240.25540905911
8,75+,10783.551628479741,13450.5105501164,14596.316800592547,16106.003319756179,19650.255123094787
8,HHs,43982.632582399194,45834.38999657543,47199.45134999339,48360.99256314765,50329.84385571462
8,jobs,80450.33074696596,83504.66260266233,84798.11642610653,85535.39740356691,85880.82297947427
8,workers,50719.39196613898,53324.46037551623,54160.42355253025,54091.97626390924,55010.30090817808
5,under16,22437.00124056385,21887.858924328015,21157.92056025507,21032.926522868143,21941.826963922755
5,16-74,89830.04979610597,90898.74097226418,92076.61857984452,91897.63544779114,90078.807504326
5,75+,13892.702018666214,16253.272464068787,17336.165876707477,19301.955929832282,23737.486045981663
5,HHs,54498.07605470846,56186.31517343397,57712.16192876431,59226.005192462246,62088.702398577705
5,jobs,55192.89104595526,57016.281682362925,57900.192841768905,58401.14323144866,58636.118918493536
5,workers,57224.01388803769,60845.841522953684,62100.72047068874,62150.72317888812,64371.464805683456
3,under16,19627.191372415215,19515.847612687547,18793.20948613763,18602.13635424402,19179.658604995013
3,16-74,82429.01659639103,81998.34798111412,82463.70967191119,81771.3272505778,79016.23076403
3,75+,12746.39197980056,15764.54194109829,16760.86753897254,18254.582528524028,21878.12832500887
3,HHs,48970.391169668794,50461.94648552087,51598.43787701359,52607.89787214526,54462.67335968419
3,jobs,60539.99136686906,62314.62603694285,63280.53857060565,63827.05559022048,64085.297577512574
3,workers,55690.18751007471,57679.17791802263,58151.49491633737,57770.3976967833,58713.31221271287
6,under16,12937.644745133874,12241.830830434732,11583.503674112824,11367.635049304512,11539.22501778359
6,16-74,51099.96751734803,50039.54944190091,49499.36173715217,48528.28109837174,46173.75983715887
6,75+,6869.181250325285,8569.747152555816,9235.983737302506,9989.66280485715,11913.225145049435
6,HHs,31130.718446936844,31655.050622478037,32092.51732649239,32498.410289525396,33315.1961922891
6,jobs,33304.84843177249,34271.40857801938,34804.202747201576,35106.39075444728,35247.55445002647
6,workers,34278.8214475068,34879.96348472682,34607.234403786366,34010.915465966114,34034.92372473547
4,under16,15800.200880569331,14378.031430504123,13520.03753099062,13247.0411827637,13479.049102016725
4,16-74,60895.99814093547,60671.59748491167,60146.63027137619,58736.65167171203,55577.64392634462
4,75+,7625.00349486375,9578.23827264575,10368.244727822179,11505.260228024381,13854.309298824803
4,HHs,36837.76088829828,37187.386070382745,37443.4062293752,37664.424429037594,38164.45520327054
4,jobs,31430.923288829843,32476.78111922223,32978.80889083083,33264.82442424256,33398.83166224569
4,workers,40290.111657555906,41658.33849421505,41301.36126499077,40404.38063260398,40294.41004538962
1,under16,3480.6880954840603,3431.7794812008638,3315.219301568676,3297.4940508914938,3427.1315950047624
1,16-74,15563.173895107226,15471.152586131979,15559.77895914573,15455.20622837933,14963.520509848398
1,75+,2466.1711938700782,3214.6140719172477,3495.0302406760347,3852.777989508143,4651.522495733713
1,HHs,8874.896406859838,9178.466255453935,9411.006090665418,9626.720828295543,10028.458530109354
1,jobs,6320.541953592587,6552.589125777902,6654.555248437306,6711.969244988364,6738.693519438187
1,workers,10245.342838863391,10559.454310603698,10677.416744840531,10668.797878322242,10848.275467286623
17,under16,23070.400002502116,21242.000002294648,19480.000002093515,18687.000002000183,18800.000001995744
17,16-74,104879.80001111809,102860.00001073323,102806.00001059184,101631.00001036852,96882.00000989536
17,75+,18026.000001561864,22893.000001977103,25146.00000217621,27851.000002415127,34629.00000301781
17,HHs,65232.600007425426,66176.00000753434,67347.00000766967,68548.00000780796,70929.00000808033
17,jobs,67155.00001025142,69613.0000106346,70689.00001079947,71301.00001089253,71591.0000109362
17,workers,61401.600006687266,63029.00000684015,63077.000006832786,62176.000006668066,62956.000006677474
15,under16,14001.354969151718,13876.017814790153,13185.828783116383,12914.339176998943,13431.108489130007
15,16-74,61481.746884953885,62706.00159986004,64461.73600809066,65185.2883956663,64183.10627309207
15,75+,11484.519502636838,13910.862632408322,14892.114590401865,16369.205800148851,20469.276512031927
15,HHs,38953.30505153417,40916.038360278355,42512.91284290035,44023.29079646231,46754.62707067144
15,jobs,32382.872748720754,33493.41595812769,34012.60503413586,34306.59119477605,34445.2276272339
15,workers,37405.4760155984,39316.28333882914,40331.10864598799,40616.45827628563,41611.64016307
16,under16,15709.565743284227,15402.351792610525,14658.573906750207,14437.50985383211,14913.673872753412
16,16-74,67996.99961223383,68456.68655576599,69511.11452701713,69356.01493313085,67165.47425906424
16,75+,13099.338528474485,16038.164541165183,17335.791939684015,19213.268851418023,23814.10050340242
16,HHs,43652.69068065622,45358.95213784382,46732.37246557174,48016.03571965555,50363.50529759045
16,jobs,64267.193701703996,66510.11931740158,67537.51863453291,68122.88967262162,68394.98950391958
16,workers,42300.9760073064,43526.43950979179,43897.85415618952,43705.96163158311,44416.16732823
11,under16,6303.518124706343,6171.242318740053,5929.267142640396,5867.241002814805,6046.839729840669
11,16-74,23497.972053614918,23344.78963080932,23462.323014870286,23280.789694837644,22544.551737460148
11,75+,4305.644233937,5584.8258735845675,6058.931748820989,6664.116053190943,8027.160473931756
11,HHs,14127.061632177116,14605.50849080283,14969.419648565534,15311.10988380366,15940.645901162912
11,jobs,17292.71282775608,17903.603313876847,18179.9680513739,18337.05957201792,18410.90402481055
11,workers,15968.781684394895,16271.35747786424,16265.24120946003,16189.18892889549,16714.490923103338
14,under16,3060.4582448962315,3020.1956625369457,2874.8772317347252,2832.497346616079,2915.240369802513
14,16-74,11455.872185565539,11642.419540732086,11836.704382503216,11841.09538304702,11521.274114641452
14,75+,1706.6067132184673,2128.1564786612316,2308.6481072402876,2547.905096596551,3106.1732576236795
14,HHs,6714.448352195179,6991.436048403439,7195.508666355391,7368.0002869347045,7662.017057418656
14,jobs,9402.80972360189,9717.01529135296,9866.35046477807,9951.512462504064,9989.294580123156
14,workers,7553.62083548604,7987.2855044897915,8134.184885065945,8169.1680823657025,8323.268662571396
13,under16,5236.0913799693,5266.807271469048,5102.709117568077,5065.502372368013,5267.107974886104
13,16-74,20042.364642380093,20103.90481679309,20439.37161169895,20534.876840385154,20183.429982348054
13,75+,2776.5888700725213,3562.7003320937333,3822.1529441549105,4167.066290715547,5072.180612549302
13,HHs,11448.814259825756,11924.568266371554,12284.811329194845,12621.508261831483,13243.561058709052
13,jobs,16027.017911484692,16474.486089206024,16731.405189660123,16875.994844978468,16945.774824381413
13,workers,13828.862040592847,14377.943117712355,14596.457047388058,14696.43695822957,15330.885234036472
12,under16,10231.554103086704,9696.16819757857,9177.495417659396,9012.364069423007,9176.774127706974
12,16-74,50593.22631024974,49593.444863172495,49472.63291249275,48748.713882883254,46029.2356641591
12,75+,13800.017836951047,17019.251609692175,18210.014877396796,19569.335704904577,23101.773132329443
12,HHs,33872.278091273256,34439.94599455123,34914.479327581794,35354.586386125855,36240.80047335312
12,jobs,38561.144987646374,40032.58469271338,40654.790419329336,41005.602352188944,41172.43862834958
12,workers,30207.374105292893,30996.032291290772,30948.761625461426,30634.080798120303,30884.07270274654
28,under16,19340.981205480948,18500.98212088089,17433.98318494869,17096.983552628855,17646.98311860279
