District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,29057.573521643382,28234.238649113275,27865.275758305706,27422.30831528003,26090.396728503783
10,1_car,47142.79395332611,49540.64874653852,51321.53410173958,53128.42619046443,56660.2142365918
10,2_cars,21648.714621890304,23574.014584377375,25086.936632201447,26705.85290536009,30692.652692041225
10,3+_cars,6467.20874212465,7357.773898250927,8420.73452726397,9480.695163042821,11361.623924508393
2,no_car,6945.662668560224,6931.300249594404,6985.89211700537,7048.491554561699,7145.465831270283
2,1_car,22969.76120206111,24278.60490293575,25272.409240129073,26306.20763084476,28299.59172670515
2,2_cars,19184.081375071524,20549.025311169513,21578.960837235612,22647.079499464435,25254.852551061205
2,3+_cars,6600.076807319604,7276.000282397494,8083.498136790791,8863.17922399808,10229.438822349564
9,no_car,28434.966526052103,27440.133125266973,26937.31872530471,26395.50614662301,25015.915594942056
9,1_car,39495.21745193892,41098.84444283996,42368.5565236989,43758.246098295,46615.62486683373
9,2_cars,16712.13795588314,18033.03069909425,19155.61475894993,20386.176925288466,23509.11941952524
9,3+_cars,4707.9825687094635,5386.258824923091,6136.919046749847,6862.601011356716,8217.974048740734
7,no_car,2113.97489460222,2121.54814275708,2148.1286902806,2177.7092414538147,2230.4220132097153
7,1_car,7499.376592750861,7894.176788895692,8190.539575306875,8497.797471365693,9126.208240067212
7,2_cars,7048.020100448863,7501.821556210447,7816.809449036768,8138.350289563981,8942.520875362514
7,3+_cars,2736.2774203861113,2986.0648753354253,3287.508159381989,3585.398991523733,4083.674729507472
8,no_car,6363.705407694988,6383.681560017546,6441.908868400371,6463.978387359435,6415.921892499068
8,1_car,17631.869061642734,18663.79273372863,19453.071917080364,20235.68877269001,21730.456229512274
8,2_cars,14518.254303229636,15539.16848052577,16255.040430100864,16947.764560592903,18629.400435767013
8,3+_cars,5582.191690946672,6230.836568837965,6965.618347460305,7652.540881173455,8857.260293509802
5,no_car,10578.67650370642,10195.9225459271,10056.938663328798,9989.946372217117,9787.966741225488
5,1_car,23295.225532568704,24423.517453749908,25411.419305466803,26444.31482403924,28537.100637239673
5,2_cars,15115.7365067571,16227.42261174085,17104.331980584222,18025.234966346616,20341.986712848633
5,3+_cars,5603.229252552719,6238.36661873715,6941.298250211937,7623.231558031884,8834.115033844535
3,no_car,6335.521102228177,6221.950929359569,6196.764633653988,6189.578118462346,6165.172307428537
3,1_car,19866.947128633103,20723.542988049147,21364.852676058563,22016.1845768715,23317.845861324236
3,2_cars,16743.316733556487,17750.0410760777,18478.47200205221,19214.92547280613,21071.02112403045
3,3+_cars,6106.8359215556375,6623.769157250722,7281.115216301592,7902.439780890468,8959.078851240005
6,no_car,3944.2802334126313,3786.3409404803874,3718.2015974264236,3664.349126701913,3568.217923169917
6,1_car,13215.659311630698,13487.477101117403,13714.206402345071,13955.509442797378,14491.410497264871
6,2_cars,10058.07267135851,10532.354192490318,10874.083397079403,11231.525712963483,12221.582090666385
6,3+_cars,3951.7668406423027,4256.771335371016,4625.385555030502,4982.999782624538,5595.2120291165775
4,no_car,7952.915964489683,7515.115553374432,7250.115397481502,7017.114839796707,6595.110731199227
