District,Population,2019,2026,2031,2036,2046
10,under16,46174.66769662201,47772.98872344001,46933.05888814,47963.013086030005,52114.79451008999
10,16-74,187151.03158612008,192311.38633314997,197735.15936155006,200683.01478814005,204318.78056346
10,75+,15096.755192667992,17079.268841639998,18140.220636900012,20133.13275223,25161.908537480005
10,HHs,104316.49075000199,108714.67645638996,112696.47989600993,116729.28332320001,124808.88825995002
10,jobs,135038.120834072,140000.03667866002,144524.97277778987,148465.91703992998,155944.81294876998
10,workers,118434.07745707194,126410.59733252999,130568.36288964005,134097.19475671998,144497.70857673002
2,under16,25621.856740873987,26283.66369982001,26489.919219199994,27406.598969720002,29998.66924147999
2,16-74,94659.85914667399,97381.10575502002,100086.08817320004,102043.1087421,105359.48741015003
2,75+,11534.156626532002,14550.092589610009,15927.258043240003,17594.085930809997,21640.845943879995
2,HHs,55700.98963191402,59037.734737489984,61925.76285597999,64867.95459260999,70928.15741652998
2,jobs,73946.88601800002,75997.34712669002,78456.96982402999,80595.46537752,84654.95378087
2,workers,66767.22272477201,70703.27277424003,73610.01722735997,75831.10812764002,81743.35594392002
9,under16,39227.47022917401,38641.075874810005,37845.35252823001,38757.05491461002,42027.98698125001
9,16-74,157568.65924447993,160822.12919429006,163889.33851386997,164671.11129604993,165465.57108837995
9,75+,13446.395734758007,15601.456864830001,16545.145294810005,18674.407436699996,23700.670203429996
9,HHs,89351.29191506398,91956.26765521,94599.42050245,97403.53092515,103359.63440075003
9,jobs,130158.05759749601,134350.46287050995,138694.57522288998,142472.92768467,149653.80709912992
9,workers,99645.29135476393,105512.42141785997,107940.69256569992,109708.09800208002,117056.77172120004
7,under16,8222.551783127998,8534.410583909998,8566.99157966,8791.55988467,9564.426835499997
7,16-74,32822.34086982201,33260.195971949994,34153.704829739996,34758.72018089,35412.76397185001
7,75+,5109.4929719560005,6563.2611442100015,7070.633391970002,7760.988685870001,9668.85642751
7,HHs,19397.7597471,20499.611729009997,21442.53847239,22398.808506529997,24381.826167459996
7,jobs,23063.327369812,23812.87069761999,24581.544001919996,25249.814093709996,26518.637566629994
7,workers,22353.387016172,23515.435484160003,24376.495875669993,25031.12304546,26793.844269150002
