District,Population,2019,2026,2031,2036,2046
10,under16,152.9922814080055,1424.9200370300023,2857.8383403700063,4327.756617489991,6628.641470299983
10,16-74,307.7865317581163,2475.891344219941,4936.775668110058,7841.635133940057,15603.274186839903
10,75+,15.598900403994776,46.99668950000341,125.99129846000505,318.9821781999999,1056.9439303100007
10,HHs,216.58895835001022,1706.9172819100204,3413.832708139962,5410.735366800014,10259.498150420055
10,jobs,801.5890884899418,819.9881339699205,3189.9541774299287,5906.91628785996,12808.820253619982
10,workers,468.581655011978,727.9623706900602,2765.876640950126,5737.742458740002,11993.45591332001
2,under16,116.33180023198656,967.8597342399989,1885.305422699992,2803.937592689992,4285.59679675999
2,16-74,228.92281788603577,1581.4695428399864,2984.7278239700245,4616.67668920006,8710.91367342003
2,75+,27.84723258000122,152.83875202000308,299.50056802999825,505.38932156999726,1236.3455630799945
2,HHs,168.90594865202002,1213.5153620100027,2339.4222063999696,3618.9831814500067,6618.096234089993
2,jobs,438.8981493240135,440.5791337799892,1730.1262250899745,3205.5315849899926,6950.888925719992
2,workers,299.5090603380231,766.4006916800136,2194.148423829989,3884.765237029991,7491.967296680043
9,under16,98.36798199599434,991.6701006300136,2065.3182195099944,3192.9445130200183,4940.378948580008
9,16-74,112.17487959595746,1381.6834111100761,2983.2246159198985,4996.582217249903,10660.876095109998
9,75+,5.400277536011345,-2.9872664800077473,49.003719289998116,201.9623231599944,860.7535884399913
9,HHs,105.56169197398413,1054.6599527500366,2253.275720969992,3703.8160776099976,7345.638095120012
9,jobs,770.6595463200065,784.6509378599294,3059.668907780084,5663.534204990021,12291.653501249908
9,workers,286.1297227378964,130.98274243997002,1579.5253200699226,3747.7992152299994,8367.331795790087
7,under16,38.68661470799543,309.3886033300005,604.434110879999,893.0318506799995,1355.614390509998
7,16-74,73.23612673200842,454.4513919599922,859.8723606299973,1340.7711820600016,2595.6420367699975
7,75+,10.405862568001794,53.58191395000085,103.16403421000268,183.53697937999914,478.13275735999923
