District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,30247.302933904008,28681.206547390007,28409.241659999992,28220.25767919,26732.341127019998
10,1_car,46917.82393218402,48462.71992368998,49104.66604196003,49607.633218330004,50235.591070069975
10,2_cars,20801.55646010601,22291.07494324,22616.051876989994,22746.03971433999,23406.00086531999
10,3+_cars,6072.421348016001,6942.7872952200005,7646.7611416699965,8204.740463830007,8805.71988353
2,no_car,7200.310044139999,6970.93745505,6976.910521169994,7016.7140659599945,6949.244502710002
2,1_car,23117.026587833996,23762.590655890013,24163.752281579997,24552.69330842999,25033.23639255999
2,2_cars,18802.608147368002,19614.076168459993,19760.06825633,19792.80439213999,20172.004346290007
2,3+_cars,6358.634178953999,6977.205759789998,7518.507917339997,7951.33148371,8341.72789208
9,no_car,29572.82744589399,27992.92580063,27644.034760660008,27375.101217049996,25858.41203097001
9,1_car,39235.988410944,40354.99566141001,40799.91229206,41194.81805514001,41845.76816321999
9,2_cars,16003.809980167998,17080.404805260005,17331.341488839993,17433.32058945,18025.182794090004
9,3+_cars,4405.11046468,5085.397408149999,5597.174233069999,5987.015598200002,6456.84639565
7,no_car,2179.790826884,2127.65428074,2138.44419549,2157.2346941399996,2149.4705809499997
7,1_car,7555.461380248002,7749.21833854,7872.27980653,7987.44547627,8149.298080289999
7,2_cars,6941.468018260002,7210.148811010002,7248.911888579998,7248.436147790001,7360.229677270001
7,3+_cars,2648.0243799520003,2878.424731259999,3086.675595910001,3258.2400159599993,3402.566503829999
8,no_car,6602.330385058001,6410.9360001700015,6435.914717529998,6451.9723477200005,6254.509476160002
8,1_car,17727.615941123993,18237.651907259988,18531.072543170005,18784.26060636,19057.41269461
8,2_cars,14249.537712974,14855.332136360004,14914.268528300001,14868.654491169993,14991.465667060005
8,3+_cars,5369.790914048,5927.013758400002,6377.798022579998,6707.436189169999,6965.863234299998
5,no_car,11026.826687626,10374.902536289997,10245.916297650001,10245.915211590001,9983.94367484
5,1_car,23335.420553556,23954.562484930004,24414.516107659994,24840.472009700003,25503.401313540006
5,2_cars,14732.97822324,15498.495690419999,15687.475041840004,15762.464173420005,16197.412866349998
5,3+_cars,5372.25351736,5988.389810619999,6467.341104470001,6849.301554639999,7269.253201739998
3,no_car,6584.26542179,6286.159726069998,6247.048986110001,6231.982769379998,6069.675310540002
3,1_car,20036.175752100004,20399.3809671,20608.47502394,20790.57896525001,20939.64577659
