District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,667.1607858300158,462.969302350004,632.9636173099898,876.9489258799913,964.9349152000068
10,1_car,-104.38523811596679,-325.9728451800256,-717.9525004799725,-1192.925094279999,-2234.857762620006
10,2_cars,-415.7791193819794,-561.97273365,-1061.948965710013,-1674.9196256900104,-2980.8556056899943
10,3+_cars,-203.39316679199965,-202.99257427000157,-351.9885142200019,-545.9811962899948,-1121.9585974799975
2,no_car,149.48152777799896,75.4440449499998,75.84520913999404,90.84562834999542,65.4495912900029
2,1_car,101.54196091199265,-92.05868883998846,-302.9466745099926,-538.2221973700034,-1095.476765420015
2,2_cars,-171.54040752600122,-349.7107708099902,-714.4507766900133,-1142.4069614900072,-2011.8945551299985
2,3+_cars,-129.06649227000344,-131.2737640300029,-221.74452909000047,-341.65160164999816,-763.9296411399991
9,no_car,616.6110249239937,470.86908078001215,655.8030906900094,905.7153564299952,1005.6169708900161
9,1_car,-139.8111178199979,-255.97765119000542,-555.9130494200072,-932.8374943300005,-1727.633178420001
9,2_cars,-348.4574658540023,-443.839306439997,-815.6786947300025,-1293.5076674200027,-2311.1441692399967
9,3+_cars,-154.72976485800154,-159.9359970200003,-258.88263630000165,-388.8295812999959,-798.6377187799999
7,no_car,38.87687398800017,20.00140138000006,17.554163920000065,17.10714889999963,3.3168573399998422
7,1_car,36.67966045800222,-22.79225481999947,-82.3753991500007,-156.30173550000018,-329.94579978000274
7,2_cars,-44.670374549998996,-104.92632667999987,-217.7479051700011,-354.4649701199987,-625.7949174599999
7,3+_cars,-48.160842647998834,-46.477015090000805,-81.50638780999998,-122.43134727000097,-272.75774194000087
8,no_car,137.47342241400202,73.07814291000159,82.68545394000103,102.50129048000053,68.07768005000071
8,1_car,66.99849418199665,-89.26777753000715,-273.1211996799939,-469.01971890001005,-934.2910867899991
8,2_cars,-124.35852783599694,-252.0181394800038,-519.2936285999986,-821.8367835500067,-1440.1668518999904
8,3+_cars,-113.30955356399772,-134.25192066,-234.67198037000344,-356.11288077000427,-753.2158544400063
5,no_car,253.1718001260051,173.98125788999278,200.97830504000194,262.9700928999973,303.9668723600007
5,1_car,29.39670911999201,-116.98979396000504,-307.9705703100153,-536.9466098599987,-1089.891306779995
5,2_cars,-186.5792687279918,-302.96873592000156,-584.9398636199967,-940.9038024699985,-1698.8247565200036
5,3+_cars,-126.58627727399926,-120.98768962000031,-205.9807922300006,-311.97163717999865,-649.9418614700026
3,no_car,138.79230165600165,76.13262220999604,89.19773237999834,108.2853118799967,80.38454795000052
3,1_car,99.01172938200398,-45.02477631000511,-198.09215555000264,-370.1733692199887,-803.3861627299993
3,2_cars,-143.54701995600408,-277.1659578399958,-560.330459089997,-904.5056101100163,-1587.8796852300002
3,3+_cars,-121.27096143000108,-115.06432559999939,-195.11880659000417,-298.1709862500029,-627.36707243
6,no_car,86.74420997399966,52.9999766499991,66.99997212000017,84.71308593000094,74.56559242000003
6,1_car,66.77695816800042,-1.1950001862714998e-05,-70.14748184999553,-146.00807126000473,-360.8848580099966
6,2_cars,-90.94419992999974,-155.00804519999656,-306.8767188699985,-494.0322505000022,-883.6301773999985
6,3+_cars,-74.74908826199999,-68.72122005000165,-113.44245302000036,-167.4505604699989,-360.9011021999986
4,no_car,197.40209650800261,143.00165282000034,185.00256658999933,245.00403457000084,288.0039935199984
4,1_car,9.599302493992582,-49.00239261000024,-145.00519374000942,-266.00796759999866,-560.0141549999935
4,2_cars,-146.4006767280007,-196.00206198000706,-361.00393677000284,-569.0062697900012,-1000.0113791499989
4,3+_cars,-75.00099804000001,-71.00146449000113,-109.00297124000053,-160.00477063999915,-319.00901768999984
1,no_car,11.820199463999984,3.935785529999862,1.9361041799999157,-0.06222099000024173,-8.025672549999854
1,1_car,20.81298979199937,-4.93339252999931,-26.660780080000222,-48.354243590000806,-119.63987261000011
1,2_cars,-15.439303296000162,-42.55706432000079,-92.04334551000011,-149.4629103100001,-265.2687251500015
1,3+_cars,-24.911252334000437,-26.724972490000027,-48.482733670000016,-75.20612738000023,-156.20445802000017
17,no_car,315.0000019559957,211.00000134000402,280.0000017000093,387.00000242000533,468.0000029699986
17,1_car,16.7999996940016,-142.00000098001692,-345.0000022500026,-590.0000037700156,-1211.000007370014
17,2_cars,-218.40000117000454,-308.0000015600017,-596.0000029600033,-945.0000047100039,-1691.0000084999974
17,3+_cars,-143.40000064200012,-136.0000006199998,-252.0000011000002,-399.00000164999983,-794.0000032600019
15,no_car,165.1678811640004,85.4266036200006,94.42660608999904,125.139904749999,106.42662215000018
15,1_car,37.36783496999851,-113.42660596999849,-304.99308702000417,-506.5595703399995,-964.1191282899963
15,2_cars,-133.58184996000273,-225.34969960000126,-447.05604212000253,-718.1190324300005,-1316.028245409998
15,3+_cars,-91.58184297600019,-88.85317037999903,-160.70634211000015,-252.91615515000103,-519.1889553500005
16,no_car,161.0655607559993,97.92844689000049,118.1356062599998,162.51414107000073,150.3069754199987
16,1_car,45.10284816600324,-95.92845343000226,-257.6497726400048,-446.5424707500024,-888.6706369999993
16,2_cars,-132.41133169200293,-227.27124573000037,-454.54249565999817,-725.1922914399984,-1306.0775754200004
16,3+_cars,-103.85990979600047,-109.13561432000006,-193.89269605999925,-303.0283152100001,-620.642322130001
11,no_car,34.68313143000046,23.999993559999893,19.79214944000023,25.58430184000008,13.765997369999923
11,1_car,18.740395883999554,-29.013069499998892,-70.84444555999926,-122.27320381000027,-262.16994156000055
11,2_cars,-30.35842495199904,-66.03921696999987,-141.09150916999988,-228.35164454999995,-398.8719169300002
11,3+_cars,-36.15608381400034,-37.44183888999987,-63.675833409999996,-101.9229025200002,-216.66410832999964
14,no_car,11.517319355999916,5.000000239999963,3.4022357000001193,4.603351259999954,-3.9888246499999696
14,1_car,10.555311756000265,-9.793293220000123,-34.178766070000165,-57.56423864999988,-117.92736595000042
14,2_cars,-8.40000400200006,-29.385479060000307,-65.56425242000023,-105.54191002000016,-184.29610710000043
14,3+_cars,-19.54860454200025,-25.983236900000065,-44.77094530999989,-72.55306427000028,-150.30166352999981
13,no_car,12.394286957999839,5.621537630000034,0.01803144000029988,-4.888971459999993,-18.86609670000007
