District,CarOwnership,2019,2026,2031,2036,2046
10,no_car,30247.302813489237,28681.206432414165,28409.24154525324,28220.257564727024,26732.3410181325
10,1_car,46917.82367818192,48462.7196636771,49104.665779353774,49607.63295329074,50235.59080227272
10,2_cars,20801.556322397166,22291.074797754485,22616.05173008421,22746.039567105283,23406.000714560814
10,3+_cars,6072.421300970952,6942.787242708589,7646.761084659524,8204.74040325326,8805.719819227352
2,no_car,7200.30997132155,6970.937384021577,6976.910449952335,7016.713994229045,6949.244431433501
2,1_car,23117.02633349396,23762.590394928033,24163.752016334074,24552.693039018493,25033.23611840919
2,2_cars,18802.607905069748,19614.07591687958,19760.068003411256,19792.804139291107,20172.004089771446
2,3+_cars,6358.634089310581,6977.2056620925805,7518.507812456034,7951.331373227508,8341.727776651673
9,no_car,29572.82720058648,27992.925565060123,27644.034526704152,27375.1009846182,25858.411811576214
9,1_car,39235.98823751223,40354.995478556084,40799.91210606567,41194.81786636646,41845.76796602245
9,2_cars,16003.809936937403,17080.404757321394,17331.34143966469,17433.32053965275,18025.18274080227
9,3+_cars,4405.1104545486305,5085.397395492899,5597.174218673137,5987.015582414767,6456.846377786658
7,no_car,2179.790795971086,2127.6542512960814,2138.444166316762,2157.234665066276,2149.470552758238
7,1_car,7555.4613098134405,7749.218266065956,7872.2797328139595,7987.445401479183,8149.298004187693
7,2_cars,6941.467970799016,7210.148761124335,7248.911838329378,7248.436097489679,7360.229626123492
7,3+_cars,2648.0243639795935,2878.4247135422343,3086.675576754538,3258.2399956403437,3402.566482447487
8,no_car,6602.330397267401,6410.9360118338445,6435.914728965253,6451.9723589163395,6254.5094864121465
8,1_car,17727.615955508536,18237.65192230195,18531.07255822944,18784.260621410678,19057.412709581644
8,2_cars,14249.53771046119,14855.332133966538,14914.268525930042,14868.65448872659,14991.46566482928
8,3+_cars,5369.79090909693,5927.0137532739245,6377.7980171956915,6707.436183540239,6965.863228214561
5,no_car,11026.826696867713,10374.902544865314,10245.916306070805,10245.915219926505,9983.943683014411
5,1_car,23335.420577791698,23954.562509518673,24414.516132733046,24840.472035281073,25503.401339798143
5,2_cars,14732.978240383407,15498.49570849352,15687.475060182598,15762.464191888785,16197.412885387672
5,3+_cars,5372.2535234363295,5988.389817535941,6467.341111960813,6849.301562622738,7269.25321029602
3,no_car,6584.2653959827585,6286.159701435763,6247.04896154261,6231.982744758983,6069.675286394719
3,1_car,20036.175665160663,20399.38087879532,20608.474934680475,20790.5788750224,20939.64568550287
3,2_cars,16439.43588690593,17035.65526493964,17073.723595209027,16995.749522853883,17111.898166034574
3,3+_cars,5887.706865798931,6378.628794424359,6803.857275042232,7128.02140109278,7404.1947473082355
6,no_car,4097.968664003731,3845.0540375029655,3782.6278172379184,3745.9147078793026,3590.2016558273376
6,1_car,13335.068984979067,13360.4690169762,13388.04277959877,13416.616534535551,13384.042827635796
