District,Population,2019,2026,2031,2036,2041
10,under16,45925.68084234601,45118.142973969996,41222.39264966,39072.53182392002,39290.517426390026
10,16-74,186762.249365494,189361.52100717011,191828.44375381997,191319.47586099006,187124.62987782006
10,75+,15055.357406968003,16919.27769547,17785.24031905,19339.17440073,21469.083814109992
10,HHs,104040.50401950607,106374.79043876006,107773.72245542998,108774.67291428006,109085.6581708799
10,jobs,131815.56545371396,137867.06662369004,139341.04658259,139702.04070959,138533.05671772
10,workers,116061.18282675004,124365.71260176011,125756.57625269998,125470.58754008001,126515.53592735
2,under16,25449.456283322008,24607.433036820017,22947.378078460013,21935.736710620014,21961.51094046999
2,16-74,94362.392776052,95328.00531932,96118.06753012,95940.26131363004,94518.91970166004
2,75+,11484.456198272004,14271.192679089998,15383.44098141,16608.043442809994,17987.23595351
2,HHs,55481.18806109202,57320.99735297,58420.23676905,59311.55195933002,59931.89476751999
2,jobs,72185.64257488801,74843.86675074,75640.39716254002,75838.87598346004,75204.62144480998
2,workers,65534.726817117975,69109.54696053998,70144.54081823002,70149.26091151999,70600.31146216004
9,under16,39062.52140447,36711.71601285,33594.76174472,32032.28742421,32286.200654610024
9,16-74,157433.09061200003,159306.5294454499,160585.31254076998,159119.86498689998,155052.8719026699
9,75+,13423.001705064,15519.4752848,16329.193312359997,18097.570036800007,20290.786188929993
9,HHs,89218.136378418,90512.72367694996,91372.45167610003,91987.26640561008,92152.22177439003
9,jobs,127058.61285229,132306.35761529996,133716.74646788006,134064.59379610003,132944.08473458
9,workers,97817.66368669402,104465.77066136005,105115.61556727998,104296.89927758006,104866.68744615003
7,under16,8165.7218124,7996.9016497799985,7432.49601034,7051.0771955300015,7032.18210032
7,16-74,32728.292769734002,32683.13126435001,33033.15838118,33012.871374860006,32367.172967050006
7,75+,5090.149797501999,6461.097310170001,6873.200891080002,7387.46723554,8116.505821589999
7,HHs,19325.123779320005,19965.893722070003,20347.31148677,20652.35625338,20864.68455796
7,jobs,22514.120423932,23451.04918066,23698.676538940003,23761.94520642001,23562.24344789
7,workers,21934.765853095996,23081.117608430002,23403.907505419997,23420.335313099993,23487.157933680002
8,under16,20239.035333917993,19401.62643155001,17668.01839499,16612.984402770002,16478.120416529993
8,16-74,76535.59423157602,77242.84452300998,77966.77771211002,77269.41502045999,75114.81846656
8,75+,10764.073407636002,13325.28808289,14341.643025419993,15618.848545100003,17186.18611878001
8,HHs,43948.95477139002,45429.903003489984,46261.089362479994,46814.35415800999,47045.00584251
8,jobs,78996.31523223598,82714.95271769004,83598.51818639999,83817.66092721002,83119.00336006
8,workers,49920.33485896202,52647.813410409995,53095.363267310015,52622.09480364001,52378.27383708001
5,under16,22394.405480010006,21299.91563907,19778.05494569999,18810.144431850007,18851.13544938
5,16-74,89804.25148615599,90620.76549037,91448.67460960001,90924.72170283001,89072.89987909001
5,75+,13870.504196760001,16134.28428098,17098.189044009996,18817.00358337,20831.78799616
5,HHs,54468.079022432,55816.35026853999,56815.248365949985,57700.15355481998,58361.07813717
5,jobs,54199.39045534401,56480.33598857001,57079.27514403001,57230.25983235001,56752.30842732001
5,workers,56355.901610529996,60216.899435220024,61203.80136343,60987.82168075002,61508.74777302999
3,under16,19592.371106228,18997.528363539997,17573.46223322,16657.92767773,16597.016550920005
3,16-74,82406.20869447204,81707.25639101001,81796.49694537002,80735.97048060998,78463.98909814995
3,75+,12726.585710872001,15636.510366990002,16501.816114369998,17753.456717469995,19300.24990062
3,HHs,48946.38388671801,50103.824011000004,50733.11600815999,51147.32211202001,51323.385806880004
3,jobs,59449.96969722199,61727.076714660005,62385.69265345998,62547.84604981002,62026.351498909986
3,workers,54922.275045844006,57126.83209093002,57256.02141598,56567.77117665999,56444.00485545999
6,under16,12918.100517506004,11941.380359779996,10887.881514309998,10263.267454359999,10180.83313571
6,16-74,51094.39540664,49952.82823695,49282.77183503,48196.53560654,46522.087078090015
6,75+,6856.236998707999,8485.739060529997,9062.68068903,9659.05670697,10448.178281369997
6,HHs,31119.574215382003,31482.321341559997,31675.337529520002,31775.63250995,31763.34566166
6,jobs,32705.016588458006,33950.35987047,34311.84285424,34402.28532005,34115.671057160005
6,workers,33799.63844369801,34626.94736104,34226.77582435,33505.72756188,33243.703372020005
4,under16,15773.800842038001,14034.029401949998,12724.032526170002,11982.03305043,11903.034040719998
4,16-74,60888.19785277999,60604.595094610006,59973.62485409,58447.64290033,56234.63139888
4,75+,7613.0032569840005,9519.236811269999,10246.24203841,11244.25514493,12331.27668615
4,HHs,36823.960539062,37018.38194873,37013.39702277999,36919.40912702,36717.41769491001
4,jobs,30863.892233848,32169.764226890005,32512.783117779996,32596.78790799001,32323.77292567999
4,workers,39685.307374476,41288.335963469995,40889.35443489,39864.36856665001,39430.37901667999
1,under16,3472.3911208679997,3333.9102259300003,3087.8227236599996,2934.6374925500004,2927.7444302399995
1,16-74,15552.478089888,15413.736083959999,15438.979025989996,15268.057925760002,14856.496536080003
1,75+,2462.012499636,3188.8542647899994,3444.5458774100002,3752.8091202800006,4098.69829661
1,HHs,8867.179301760001,9108.2216677,9247.720855170002,9354.600852819998,9415.961471850002
1,jobs,6206.478926073998,6491.20942958,6560.5203867400005,6577.34812535,6521.89946165
1,workers,10089.913940144,10455.616689080003,10511.271498080003,10431.24158833,10398.78708743
17,under16,23032.000132329984,20694.00011885001,18237.00010472,16753.00009615999,16404.000094180003
17,16-74,104858.8005277761,102589.00051122005,102151.00050393,100581.00049260996,97062.00047566004
17,75+,17999.600058586006,22723.000074170002,24791.000081200007,27133.000089130004,30358.00009982001
17,HHs,65207.40031170605,65800.0003147,66440.00031789002,67004.00032071004,67343.00032240996
17,jobs,65946.00039208,68955.00041031001,69692.00041472002,69877.00041583,69290.00041235001
17,workers,60494.400322391964,62668.00033228996,62449.000329880015,61248.000321229985,60808.00031758002
15,under16,13973.113007676002,13466.03170101,12243.646728709999,11432.961183520001,11376.17793572
15,16-74,61458.304935854,62382.51204278,63732.26035528,64066.826652059994,62839.364793889996
15,75+,11464.891528998,13782.652813969999,14623.694950820001,15858.72316935,17707.44379405
15,HHs,38931.063095535996,40568.47884792001,41692.94063533,42667.479306990004,43405.311630840006
15,jobs,31799.529818228002,33177.003233519994,33532.48593184,33619.3391215,33338.35296224
15,workers,36697.626892019995,38899.793745150004,39628.05953677,39592.13638391,39692.91954703
16,under16,15676.462953666,14963.18788963,13649.524743789998,12848.575423200002,12778.025524339999
16,16-74,67963.29696185199,68181.24409087,68911.85086169999,68447.13722043,66499.41755717
16,75+,13075.711435371999,15905.443268919998,17063.349361700002,18682.17650024,20829.474565229997
16,HHs,43621.987968706,45025.54539354,45942.423233179994,46702.78691434999,47217.29366787
16,jobs,63106.169055514,65882.37004865,66582.29100359001,66756.42660961,66198.84841483
16,workers,41633.45959115,43137.72579832999,43286.48309262,42830.0763333,42726.825958630005
11,under16,6288.9855764799995,6003.69589848,5542.52462041,5252.09453485,5232.28930717
11,16-74,23481.99793183,23255.30856728,23271.75043022,22991.320356679997,22370.771276389998
11,75+,4297.719530798,5543.99450104,5977.8663852,6501.79055517,7098.14348054
11,HHs,14114.812217003999,14494.014357559998,14714.600006530001,14881.743818530002,14978.22487433
11,jobs,16980.407684438003,17732.90132467,17923.21376348,17970.642527180004,17819.95362144
11,workers,15701.787930526001,16061.992752870001,16105.499983439997,15952.577099909999,16070.0973483
14,under16,3053.9822678840005,2932.8492931200003,2674.00013411,2516.4917550500004,2497.30181427
14,16-74,11449.396214311999,11581.458659990001,11701.190439089998,11630.631729919998,11335.207128279999
14,75+,1703.848051964,2109.16764949,2270.8715675600006,2473.15090334,2723.6034134200004
14,HHs,6709.65170612,6930.274041429999,7054.396941090001,7137.1455452499995,7172.12320349
14,jobs,9233.562819548,9625.255526339999,9727.2108181,9752.199641270001,9671.434289890001
14,workers,7433.09793051,7882.95590758,7992.67093476,7963.095475710001,7935.514491860001
13,under16,5224.125803668,5120.29477538,4761.42531399,4522.09606956,4511.9639992699995
13,16-74,20028.605481566003,20021.30325059,20269.07690526,20269.66893128,19879.576665269997
13,75+,2771.140337648,3534.1757029499995,3765.59409405,4055.44745673,4458.00643684
13,HHs,11438.672936250001,11828.56111838,12060.78433848,12246.96650422,12376.60057148
13,jobs,15738.51611449,16319.775059200001,16494.854805610004,16537.570866489998,16399.23943242
13,workers,13603.288124398003,14207.42384686,14437.394204949996,14455.86893335,14640.81103376
12,under16,10213.89838232,9446.61873274,8600.117661660002,8092.73177122,8015.166108409999
12,16-74,50586.19855513799,49491.16619031999,49220.22292561,48345.45946437,46446.908303950004
12,75+,13778.162087432,16909.25971187,17993.317952410005,19132.94185545,20690.82019665
12,HHs,33860.022402270006,34256.67536159,34461.65921976,34571.364281250004,34558.65116725999
12,jobs,37865.576975476004,39655.63348991,40080.15043462999,40184.70795167,39848.3222706
12,workers,29780.557248180008,30827.04850562,30657.22028813,30216.26879228,30038.293076300004
28,under16,19304.981240962,18040.98255122,16366.98417933,15390.985140140001,15321.985220589999
28,16-74,77206.935618722,77953.93500036,78914.93449021,78831.93475723,77342.93595459999
28,75+,11721.593055456002,13720.99184153,14515.99131835,15707.990553610001,17508.989430999998
28,HHs,49480.162070312006,50482.961360299996,51206.96084506,51882.9603485,52447.9599231
28,jobs,58526.954071798,61206.95271496,61860.952207559996,62021.95208874001,61503.95248624
28,workers,49312.557359972,51626.95548042,52250.95500872,52019.95525131,51857.95547154
18,under16,11711.285972334,11279.96717848,10251.352270480002,9569.037926750001,9518.82118056
18,16-74,49085.287350465995,49967.4799168,51127.73118933,51458.16466426999,50541.6266199
18,75+,10159.506021961999,12189.344200160001,12920.30190816,14000.27344492,15623.552420609998
18,HHs,32632.931247837998,34013.51499257,34961.05286108999,35782.51390012001,36403.68136426
18,jobs,26493.070947299995,27620.99755526,27915.51486633,27988.661683860002,27755.647837490003
18,workers,28633.969119846,30465.201787640002,31026.93583966,31060.85901134,31194.075725950002
19,under16,4364.341019930001,4164.8159253700005,3802.4787888600003,3581.4278936600003,3563.9777771199997
19,16-74,16206.521833227998,16298.77490843,16398.16852785,16254.882256610003,15849.601536330003
19,75+,2568.693522496,3143.56269467,3386.65691626,3719.83024413,4154.53279836
19,HHs,9913.424746828,10240.46771093,10453.590114650002,10630.226628549999,10750.72000621
19,jobs,9482.439351590001,9873.63882695,9979.71796654,10005.58238214,9923.16050147
19,workers,10335.152172370003,10701.286725550002,10753.52969096,10703.936433359999,10717.186955649999
20,under16,12394.276230498,11844.362238949998,10941.52819604,10374.954569699998,10339.759020679998
20,16-74,47206.23223352,46733.922671600005,46718.48122873,46133.908285440004,44902.44970593999
20,75+,6364.51984986,8274.05228647,8953.18249052,9762.26096326,10670.911884769997
20,HHs,27608.717956208,28356.118384,28786.53363826,29117.389939680004,29308.908347669996
20,jobs,32950.529316624,34373.243366049996,34738.932502439995,34829.504122230006,34538.19180001
20,workers,32729.167088356,33409.1684127,33485.66276106,33091.58447743,33319.06333945
27,under16,35529.991040969995,33219.99151555,29999.99231448,28104.992733569998,27858.992757450003
27,16-74,127227.363079646,127398.96228208001,127430.96165152002,125359.96205914998,121276.96327581
