District,Population,2019,2026,2031,2036,2046
10,under16,-95.99457286799588,-1229.92571244001,-2852.827898109994,-4562.724644619993,-5262.696931540013
10,16-74,-80.99568886795896,-473.9739817599184,-969.9399396200315,-1521.9037932099309,-6387.691605240048
10,75+,-25.798885295993387,-112.994456669996,-228.98901939000643,-474.9761733000014,-1428.9334621699854
10,HHs,-59.397772145908675,-632.9687357198854,-1508.9247324399912,-2543.8750421199366,-5368.7372732099175
10,jobs,-2420.966291868099,-1312.981921000057,-1993.9720177699346,-2856.96004248003,-7045.902005829936
10,workers,-1904.3129753099201,-1316.922360079814,-2045.9099959899468,-2888.864757899966,-6870.678412940048
2,under16,-56.06865731999278,-708.3709287599922,-1657.2357180399886,-2666.9246664099956,-3274.1549720300063
2,16-74,-68.54355273595138,-471.6308928600338,-983.2928191100218,-1486.1707392699027,-3903.023024289985
2,75+,-21.853195679996134,-126.06115850000788,-244.31649380000454,-480.6531664300055,-1453.0053714399946
2,HHs,-50.89562216997729,-503.2220225099809,-1166.1038805300195,-1937.4194518299628,-3811.8482764499786
2,jobs,-1322.345293787992,-712.9012421700318,-1086.4464364000014,-1551.057809069971,-3825.993546829981
2,workers,-932.9868473160168,-827.3251220200327,-1271.3279852999694,-1797.0819790900423,-4366.753062409989
9,under16,-66.58084270801919,-937.689761329988,-2185.2725640000135,-3531.8229773799976,-4031.66419743
9,16-74,-23.393752883945126,-133.91633773007197,-320.80135718008387,-554.6640919000492,-3943.8065069299482
9,75+,-17.993752157995914,-84.968846510008,-166.94826316000945,-374.87507673999426,-1280.5830182500104
9,HHs,-27.593844671995612,-388.88402551000763,-973.6931053799781,-1712.448441929926,-3827.7762040000525
9,jobs,-2328.7851988860057,-1259.454317350057,-1918.1598472298356,-2744.799683579942,-6762.0540619399835
9,workers,-1541.497945332012,-915.6680140599492,-1245.5516783500207,-1663.3995092699624,-4694.481944469953
7,under16,-18.143356020002102,-228.12033079999856,-530.0614584400009,-847.4508384599985,-1031.8835985199994
7,16-74,-20.811973355997907,-122.61331563999192,-260.67408792999777,-405.0776239699917,-1141.3641298500188
7,75+,-8.937311885999407,-48.581920089999585,-94.26846667999689,-189.9844709500021,-608.0869008200007
7,HHs,-16.67462135999449,-155.74674241999674,-365.07563792999645,-614.0909884899993,-1223.1815954700069
7,jobs,-412.50526958399496,-222.94072152999797,-340.58269287000076,-484.9116178599943,-1196.2114796600035
7,workers,-321.6359895419955,-245.7769855799961,-370.2858090200025,-482.2146765000034,-1280.2907989900123
8,under16,-41.61561699000595,-576.6394473399814,-1311.4024507200047,-2054.633462779999,-2448.032341469996
8,16-74,-42.21386311198876,-384.4975013900548,-830.4089864200068,-1265.9549026799796,-3258.689992710075
8,75+,-19.47820746599973,-125.22244997000598,-254.67375685001025,-487.15475504999085,-1433.8918027
8,HHs,-33.67779186597909,-404.4869738100024,-938.361968510013,-1546.638386560022,-3058.391684579976
8,jobs,-1454.0156767980516,-789.7100445199176,-1199.5984017500014,-1717.7366397499572,-4227.952340499993
8,workers,-799.057089869988,-676.6469473500256,-1065.0602684599871,-1469.8814436299945,-3317.481241760026
5,under16,-42.5957397419952,-587.9432648299844,-1379.8655947000188,-2222.782071179994,-2654.738831620005
5,16-74,-25.79821672802791,-277.97538686003827,-627.9438737799501,-972.9136483699695,-2903.7242409100145
5,75+,-22.197803309998562,-118.98816255999918,-237.97681112000282,-484.9523224400109,-1560.8419320999965
5,HHs,-29.996975531990756,-369.96484634001536,-896.9135025600335,-1525.8515756600173,-3135.6907672800007
5,jobs,-993.5004221099807,-535.945519550005,-820.9175207999942,-1170.8832206299994,-2883.7106954699775
5,workers,-868.1122161840103,-628.9420222699991,-896.9190402700115,-1162.901431019971,-3185.6963315799803
3,under16,-34.82035028399332,-518.3193345,-1219.7473359399992,-1944.2087592399985,-2329.3769581600027
3,16-74,-22.80828065998503,-291.0919664400135,-667.2131058299565,-1035.3571474500204,-2755.2479851899698
3,75+,-19.806334469998546,-128.0316544199959,-259.05150937999133,-501.12590292000823,-1519.4209727600064
3,HHs,-24.007505172012316,-358.12270381999406,-865.3221036699833,-1460.5759999699658,-2941.27007347998
3,jobs,-1090.0219596180032,-587.5496215299863,-894.8462210400612,-1279.2098469199918,-3152.968537279972
3,workers,-767.9127144840095,-552.3460867600006,-895.473763329981,-1202.626782450032,-3080.573792560004
6,under16,-19.544240999995964,-300.4504831000031,-695.6221713500036,-1104.367606150001,-1248.6706793300018
6,16-74,-5.572124790000089,-86.7212186100005,-216.58991506000166,-331.74550390000513,-1138.3839119499899
6,75+,-12.944243951998033,-84.00808244000291,-173.30303810999976,-330.6060870200017,-946.539553810002
6,HHs,-11.14424617799159,-172.7292954500117,-417.1798114499943,-722.7777939799962,-1526.2767974400049
6,jobs,-599.831763197988,-321.0486250499962,-492.3598091899912,-704.1053498900001,-1734.2593231200008
6,workers,-479.1830153159899,-253.01613538999663,-380.45859054000175,-505.1879146400024,-1379.408152010008
4,under16,-26.40001253399896,-344.0020052100026,-796.0049829599975,-1265.0081109499952,-1462.0127588300002
4,16-74,-7.800234084017575,-67.00233714999194,-173.0053670000052,-289.00872344000527,-1302.0324410100147
4,75+,-12.000256907996118,-59.00148488999912,-122.00271451000117,-261.0051105699986,-849.0174296800087
4,HHs,-13.800321539994911,-169.00409390000277,-430.0091788000136,-745.0152742200007,-1592.0303768200029
4,jobs,-567.0310835460041,-307.01692171999457,-466.0258028600074,-668.036546339994,-1644.090119519984
4,workers,-604.804234908006,-370.00248171001294,-412.0067825899896,-540.0120203299666,-1638.0272274999952
